,year,rural,obliged,give,act,obedience,authority,belong,pray,mean
0,1800,1.2754567705997033e-05,0.00012976288962818217,0.0004589613454299979,0.0004574563354253769,5.1739988521148916e-05,0.00023769067047396675,3.921270581486169e-05,5.695814161299495e-05,0.00018056708057656579
1,1801,1.2636123574338854e-05,0.00014035916392458604,0.00044934581965208056,0.0004543229762930423,5.553231094381772e-05,0.00024559393059462307,3.7936741136945784e-05,5.410742596723139e-05,0.00018122931151083322
2,1802,1.1753619598190804e-05,0.00014036214876493128,0.0004500332191431274,0.0004429721642130365,5.608412599637328e-05,0.00024660757238355774,3.682581397394339e-05,5.750583174328009e-05,0.00018026806197705508
3,1803,1.160725378213101e-05,0.00013439358112269213,0.0004555991534808917,0.0004586307581381074,5.589154846217882e-05,0.00024932302351641866,3.7984537422224616e-05,5.682915434590541e-05,0.00018253237628381873
4,1804,1.146371628887469e-05,0.00013956156180938706,0.00045558640600315163,0.0004909920306610209,5.782810902538975e-05,0.0002664872632262164,3.822799408226274e-05,5.420138456559341e-05,0.00018929355820773708
5,1805,1.1240071801564358e-05,0.0001334373259201779,0.00046061736065894365,0.0005350006727634796,5.7387094005077544e-05,0.0002627582850566666,3.8785929583744814e-05,5.4316950159513257e-05,0.00019419296124364597
6,1806,1.0956944281913041e-05,0.0001209503783944196,0.00047060513835666437,0.0005595051001624338,5.7184724157975453e-05,0.00025013643607962877,3.796262743500327e-05,5.8972773071478256e-05,0.00019578426524243957
7,1807,9.94047221476129e-06,0.00012091926847850638,0.0004556774511002004,0.0005641223646567336,5.732807611431261e-05,0.0002617352708641972,3.8472828496846235e-05,5.6733583603220594e-05,0.00019561616444109734
8,1808,9.454550763621228e-06,0.00011182856646233372,0.0004661431552709213,0.0006060015667961645,5.832533653509537e-05,0.00025960432581736574,3.921684245662098e-05,5.889029853278771e-05,0.00020118308032936384
9,1809,9.410232710901515e-06,0.00010806560645245813,0.0004642775664771242,0.0006419871019066445,5.9363770560594276e-05,0.00026206576564748375,4.090190278865131e-05,5.511837246428643e-05,0.000205148789876018
10,1810,8.734462231326948e-06,0.00010921532313139843,0.0004601725086104125,0.0006727321888320148,5.848191722179763e-05,0.00025649557106329927,4.050486001818042e-05,5.652502243590009e-05,0.00020785773169304127
11,1811,8.361082109331619e-06,0.00010723623667477764,0.0004573507633592401,0.0006979338026472501,5.765639538627251e-05,0.0002489633084873536,4.1703034055119914e-05,5.5659425145547304e-05,0.00020935800598311159
