year,coll,indi,loose,tight
1800,0.00018056708057656579,6.937308375398743e-05,8.190799427887364e-06,1.4431466054887209e-05
1801,0.00018122931151083322,6.489565302878476e-05,8.198646935131395e-06,1.4713746063250712e-05
1802,0.00018026806197705508,6.286241472993245e-05,8.270393930424426e-06,1.506426140120235e-05
1803,0.00018253237628381873,6.180624623342013e-05,8.337439506497394e-06,1.5114618940158055e-05
1804,0.00018929355820773708,5.449765868594168e-05,8.514363911236804e-06,1.592449500407156e-05
1805,0.00019419296124364597,5.400124022201881e-05,8.403861938407632e-06,1.5904875183991862e-05
1806,0.00019578426524243957,5.478130958122155e-05,8.449793673660976e-06,1.5700320089909577e-05
1807,0.00019561616444109734,5.2818889559689915e-05,8.260026464653896e-06,1.539325811502782e-05
1808,0.00020118308032936384,5.439140400672773e-05,8.23799903908145e-06,1.5308651804397345e-05
1809,0.000205148789876018,5.430398622019439e-05,8.098957734021488e-06,1.4885807721043423e-05
1810,0.00020785773169304127,5.469243278012824e-05,7.956566337316163e-06,1.4881830653783775e-05
1811,0.00020935800598311159,5.493030566646898e-05,7.769528352520792e-06,1.472830137661926e-05
1812,0.00020743226316101624,5.5530621713753964e-05,7.841757355515307e-06,1.4639694113733575e-05
1813,0.00021171352156151052,5.499128948890534e-05,7.849880989407865e-06,1.4709705938693269e-05
1814,0.00021277005423111662,5.755124437164685e-05,7.98485663914431e-06,1.5198425795810119e-05
1815,0.0002084367985568341,5.813739184157285e-05,7.961589345769788e-06,1.5141404935548051e-05
1816,0.0002087259163983747,5.877490305161714e-05,7.988543523212196e-06,1.5442838941177276e-05
1817,0.0002129722160231852,5.9777738876284504e-05,8.148467586131602e-06,1.559868907037298e-05
1818,0.00021365413013947024,6.024680999822911e-05,8.223331653083625e-06,1.563499324461759e-05
1819,0.00021045485290674802,6.008644383595893e-05,8.253889195205692e-06,1.5615454787365474e-05
1820,0.00020811474868358867,5.994943700645841e-05,8.175110845006932e-06,1.5439676407729455e-05
1821,0.00020507031557112247,5.995938591735988e-05,8.140031736176516e-06,1.5020334296979494e-05
1822,0.00020501247731122672,6.0897008591401634e-05,8.265960016970047e-06,1.5034279084094997e-05
1823,0.0002039501885795809,6.257305857502806e-05,8.456512410358134e-06,1.4814235479576613e-05
1824,0.00019657339497923334,6.299492687690731e-05,8.513900584367868e-06,1.4580029552645002e-05
1825,0.00019424838713380917,6.377374912074669e-05,8.609325703311044e-06,1.4484599416521502e-05
1826,0.00019244664938306802,6.567644191597071e-05,8.68107315903683e-06,1.4420776641291657e-05
1827,0.00018955834549875105,6.832614619989297e-05,8.925162255027773e-06,1.4582815647047804e-05
1828,0.00018943393548300137,6.965707627778642e-05,9.049817690276464e-06,1.457419804446707e-05
1829,0.00018466515680464518,6.932527639168042e-05,8.993484374670529e-06,1.4812763701042642e-05
