,year,urban,choose,get,feel,individual,self,unique,child,mean
0,1800,1.7708091633039658e-06,3.576906374291866e-05,0.00012315597814449575,9.692304956843145e-05,6.06772418905166e-05,9.639175004849676e-05,1.8522006683951986e-06,0.00013844457680534106,6.937308375398743e-05
1,1801,1.4457351568353261e-06,3.6403516787686385e-05,0.00011079984542448074,9.230778377968817e-05,5.7693550479598345e-05,9.110464452533051e-05,1.6708314092284127e-06,0.0001277393166674301,6.489565302878476e-05
2,1802,1.2047792973627718e-06,3.8026939667664315e-05,0.00010478447196267855,9.014030971835989e-05,5.9725201329759635e-05,8.628388119783874e-05,1.4972323564658534e-06,0.00012123650230932981,6.286241472993245e-05
3,1803,1.0377770449971585e-06,3.804334924747569e-05,0.0001009428285345036,9.186741538412337e-05,5.960256852891429e-05,8.471988050067531e-05,1.500477740786924e-06,0.00011673567288588467,6.180624623342013e-05
4,1804,6.798255748817285e-07,3.827626980117722e-05,7.931725018092298e-05,8.481195566543777e-05,5.9949306887574494e-05,7.687878366726051e-05,1.0442724861344947e-06,9.502360522414424e-05,5.449765868594168e-05
5,1805,2.868208431396267e-07,3.7797744620807604e-05,7.506576574607087e-05,8.758960133751057e-05,6.124686634783367e-05,7.584060949739069e-05,1.0586970721046133e-06,9.312381631129288e-05,5.400124022201881e-05
6,1806,1.2123781140920592e-07,3.931719662172587e-05,7.523644100209432e-05,9.032310065647055e-05,5.994355680221426e-05,7.543457260388615e-05,1.111711234053863e-06,9.676265991791817e-05,5.478130958122155e-05
7,1807,1.1829010253856203e-07,3.851784744516148e-05,7.269886555150151e-05,8.745633074015911e-05,5.7472238300501234e-05,7.15477196666013e-05,1.0216156332327436e-06,9.371820903782333e-05,5.2818889559689915e-05
8,1808,1.3319632888705461e-07,3.8621828155425775e-05,7.440333450046767e-05,9.050740170226033e-05,5.8925672679574094e-05,7.476866864765595e-05,9.962579464887052e-07,9.677487209306232e-05,5.439140400672773e-05
9,1809,1.3319632888705461e-07,3.71219809624433e-05,7.315110269701108e-05,9.118125828016283e-05,5.848279033671133e-05,7.80031134906624e-05,1.0294143716497014e-06,9.53290332940274e-05,5.430398622019439e-05
10,1810,1.4299077020853345e-07,3.6373720961689416e-05,7.548737318886976e-05,9.201402904831671e-05,5.962342506141535e-05,7.802503075384135e-05,8.987190491487646e-07,9.4974173407536e-05,5.469243278012824e-05
11,1811,2.0939653515889794e-07,3.544876536969761e-05,7.659727478832272e-05,9.505687506004636e-05,6.158989708637819e-05,7.80949620613163e-05,9.168064138975751e-07,9.152846801693418e-05,5.493030566646898e-05
12,1812,1.6179354186566082e-07,3.551643905146713e-05,7.868824260575431e-05,9.891283220245637e-05,6.190833456847551e-05,7.910572354116343e-05,8.970884225943467e-07,8.905451977625489e-05,5.5530621713753964e-05
13,1813,1.7605777255117312e-07,3.475503399386071e-05,7.714034187042021e-05,9.919523498475818e-05,6.595807177031279e-05,7.672040997671761e-05,8.925907439204041e-07,8.50925747987016e-05,5.499128948890534e-05
14,1814,2.177524811892389e-07,3.4873106155178645e-05,8.067092338543651e-05,0.00010630109941952728,7.205099661535184e-05,7.814506742371512e-05,9.682973752335653e-07,8.718271211754265e-05,5.755124437164685e-05
