Congress,House Majority,Senate Majority,Presidency,Party Government,start_year,end_year,year,Presidency_party
35th (1857–1859),Democrats,Democrats,Democrat (Buchanan),Unified,1857,1859,1857,Democrat
35th (1857–1859),Democrats,Democrats,Democrat (Buchanan),Unified,1857,1859,1858,Democrat
35th (1857–1859),Democrats,Democrats,Democrat (Buchanan),Unified,1857,1859,1859,Democrat
36th (1859–1861),Republicans,Democrats,Democrat (Buchanan),Divided,1859,1861,1859,Democrat
36th (1859–1861),Republicans,Democrats,Democrat (Buchanan),Divided,1859,1861,1860,Democrat
36th (1859–1861),Republicans,Democrats,Democrat (Buchanan),Divided,1859,1861,1861,Democrat
37th (1861–1863),Republicans,Republicans,Republican (Lincoln),Unified,1861,1863,1861,Republican
37th (1861–1863),Republicans,Republicans,Republican (Lincoln),Unified,1861,1863,1862,Republican
37th (1861–1863),Republicans,Republicans,Republican (Lincoln),Unified,1861,1863,1863,Republican
38th (1863–1865),Republicans,Republicans,Republican (Lincoln),Unified,1863,1865,1863,Republican
38th (1863–1865),Republicans,Republicans,Republican (Lincoln),Unified,1863,1865,1864,Republican
38th (1863–1865),Republicans,Republicans,Republican (Lincoln),Unified,1863,1865,1865,Republican
39th (1865–1867),Republicans,Republicans,Republican (Lincoln) / Democrat (A. Johnson),Unified/ Divided2,1865,1867,1865,Republican
39th (1865–1867),Republicans,Republicans,Republican (Lincoln) / Democrat (A. Johnson),Unified/ Divided2,1865,1867,1866,Republican
39th (1865–1867),Republicans,Republicans,Republican (Lincoln) / Democrat (A. Johnson),Unified/ Divided2,1865,1867,1867,Republican
40th (1867–1869),Republicans,Republicans,Democrat (A. Johnson),Divided,1867,1869,1867,Democrat
40th (1867–1869),Republicans,Republicans,Democrat (A. Johnson),Divided,1867,1869,1868,Democrat
40th (1867–1869),Republicans,Republicans,Democrat (A. Johnson),Divided,1867,1869,1869,Democrat
41st (1869–1871),Republicans,Republicans,Republican (Grant),Unified,1869,1871,1869,Republican
41st (1869–1871),Republicans,Republicans,Republican (Grant),Unified,1869,1871,1870,Republican
41st (1869–1871),Republicans,Republicans,Republican (Grant),Unified,1869,1871,1871,Republican
42nd (1871–1873),Republicans,Republicans,Republican (Grant),Unified,1871,1873,1871,Republican
42nd (1871–1873),Republicans,Republicans,Republican (Grant),Unified,1871,1873,1872,Republican
42nd (1871–1873),Republicans,Republicans,Republican (Grant),Unified,1871,1873,1873,Republican
43rd (1873–1875),Republicans,Republicans,Republican (Grant),Unified,1873,1875,1873,Republican
43rd (1873–1875),Republicans,Republicans,Republican (Grant),Unified,1873,1875,1874,Republican
43rd (1873–1875),Republicans,Republicans,Republican (Grant),Unified,1873,1875,1875,Republican
44th (1875–1877),Democrats,Republicans,Republican (Grant),Divided,1875,1877,1875,Republican
44th (1875–1877),Democrats,Republicans,Republican (Grant),Divided,1875,1877,1876,Republican
44th (1875–1877),Democrats,Republicans,Republican (Grant),Divided,1875,1877,1877,Republican
45th (1877–1879),Democrats,Republicans,Republican (Hayes),Divided,1877,1879,1877,Republican
45th (1877–1879),Democrats,Republicans,Republican (Hayes),Divided,1877,1879,1878,Republican
45th (1877–1879),Democrats,Republicans,Republican (Hayes),Divided,1877,1879,1879,Republican
46th (1879–1881),Democrats,Democrats ,Republican (Hayes),Divided,1879,1881,1879,Republican
46th (1879–1881),Democrats,Democrats ,Republican (Hayes),Divided,1879,1881,1880,Republican
46th (1879–1881),Democrats,Democrats ,Republican (Hayes),Divided,1879,1881,1881,Republican
47th (1881–1883),Republicans,Republicans3,Republican (Garfield / Arthur)4,Unified,1881,1883,1881,Republican
47th (1881–1883),Republicans,Republicans3,Republican (Garfield / Arthur)4,Unified,1881,1883,1882,Republican
47th (1881–1883),Republicans,Republicans3,Republican (Garfield / Arthur)4,Unified,1881,1883,1883,Republican
48th (1883–1885),Democrats,Republicans,Republican (Arthur),Divided,1883,1885,1883,Republican
48th (1883–1885),Democrats,Republicans,Republican (Arthur),Divided,1883,1885,1884,Republican
48th (1883–1885),Democrats,Republicans,Republican (Arthur),Divided,1883,1885,1885,Republican
49th (1885–1887),Democrats,Republicans,Democrat (Cleveland),Divided,1885,1887,1885,Democrat
49th (1885–1887),Democrats,Republicans,Democrat (Cleveland),Divided,1885,1887,1886,Democrat
49th (1885–1887),Democrats,Republicans,Democrat (Cleveland),Divided,1885,1887,1887,Democrat
50th (1887–1889),Democrats,Republicans,Democrat (Cleveland),Divided,1887,1889,1887,Democrat
50th (1887–1889),Democrats,Republicans,Democrat (Cleveland),Divided,1887,1889,1888,Democrat
50th (1887–1889),Democrats,Republicans,Democrat (Cleveland),Divided,1887,1889,1889,Democrat
51st (1889–1891),Republicans,Republicans,Republican (Harrison),Unified,1889,1891,1889,Republican
51st (1889–1891),Republicans,Republicans,Republican (Harrison),Unified,1889,1891,1890,Republican
