,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387
care_vic,harm,suffer,hurt,harmed,hurting,hurts,cruel,endanger,harming,harms,suffering,threaten,inflict,suffered,harmful,inflicted,mistreat,endangers,damaging,injurious,victimize,inflicts,hurtful,suffers,inflicting,injures,vulnerable,unkind,damage,kill,die,victimizes,torment,destroy,brutalise,brutalises,distresses,endangering,mistreats,afflict,distressing,destroys,victimises,maltreat,pain,harsh,mistreated,ravage,threatened,harass,unkindness,afflicted,threatens,threatening,distress,brutalize,tormenting,brutalized,victimizing,damager,damaged,bully,agony,abused,coldhearted,inhuman,injured,torments,brutalizes,uncompassionate,cruelty,tormented,mistreating,endangered,uncaring,anguishes,destroying,killed,mistreatment,bullied,harsher,cruelness,tortured,pained,tortures,torturing,maltreated,anguish,persecutes,maltreatment,brutalizing,attacked,victim,crying,damages,discomforting,abusing,threat,persecute,brutalization,violent,annihilated,torturous,harasses,injurer,destroyed,molests,molest,injuring,afflicts,killing,ache,wounded,persecuted,ravages,harassed,exploited,injury,brutalisation,discomfort,unmerciful,annihilate,exploiters,injurers,destruction,manhandle,kills,casualties,maltreating,victims,harassing,needier,smother,harassment,smothers,unhelpful,agonize,inhumanity,duress,victimization,exploiting,cried,wounds,wounding,murderous,ravaged,uncaringly,pains,painfulness,manhandles,bullies,assaulted,uncharitable,distressed,persecution,murdered,ravaging,discomforted,exploitation,torture,murderers,aches,afflictions,ungenerous,victimizer,agonizing,paining,persecuting,exploit,harassers,malevolent,stabs,sorrowful,assaults,needy,affliction,cries,fighting,fight,attack,annihilates,sorrow,agonized,assaulting,inhospitable,threats,ached,rapists,abuser,raped,assassinates,stabbed,inhospitality,annihilation,punch,harshness,abusers,killer,sufferers,victimizers,smite,killers,discomforts,fatalities,molested,brutality,murdering,torturer,torturers,fights,harmfulness,bullying,casualty,sufferer,exploiter,fatality,punches,abuses,attacks,vulnerability,carnage,tribulation,annihilator,smothering,bullyboy,murderer,wound,stabber,tormenters,malevolence,raping,smothered,assault,genocidal,anguishing,aching,anguished,stabbing,rapist,harasser,hungers,hunger,molesting,rape,molesters,punched,violence,distressingly,molester,stabbers,neediness,assassinate,agonizingly,tribulations,unhelpfulness,assaulter,puncher,punching,rapes,genocides,attackers,tormentor,assassinations,destroyers,punchers,sorrows,tormenter,threateningly,murder,destroyer,assassinating,crier,assassinated,molestation,attacker,murders,genocide,fighter,assassins,assaulters,hungering,achingly,hungered,murderess,assassin,exploits,fighters,assassination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
care_vir,compassion,empathy,kindness,caring,generosity,benevolence,altruism,compassionate,nurture,gentleness,nurturance,sympathy,nurturing,motherly,love,beneficence,empathize,helpfulness,loving,pity,mercy,nurturer,compassionately,nurturers,caringly,empathising,merciful,empathizing,nurtures,warmhearted,empathizers,protectiveness,nurtured,benevolent,mothering,cared,healing,empathises,humane,comfort,pitied,loved,altruist,cares,pitying,comforted,hug,comforting,consoling,empathizes,sympathize,care,caregiver,empathised,hugs,heal,generous,condolences,mothered,charitable,generously,pities,condolence,help,consolingly,solace,mother,healer,hospitality,charity,empathized,healers,pityingly,mothers,child,lovingly,parenting,rescuing,rescuer,loves,consoled,clothe,sympathizing,helping,shared,childhood,mommy,vulnerability,helpers,lover,hospitable,sharer,feeding,nursed,helper,safeness,nurses,protector,motherhood,alleviation,nursemaid,safeguard,protect,healthiness,protecters,patient,nurse,vulnerable,benefit,feed,childcare,rescuers,hugged,helpful,rescues,nursing,protecting,heals,childbearing,hugger,relief,healed,rescued,patients,share,rescue,healthy,hospitalise,hospitalising,hugging,nursery,healthier,sharing,helps,sympathizers,hospitalises,alleviating,wounded,wounds,hospitalize,alleviate,protective,protection,health,relieve,sympathizer,safety,beneficiary,helped,hospital,childbirth,benefits,healthcare,relievers,feeds,hospitalization,benefitting,relieving,safe,feeder,benefitted,hospitalized,unharmful,protects,unharmed,protecter,safely,safekeeping,hospitalizing,wounding,reliever,shares,relieves,alleviates,relieved,hospitalizes,console,protectorate,alleviated,protected,wound,consoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loya_vic,traitor,disloyal,treason,traitors,betray,betraying,betrayer,betrayers,unpatriotic,betrayed,treachery,enemies,backstabber,backstabbed,heretic,enemy,betrays,deserter,infidels,infidel,backstab,deserting,apostate,heresy,backstabbers,heretics,unfaithful,rebellion,desertion,deserters,apostates,unfaithfulness,backstabbing,rebel,cheat on,treacherous,backstabs,heresies,outsider,outgroup,cheated on,against us,cheating on,rebels,infidelity,outgroups,rebellions,outsiders,cheats on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loya_vir,team player,player,patriot,loyal,loyalty,patriots,follower,fidelity,allegiance,ally,comrade,loyalties,death do us part,faction,comrades,allegiances,sacrifice,allies,organization,followers,us against them,sacrifices,all for one,comradery,one for all,fellow,family,allegiant,corps,unity,union jack,uniter,old glory,companions,country,companion,homeland,sacrificing,indivisible,sacrificed,solidarity,troops,nation,cult,kinship,companionship,clique,allied,community,group,factions,familiarity,solidarities,enlist,companionships,wife,united,belongs,congregation,brothers in arms,clan,trooper,sect,enlisted,enlistment,tribalism,cohorts,war,joining,troop,sacrificial,coalition,insider,pledge,cohort,enlisting,unite,communion,familiarities,belong,ingroup,belonged,company,collective,fellows,cliques,uniting,clans,hazing,congregates,herd,sects,uniters,undivided,unites,pledgers,coalitions,enlists,grouping,insiders,families,troupe,fellowship,kin,pledger,horde,nations,tribe,hordes,pledges,herder,commune,cults,congregations,organizations,herds,pledging,communities,familiar,hazings,belonging,pledged,bowed,collectively,together,groups,homelands,collectives,troopers,tribes,companies,countries,troupes,fellowships,tribal,communes,herders,grouped,herding,congregate,herded,congregating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auth_vic,disrespect,disobey,disobedience,anarchy,chaos,subversion,subvert,lawlessness,subverting,disrespecting,sedition,treason,overthrow,insurrection,rebellion,transgress,treachery,dissent,dishonor,dissention,disrespects,bedlam,rebelling,misrule,transgression,insurrectional,pandemonium,mutiny,mutinies,misruling,disobedient,subverted,transgresses,transgressed,disarray,misruled,rioting,lawless,transgressing,illegality,overthrowing,dishonorable,dishonoring,rebelled,rebellions,riot,dishonouring,disrespected,permissiveness,refuser,unruly,subverts,unlawfulness,overthrown,anarchistic,dishonours,riots,refuse,chaotic,nonconformity,dissenters,uprising,insurrections,rioters,disordering,insubordinate,mutinied,insurrectionist,unlawful,nonconformists,heresy,uprisings,dishonors,tumult,overthrew,overthrows,rabble rousers,renegade,impolite,renegades,rabble rousing,dishonored,illegal,rioter,mutinous,disarrayed,apostates,dissidents,anarchists,raise hell,disorder,refusers,permissive,apostate,anarchist,treacherous,dissident,raises hell,disordered,heretic,overpower,rabble rouser,rebel,raising hell,heretics,unathorized,refusing,rebels,refuses,rioted,orders,dissenter,chaotically,nonconformist,heresies,illegals,unlawfully,heretical,dissents,traditions,dissenting,overpowers,trouble maker,refused,rock the boat,overpowering,tumultuous,overpowered,dissented,nonconforming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auth_vir,respect,obey,authority,obeyed,deference,reverence,respecting,obeying,tradition,adhere,obeys,revere,govern,comply,respectful,honor,adhered,allegiance,dictates,nobility,forbid,dominion,governed,obedient,reveres,adhering,governs,governing,oppress,respected,respectfully,honorable,dictate,commandments,commandment,venerate,politeness,respects,obedience,divine right,forbids,permission,veneration,hierarchy,forbade,honoring,proper,venerated,stature,acquiesce,adherence,deferential,leadership,punish,forbidding,revered,filial piety,patriarchs,decree,coerce,dominions,dictating,venerating,wear the crown,venerates,institution,monarchical,servant,decrees,permit,do as one says,supervise,duty,compliance,lionize,supervision,take orders,take up arms,duties,dictated,elders,emperors,commands,acquiesced,emperor,adheres,servants,regulations,covenant,hierarchical,subordinate,policing,decreeing,acquiesces,authorizing,nobles,permits,matriarchal,authorizes,control,command,subordinating,hierarchies,reverential,deferentially,punishes,patriarch,empires,honored,allegiant,protect,traditional,subordination,punished,noble,order,worship,social order,monarchs,ruling,lead by example,authorities,guiding,presidents,slavishly,patriarchy,subordinates,protection,supervisers,bow before,fathers,bow down,institutions,coersion,governors,commanded,police,authorize,bullys,bully,protecting,acquiescing,empire,mentor,chiefs,monarchies,honors,preside over,acquiescent,allegiances,bowing,oligarchy,willing,polite,supervising,pecking order,compliantly,bishops,monarch,slaves,traitors,punishments,authorized,protector,compliant,dutiful,father,punishment,coerces,toe the line,monarchy,obediently,elder,oligarchies,dictators,leaders,bishop,lorded over,worships,coercing,protectors,dictator,protected,punishing,traitor,commanding,coerced,commanders,pope,punitive,underlings,master,subordinated,president,in charge,matriarchy,lionizing,slave,chief,covenants,commander,matriarch,authorizer,guide,ordered,supervised,captains,punisher,supervises,bossing,commandant,governor,protects,admiral,top gun,bowed,dominate,arrest,mentored,ordering,submit,institutional,prime minister,lionizes,ranking,boss,captain,by the book,mentors,bullies,dominant,arrested,bossed,leader,rank,arresting,chieftain,prime ministers,regulation,superviser,dean,arrests,punishers,bullied,matriarchs,controlling,managerial,bosses,ranks,controls,dictation,guides,oligarchs,principals,top dog,admirals,caste,captaining,queen,mentoring,elderly,castes,governess,captained,principal,bullying,submission,dominated,corporate ladders,queens,underling,corporate ladder,fathered,dominates,dominating,presidential,oligarch,controlled,submits,submitting,head honcho,commandingly,vice president,slaving,fathering,slaved,managers,forbiddingly,controllers,submitted,ringleaders,ringleader,controller,ranked,manager,prime ministerial,submissions,ceo,punishingly,submitter,submitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanc_vic,impurity,degradation,depravity,desecrate,desecration,repulsiveness,degrading,decay,filth,depravities,defile,sin,fornication,repulsive,depraved,impiety,degrade,repugnance,impure,degraded,desecrations,sinfulness,impurities,indecencies,defiled,defiles,uncleanliness,damnation,debauchery,impious,sinful,necrophiliacs,desecrates,sleaziness,desecrating,desecrated,grossness,contaminates,sinning,promiscuity,befouls,rottenness,hedonism,revolting,repugnant,godless,scum,befoul,satanic,sluttiness,disgusting,pestilence,debased,trashiness,sins,degradingly,corrupting,deprave,perverted,debase,fornicating,degraders,defiling,slime,horrors,repugnantly,defiler,deviants,degrades,corrupts,debasing,perverts,parasitic,disgusts,deflowering,hedonistic,deviant,scummy,horrifying,necrophilia,contamination,rot,stain,contaminating,contaminants,dirtying,debases,contaminate,abhor,heresy,sleaze,staining,defilers,harlot,plagues,sullies,fornicators,vermin,befouling,incest,trashy,excreting,deforms,abhored,decayed,whores,deformities,perverse,adultery,fornicate,excrement,harlots,decaying,fornicator,unclean,nauseating,sully,heresies,satan,damns,satanically,sinned,sinners,adulterous,repulses,corruption,tainting,deformity,necrophiliac,decays,corrupted,deforming,contaminant,disgust,tarnishes,hell,filthy,taint,horrific,fecal,dirtied,flesh,stained,deform,putrid,scatalogical,dirties,whoring,cocksucker,plague,adulterers,excretes,infesting,slimy,excrete,scuzz,horror,tarnish,sexuality,parasite,obscenity,deformed,adulterer,befouled,muck,corpses,soiled,infest,incestuously,incestuous,fucker,devil,parasites,stains,skanks,corpse,whore,lepers,curses,corrupt,pathogens,diseased,deflower,hedonists,sinner,debaucherous,fester,hedonist,sleazy,fucks,promiscuous,cursed,curse,apostates,cocksuckers,heretic,lewdness,slutty,infests,festers,pervert,fuck,skanky,dirty,mucky,puke,alcoholism,feces,sullied,disgustingly,sexual,cunt,taints,profane,heretics,fucking,tarnishing,fornicated,mar,shitting,slut,obscene,barf,rotten,disgusted,cunts,waste,parasitically,sinfully,wastes,vomit,pathogen,rats,pathogenic,indecent,infect,leper,indecently,shit,abhors,skank,infestation,deflowered,leprosy,diseases,heretical,dirt,cursing,tarnishment,disease,prostitution,infested,apostate,sluts,fuckers,profanity,addiction,contaminated,scuzzy,infectiousness,indecency,vomitted,germ,prostituting,excreted,rubbish,fucked,sodomy,untouchables,epidemics,swear,shits,whorehouses,pigsty,germs,prostituted,mud,dung,epidemic,rat,douchebag,perversely,pukes,puking,prostitutes,barfs,slutting,trashing,whored,douchebags,infection,shite,spoil,gross,repulsed,pus,festering,cockroaches,tainted,contagion,barfed,infects,damned,addictions,shitty,skanking,trash,whorehouse,phlegm,moldy,plaguing,shat,drugged,garbage,infecting,pandemics,viruses,nauseated,cockroach,puked,drugging,manure,mucking,lewd,alcoholics,gangrenous,barfing,gangrene,shitter,shittier,tarnished,cock,vomits,hookers,damn,addict,alcoholic,nausea,swearing,vomitting,skanked,infections,foul,prostitute,risque,lice,gonorrhea,wasting,profanities,divorces,crappy,spreading,wasters,addicting,trashed,addicts,scabies,swore,nauseous,phlegmatically,spoiling,nauseatingly,drugs,virus,waster,untouchable,addicted,damning,pandemic,hooker,bm,infected,festered,marred,phlegmatic,divorce,viral,contagiously,plagued,repulsing,swears,drug,spoiled,cum,divorcing,wasted,divorced,contagious
sanc_vir,sanctity,sacred,sacredness,purity,wholesome,pureness,wholesomeness,holiness,dignity,godly,piety,sanctify,chastity,undefiled,holy,sacrosanct,pious,righteousness,dignities,sanctified,godliness,spirituality,chaste,sanctifies,righteous,divine,religious,biblical,spiritual,deity,sanctifying,noble,modesty,decency,scriptures,nobility,religion,hallow,soul,hallowed,deism,pristine,exalted,hallowing,eternal,holy cross,deities,faith,unadulterated,scripture,wholesomely,divinities,worship,virgin,god,catholicism,saintly,saintliness,godess,religiosity,purify,koranic,pure,holy crosses,exalt,virginity,divinity,consecrates,heaven,virginal,devout,dignified,tabernacle,exalts,buddhas,souls,temple,unsullied,heavenly,cleanliness,abstinance,spotlessness,talmudic,deists,gospels,prophets,religions,temples,buddhist,godesses,saints,temperance,celibacy,consecrated,priestly,bless,marriage,prophet,exalting,unchaste,supernatural,eternally,purification,apostles,monastic,purified,communion,gods,celibate,christians,theological,monasticism,unspoiled,sterility,christian,buddha,deist,prophetic,saint,righteously,apostle,prayer,faiths,shrine,purifying,worships,virgins,glorious,dignifies,atonement,deification,orthodoxy,hallows,enshrining,nunneries,church,religiously,blessings,consecrate,gospel,pray,beatifying,yogis,theology,purifies,orthodox,untainted,torah,faithfully,catholic,heavens,yogi,consecrating,blessed,faithful,koran,abstinence,jesus,monastery,purities,consecration,catholics,prayers,prayed,sterile,blesses,enshrined,torahs,organic,bible,glory,allah,glories,priests,dignifying,enshrine,mosques,spotlessly,prude,reverend,soulful,deify,christ,cathedrals,churches,cathedral,dignify,monasteries,raw,enshrines,refinement,nuns,monks,gloriously,almighty,marring,repent,prays,clean,orthodoxies,exterminates,rabbis,spotless,bibles,mosque,immaculate,organics,purifier,foods,lord,praying,repenting,marry,elevating,marrying,immaculately,rabbi,nunnery,priest,food,bloodiness,marries,synagogues,synagogue,refined,repents,angel,blessing,monk,rabbinical,organically,pope,nun,nobles,prophetically,blood,repented,pastor,purifiers,lords,bloody,untouched,cleaning,exterminating,exterminated,imam,higher power,cleaners,married,beatification,beatify,extermination,exterminate,cleaner,body,immune,atoning,imams,cleaned,atones,mary,refines,cleans,atone,immunities,immunity,stainless,refining,refine,atoned,exterminator,exterminators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fare_vic,cheat,unfair,cheating,unfairness,injustice,fraud,dishonest,unjust,cheated,fraudulent,cheats,frauds,dishonesty,cheaters,deception,injustices,swindle,inequity,hypocrisy,discrimination,unequal,cheater,inequities,defraud,racism,scam,liar,defrauds,betrayal,deceipt,defrauded,inequality,liars,defrauders,hypocrite,biased,ripoffs,scams,fleecing,defrauder,discriminates,mislead,inequalities,prejudice,fleeced,defrauding,ripoff,scamming,imposters,exploitation,crooked,oppress,racist,oppression,imposter,swindled,hypocrites,plagiarism,lied,untrustworthiness,hoodwink,scammed,blackmail,bilks,swindling,betrayed,bias,connive,crooks,deceive,freeloaders,favoritism,disparity,swindles,deceived,exploiters,misleading,discriminated,bilked,deceiving,untrustworthy,prejudiced,false advertise,scammers,swindler,theft,duplicitous,hoodwinked,bigoted,sexism,disproportionate,swindlers,discriminate,conniving,sexist,betraying,hoodwinking,partiality,misleads,disproportion,economic disparity,exploiter,bilk,biases,bigots,distrust,dupe,crook,racists,con artist,bilking,blackmailing,deceives,betrayers,deceiver,blackmailed,duping,shyster,connivers,imbalanced,con artists,sexists,thieving,betray,imbalance,disproportions,disproportionately,freeloader,misleaders,connived,shysters,scammer,connives,conniver,disadvantaged,plagiaristic,moocher,dupes,discriminating,tricked,segregation,false advertised,thief,betrayer,bigot,exploiting,lying,thieves,stealing,suckered,deceivers,bamboozled,false advertisement,freeload,bamboozle,did rob,freeloading,steal,pickpocketing,blackmailer,prejudicing,chauvinists,exploit,misleader,hoodwinks,false advertiser,imbalances,pickpocketed,exploited,pickpockets,bamboozles,tricking,taking advantage,pickpocket,false advertisers,biasing,false impression,bamboozling,false witness,robs,moochers,betrays,robbing,false advertises,false impressions,blackmails,double cross,blackmailers,will rob,stolen,distrustful,false advertising,double crossers,mooches,disproportioned,mooching,segregated,double crosser,robbed,misleadingly,segregating,stole,double crosses,being partial,exploits,distrusts,mooch,segregate,robbers,distrusted,double crossing,distrusting,double crossed,be partial,go back on,stacking the deck,robber,segregates,ripping off,trickster,rips off,behind their backs,mooched,stacked the deck,was partial,am partial,stacked deck,stacks the deck,behind their back,been partial,free rider,ripped off,free riders,deceivingly,steals,unequaled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fare_vir,equality,fairness,justice,rights,equitable,civil rights,fairplay,impartiality,equal,fairminded,proportionality,equalities,fair,integrity,impartial,reciprocity,honesty,egalitarian,civil right,law,justness,unbias,egalitarians,parity,objectiveness,reparations,unprejudiced,justices,laws,tribunals,retribution,reparation,lawfully,lawful,honest,compensation,lawyers,sportsmanship,tribunal,do unto others,golden rule,lawyer,proportional,equity,lawyering,trust,reciprocal,being objective,justification,trustworthiness,unbiased,vengeance,revenge,retributions,equals,equalize,refereeing,restitution,compensating,been objective,pay back,justified,justifies,retaliation,lawyered,compensated,referees,karma,will share,avenger,trusting,avengers,square deal,trusts,compensate,trustworthy,levels the playing field,tit for tat,retaliate,level the playing field,eye for an eye,square deals,repayment,payback,equities,justify,dues,square dealing,referee,repaid,square dealer,equalizer,due processes,level playing fields,repay,compensates,justifying,due processing,due process,repayments,repaying,level playing field,retaliating,square dealers,retaliated,refereed,revenger,avenging,repays,trusted,avenge,retaliates,equalizers,avenged,avenges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
