Year,token_counts
1950,10180974
1951,8343070
1952,8545073
1953,8647512
1954,8369594
1955,8742639
1956,10447003
1957,13062556
1958,13023570
1959,13500240
1960,13961263
1961,10395775
1962,7729308
1963,7667603
1964,8734577
1965,8389404
1966,6929866
1967,5663893
1968,5584542
1969,5779675
1970,5814805
1971,5292965
1972,5876538
1973,6019700
1974,6029948
1975,5867336
1976,5890178
1977,5828687
1978,6482934
1979,7692871
1980,9348869
1981,9505501
1982,9492061
1983,9312673
1984,9456345
1985,10144662
1986,10147323
1987,10261487
1988,10235995
1989,9820842
1990,10197525
1991,9872448
1992,9646375
1993,9931748
1994,10615267
1995,12417822
1996,12213376
1997,12466923
1998,12183710
1999,12098164
2000,12267693
2001,12211433
2002,12228245
2003,15464527
2004,24702882
2005,16298704
2006,17062680
2007,17911674
2008,16362294
2009,17584482
2010,21741935
2011,22156206
2012,22086821
2013,31038064
2014,22049246
2015,29518713
2016,22846269
2017,19613522
2018,22040384
2019,17696932
2020,19150512
2021,19414234
