Year,token_counts
1873,867210
1874,7883491
1875,3208032
1876,8258698
1877,3725379
1878,6792487
1879,6577633
1880,6491417
1881,4025643
1882,10385989
1883,4737918
1884,8053688
1885,3205926
1886,9757244
1887,3176367
1888,11100641
1889,3048521
1890,14047603
1891,3730781
1892,8002967
1893,7023535
1894,9978301
1895,3659203
1896,7587103
1897,6695781
1898,7838697
1899,3399577
1900,7597665
1901,3789432
1902,8009154
1903,3107686
1904,5576071
1905,3507265
1906,8878997
1907,3652253
1908,6784286
1909,8357740
1910,9270750
1911,8721255
1912,12425955
1913,12009359
1914,17664674
1915,5087437
1916,14726393
1917,13886825
1918,13003824
1919,14107723
1920,9341121
1921,13746461
1922,14942688
1923,4512696
1924,11378149
1925,5138971
1926,10440180
1927,4190772
1928,8128084
1929,8984666
1930,10180909
1931,4869310
1932,12675776
1933,8891802
1934,9308017
1935,10994239
1936,7527649
1937,9467402
1938,7555482
1939,10015239
1940,11241263
1941,9816277
1942,9374808
1943,10410494
1944,9334213
1945,11991405
1946,10278439
1947,10798108
1948,8990599
1949,13300676
1950,14616992
1951,12359268
1952,8262212
1953,9714813
1954,17522496
1955,13004064
1956,14917797
1957,16565848
1958,18104812
1959,18402971
1960,17670118
1961,18758152
1962,19823571
1963,19970300
1964,19254085
1965,22573622
1966,20745128
1967,24237660
1968,18514051
1969,22274700
1970,24865342
1971,24163070
1972,20458479
1973,24109751
1974,23165128
1975,25234903
1976,20723901
1977,23308053
1978,23663800
1979,23047607
1980,21176556
1981,19541641
1982,19828966
1983,20990227
1984,19334043
1985,22488008
1986,20971089
1987,23057079
1988,19873239
1989,19339950
1990,22223274
1991,22658835
1992,20514343
1993,21379520
1994,19946063
1995,29252016
1996,18587435
1997,19810536
1998,19687868
1999,21858427
2000,19085284
2001,19352166
2002,16206289
2003,22196115
2004,16301819
2005,20169948
2006,16623975
2007,24046243
2008,16511727
2009,22255355
2010,12953054
