Year_x,GDP per capita,Year_y,indi_%,coll_%,tight_%,loose_%,year
1873,5116.688,1873,0.3100337512496983,0.2525288380666656,0.0575884352065374,0.0362903192128216,1873
1874,4964.9873,1874,0.298483042846688,0.2192192125796231,0.0571539752413843,0.0422298230990499,1874
1875,5105.1177,1875,0.3761107187473687,0.2374803030537355,0.0543867698382831,0.0436468863789065,1875
1876,5049.837,1876,0.2465244738965445,0.2383879796858861,0.0638488781808607,0.0465023245511932,1876
1877,5098.6895,1877,0.3049368925201782,0.2430105587752446,0.0639383806897147,0.0455318771578272,1877
1878,5198.9663,1878,0.2431589194767801,0.2595285123617528,0.0837993066230722,0.055830068448748,1878
1879,5715.778,1879,0.2978222168681149,0.2677722898178264,0.0713434793666091,0.0570881687614611,1879
1880,6255.7295,1880,0.2977220950489959,0.2422581589145696,0.0613713376161994,0.0480796842822097,1880
1881,6317.4385,1881,0.3427695881575208,0.2682186443260965,0.0724915254935396,0.0511559515130546,1881
1882,6557.8457,1882,0.2861350725857353,0.2304279151266599,0.0575284737683348,0.0504316205632891,1882
1883,6559.1313,1883,0.3625614225183173,0.2392432225263611,0.0524619872387842,0.0437084651290434,1883
1884,6523.1343,1884,0.3027394842672587,0.2314667357290027,0.0575403435085407,0.044121225285587,1884
1885,6424.143,1885,0.4147686595715821,0.2459780699966972,0.0552903228553406,0.0448891730112667,1885
1886,6471.7104,1886,0.3377344233853376,0.2432582778493608,0.0515601784572015,0.0382379232739798,1886
1887,6616.9834,1887,0.2958650534238898,0.2564367035257379,0.0674753204442599,0.0504540611454443,1887
1888,6447.284,1888,0.342412258965706,0.2389131810177521,0.0598968605279689,0.0428717679013511,1888
1889,6705.6895,1889,0.3113173203548558,0.2246312543825572,0.0548262491662452,0.0483272374558079,1889
1890,6664.5503,1890,0.3129362682174366,0.2466112037366866,0.0654116896520955,0.0407505692784268,1890
1891,6811.109,1891,0.2797405074792816,0.2517825863012637,0.06059341763005,0.0547330072292732,1891
1892,7324.063,1892,0.2869860975941828,0.2437459344161443,0.0591243047536445,0.04292500163884,1892
1893,6834.2495,1893,0.3124975235297691,0.240118553582891,0.053161560955508,0.0381046219519604,1893
1894,6510.2783,1894,0.3408752597392387,0.2310709244713542,0.0456461439912684,0.038089171263825,1894
1895,7159.5063,1895,0.3147105004237798,0.217457002819897,0.0505960563858206,0.0375683292924656,1895
