year,target,foundation,target_missing_count,foundation_missing_count,target_missing_words,foundation_missing_words
1950,effort,care_vir,5,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁']",[]
1950,effort,care_vic,5,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁']",[]
1950,effort,fare_vir,5,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁']",[]
1950,effort,fare_vic,5,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁']",['排外']
1950,effort,loya_vir,5,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁']",[]
1950,effort,loya_vic,5,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁']",['不忠']
1950,effort,auth_vir,5,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁']",[]
1950,effort,auth_vic,5,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁']",['犯上']
1950,effort,sanc_vir,5,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁']",[]
1950,effort,sanc_vic,5,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁']",[]
1950,efficiency,care_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1950,efficiency,care_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1950,efficiency,fare_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1950,efficiency,fare_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['排外']
1950,efficiency,loya_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1950,efficiency,loya_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['不忠']
1950,efficiency,auth_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1950,efficiency,auth_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['犯上']
1950,efficiency,sanc_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1950,efficiency,sanc_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1951,effort,care_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1951,effort,care_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1951,effort,fare_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1951,effort,fare_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1951,effort,loya_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1951,effort,loya_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['不忠']
1951,effort,auth_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1951,effort,auth_vic,6,2,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']","['反叛', '犯上']"
1951,effort,sanc_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1951,effort,sanc_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1951,efficiency,care_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1951,efficiency,care_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1951,efficiency,fare_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1951,efficiency,fare_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1951,efficiency,loya_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1951,efficiency,loya_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['不忠']
1951,efficiency,auth_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1951,efficiency,auth_vic,4,2,"['产出率', '最优化', '增值性', '节本降耗']","['反叛', '犯上']"
1951,efficiency,sanc_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1951,efficiency,sanc_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1952,effort,care_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1952,effort,care_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1952,effort,fare_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1952,effort,fare_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['排外']
1952,effort,loya_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1952,effort,loya_vic,6,2,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']","['不忠', '变节']"
1952,effort,auth_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1952,effort,auth_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['犯上']
1952,effort,sanc_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1952,effort,sanc_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1952,efficiency,care_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1952,efficiency,care_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1952,efficiency,fare_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1952,efficiency,fare_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['排外']
1952,efficiency,loya_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1952,efficiency,loya_vic,4,2,"['产出率', '最优化', '增值性', '节本降耗']","['不忠', '变节']"
1952,efficiency,auth_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1952,efficiency,auth_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['犯上']
1952,efficiency,sanc_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1952,efficiency,sanc_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1953,effort,care_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1953,effort,care_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1953,effort,fare_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1953,effort,fare_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['排外']
1953,effort,loya_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1953,effort,loya_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['不忠']
1953,effort,auth_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1953,effort,auth_vic,6,1,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",['犯上']
1953,effort,sanc_vir,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1953,effort,sanc_vic,6,0,"['殚思竭虑', '倾注全力', '孜孜不息', '躬行实践', '败而不馁', '坚守不渝']",[]
1953,efficiency,care_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1953,efficiency,care_vic,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1953,efficiency,fare_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1953,efficiency,fare_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['排外']
1953,efficiency,loya_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1953,efficiency,loya_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['不忠']
1953,efficiency,auth_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
1953,efficiency,auth_vic,4,1,"['产出率', '最优化', '增值性', '节本降耗']",['犯上']
1953,efficiency,sanc_vir,4,0,"['产出率', '最优化', '增值性', '节本降耗']",[]
