,Year,MeanCompound,year,efficiency_vir_vic_diff
0,1873,0.29900625,1873,0.010020637512207
1,1874,0.3570278079008521,1874,0.0069385290145873
2,1875,0.3606485576923077,1875,0.0246803402900696
3,1876,0.3746705882352941,1876,0.0190635800361633
4,1877,0.32430018903591684,1877,0.0140871524810791
5,1878,0.38209894366197183,1878,0.0199650049209595
6,1879,0.39522268984446474,1879,0.0153267502784729
7,1880,0.3933557996485062,1880,0.0258817672729492
8,1881,0.42883710777626194,1881,0.0238597631454468
9,1882,0.4167839225181598,1882,0.0156294822692871
10,1883,0.42353347778981587,1883,0.0248270034790039
11,1884,0.40854301528729575,1884,0.0283565759658813
12,1885,0.43742967032967034,1885,0.0367880702018738
13,1886,0.41840350043215213,1886,0.028765070438385
14,1887,0.4030487710219922,1887,0.0276293158531188
15,1888,0.40678768768768764,1888,0.0101570725440979
16,1889,0.4431441307578009,1889,0.0458202242851257
17,1890,0.4385737262737263,1890,0.0298488855361938
18,1891,0.4289372670807453,1891,0.0307685375213623
19,1892,0.4432793299261783,1892,0.0144263625144959
20,1893,0.4073042510121458,1893,0.0099549412727356
21,1894,0.41859704312114987,1894,0.0118475198745727
22,1895,0.41141885143570534,1895,0.023336911201477
23,1896,0.4275874045801527,1896,0.0251106619834899
24,1897,0.4335542028985508,1897,0.0155410408973694
25,1898,0.3710284564393939,1898,0.0156700015068054
26,1899,0.440997696969697,1899,0.0428801655769347
27,1900,0.42924930977360576,1900,0.0234570026397704
28,1901,0.429699667405765,1901,0.0272429943084716
29,1902,0.42770083187390545,1902,0.0275994658470153
30,1903,0.4618922363847045,1903,0.0371440291404724
31,1904,0.471679581795818,1904,0.0248637795448303
32,1905,0.4274602030456853,1905,0.0244907855987548
33,1906,0.42245355791067374,1906,0.0122584700584411
34,1907,0.41873405660377355,1907,0.0164533019065857
35,1908,0.42693895966029727,1908,0.0267485737800599
36,1909,0.42852628981606106,1909,0.0104651689529419
37,1910,0.4573926026570049,1910,0.0124702453613281
38,1911,0.43830201291302695,1911,0.0140636682510375
39,1912,0.42225500868558197,1912,0.0165623903274535
40,1913,0.42372336423841056,1913,0.0098874807357787
41,1914,0.4052392516766678,1914,0.0245550274848938
42,1915,0.40676100104275287,1915,0.0002897620201111
43,1916,0.3995666009074768,1916,0.0087665438652038
44,1917,0.3046668564696642,1917,0.0123273611068724
45,1918,0.32006852902662597,1918,0.0102168798446655
46,1919,0.38439058295964124,1919,0.0171425342559814
47,1920,0.3726860367892977,1920,0.0089236617088317
48,1921,0.36421788495352925,1921,0.0013159871101379
49,1922,0.380224578261798,1922,0.0192378282546996
50,1923,0.4247009579955785,1923,0.0168374896049499
51,1924,0.37026636828644505,1924,0.0155295610427856
52,1925,0.4298257278669043,1925,0.0198921918869018
53,1926,0.39985369146796895,1926,0.0260773062705993
54,1927,0.42351607396870555,1927,0.0199493169784545
55,1928,0.39437744337573694,1928,0.0250983119010924
56,1929,0.40537693326271185,1929,0.0247538924217223
57,1930,0.41612337888921197,1930,0.0244488954544067
58,1931,0.4141822613405552,1931,0.0193366527557372
59,1932,0.367961248852158,1932,0.0227080941200256
60,1933,0.39767971635883903,1933,0.0160344004631042
61,1934,0.41131100332594234,1934,0.0306294918060302
62,1935,0.3972611767664068,1935,0.0262029290199279
63,1936,0.42373853775196446,1936,0.0349168658256531
64,1937,0.39164330683624804,1937,0.0216820955276488
65,1938,0.37983556241426614,1938,0.0288246989250182
66,1939,0.39038923690205013,1939,0.0306111693382263
67,1940,0.3954190754381509,1940,0.0299023985862731
