"","Year","Prob","Means"
"1",1960,0.474,0.347088409388678
"2",1992,0.474,0.25605455048152
"3",2004,0.412,0.203771205147543
"4",1959,0.378,0.377060272421975
"5",1991,0.302,0.276147508479291
"6",1969,0.28,0.273844597284038
"7",1965,0.258,0.285629043991945
"8",2008,0.25,0.235801267594729
"9",2012,0.198,0.265976568993806
"10",2009,0.192,0.250242625709035
"11",2003,0.17,0.195460116199239
"12",1993,0.136,0.220766376822324
"13",1961,0.13,0.305722098656204
"14",2011,0.116,0.261270167461126
"15",1964,0.112,0.291476907089263
"16",2005,0.108,0.228603712003442
"17",1994,0.104,0.212294298259574
"18",1970,0.088,0.295726683914255
"19",1997,0.086,0.201417734334942
"20",1966,0.084,0.267603298561335
"21",1958,0.082,0.381493745031898
"22",1974,0.078,0.285092208672682
"23",1995,0.074,0.206772904427313
"24",1962,0.07,0.297010420147429
"25",1983,0.07,0.285877168968096
"26",1967,0.068,0.272914926806469
"27",1963,0.064,0.293735481836852
"28",1972,0.064,0.289954418605171
"29",1973,0.064,0.287464560596627
"30",1996,0.064,0.203923992089981
"31",1957,0.06,0.382868718469784
"32",1978,0.06,0.283250195669442
"33",1987,0.06,0.280938798764188
"34",2007,0.06,0.23449335961498
"35",1984,0.058,0.283884021887762
"36",1990,0.056,0.27847436599795
"37",1951,0.05,0.382438528547312
"38",1989,0.05,0.278192125372611
"39",2001,0.05,0.195789995665359
"40",2006,0.05,0.233056928429215
"41",1988,0.048,0.279365222965028
"42",2000,0.048,0.197332913581159
"43",2010,0.048,0.260005129005993
"44",1986,0.046,0.281725590429965
"45",1956,0.044,0.384193753406772
"46",1982,0.044,0.286992855257087
"47",2013,0.044,0.275010448982847
"48",1968,0.042,0.275177170955203
"49",1985,0.04,0.28252949549715
"50",2015,0.04,0.275510306174964
"51",1979,0.038,0.285197480336771
"52",1981,0.038,0.286683966545157
"53",2002,0.038,0.194961815644518
"54",1977,0.036,0.282717719661179
"55",1999,0.036,0.197977346460634
"56",1950,0.034,0.381733368395419
"57",1976,0.034,0.282502184878364
"58",2014,0.034,0.275178260971066
"59",1952,0.032,0.384305241176956
"60",1998,0.032,0.198318414744288
"61",1954,0.028,0.383611191642747
"62",1975,0.026,0.282892579457435
"63",1980,0.026,0.286305089107171
"64",2018,0.026,0.274574502898641
"65",1953,0.024,0.38375361308046
"66",1971,0.024,0.290144755816369
"67",2016,0.024,0.275321598861251
"68",2017,0.024,0.274930820294327
"69",2019,0.024,0.274510061273736
"70",2020,0.022,0.274750971134036
"71",1955,0.02,0.384051345920374
"72",2021,NA,0.275201843764174
