"","Year","Prob","Means"
"1",1975,0.912,-0.167746232956679
"2",1977,0.91,-0.23206065636159
"3",1978,0.572,-0.12562765897186
"4",1962,0.532,-0.153956313842159
"5",2003,0.504,-0.0482865695783421
"6",1979,0.262,-0.0817069105845832
"7",1961,0.23,-0.147063318840547
"8",2002,0.174,-0.0542950773430407
"9",2009,0.152,-0.0241637560316437
"10",1966,0.128,-0.171081234999124
"11",1960,0.098,-0.144395237019082
"12",2001,0.086,-0.0569033326061603
"13",1998,0.076,-0.0614721325547255
"14",1980,0.07,-0.0693798376929765
"15",2000,0.07,-0.0586580546562025
"16",1997,0.06,-0.0625174814908213
"17",2008,0.058,-0.0255930824209761
"18",2011,0.056,-0.0196566473971777
"19",1964,0.05,-0.17300608221203
"20",1967,0.05,-0.166170467737191
"21",1990,0.05,-0.065505261258056
"22",1999,0.048,-0.0596825673802405
"23",2012,0.046,-0.0187227023520838
"24",1993,0.044,-0.0637653096584516
"25",1965,0.042,-0.171968641250713
"26",1971,0.042,-0.168230879609615
"27",1991,0.042,-0.0646422353731282
"28",1959,0.04,-0.14394200554685
"29",1963,0.038,-0.172831212831103
"30",2005,0.034,-0.0275554008034939
"31",2006,0.034,-0.0267694839404795
"32",2004,0.032,-0.0283225689382982
"33",2010,0.03,-0.0201596946270412
"34",2016,0.03,-0.0185110803914703
"35",1974,0.028,-0.167310327087326
"36",1955,0.026,-0.14444795988076
"37",1958,0.024,-0.144017165282847
"38",2007,0.024,-0.025992059522813
"39",2014,0.024,-0.01824227595078
"40",2020,0.024,-0.0190640892172688
"41",1953,0.022,-0.144513734273436
"42",1981,0.022,-0.0671750391696691
"43",1986,0.022,-0.0661842680129331
"44",1989,0.022,-0.0657442782534961
"45",1992,0.022,-0.0640138637224538
"46",1996,0.022,-0.0627727588341066
"47",1984,0.02,-0.0664196198916796
"48",1994,0.02,-0.0631234861924508
"49",1952,0.018,-0.144732795154557
"50",1954,0.018,-0.144842858220068
"51",1957,0.018,-0.1439595715438
"52",1969,0.018,-0.168025007601666
"53",1995,0.018,-0.062936218907332
"54",2017,0.018,-0.0189099471012989
"55",1956,0.016,-0.144129388915646
"56",1968,0.016,-0.167991816830352
"57",1970,0.016,-0.168264425074953
"58",1982,0.016,-0.0666407075585451
"59",1973,0.014,-0.167194758442144
"60",1985,0.014,-0.0661806035983094
"61",1987,0.014,-0.0658789904943471
"62",1988,0.014,-0.0658069601654136
"63",2015,0.014,-0.0184100743741747
"64",1951,0.012,-0.144779429371701
"65",1972,0.012,-0.167327769388929
"66",1976,0.012,-0.232142613692517
"67",2013,0.012,-0.0179608697341995
"68",1950,0.006,-0.144654200364055
"69",2018,0.006,-0.0190232095678565
"70",2019,0.006,-0.0190738216447661
"71",1983,0.004,-0.0664808065856328
"72",2021,NA,-0.019540099394121
