"","Year","Prob","Means"
"1",1978,0.682,-0.0985456124172835
"2",1977,0.366,-0.132100078233259
"3",2003,0.218,-0.0124630829472345
"4",2002,0.152,-0.0161611345882648
"5",2009,0.112,-0.0039342036979069
"6",2001,0.086,-0.0182357455581501
"7",1996,0.06,-0.023369709164398
"8",1973,0.058,-0.128165174713864
"9",1984,0.05,-0.0293362928672155
"10",1991,0.05,-0.0260934774781008
"11",1997,0.05,-0.0220851784310176
"12",2000,0.05,-0.0191067887976101
"13",1975,0.046,-0.130283714206736
"14",1980,0.046,-0.0325237930688578
"15",1998,0.046,-0.0209166628415386
"16",1993,0.044,-0.0246042130360812
"17",1999,0.044,-0.0199641468399096
"18",2004,0.038,-0.0066028483382566
"19",2006,0.034,-0.00549283695438563
"20",2010,0.034,-0.00107740790325503
"21",2011,0.034,-0.000408986820615447
"22",1962,0.032,-0.125954387318928
"23",1992,0.03,-0.02513010773046
"24",2012,0.03,0.000316324970774634
"25",1982,0.028,-0.0304437397672844
"26",1986,0.028,-0.0276782932476666
"27",2007,0.028,-0.00484025625728102
"28",2008,0.028,-0.00458834340102412
"29",2016,0.028,0.000354924413740274
"30",1967,0.026,-0.12637700146595
"31",1979,0.026,-0.0332751048662607
"32",1981,0.026,-0.0310772542043392
"33",1974,0.024,-0.129733317163028
"34",2015,0.024,0.000826132049210455
"35",1983,0.022,-0.0298228359740324
"36",1985,0.022,-0.0281283736202236
"37",1970,0.02,-0.127342552745252
"38",2017,0.02,-0.000323850686513027
"39",1968,0.018,-0.126959213203598
"40",1990,0.018,-0.0264951329019561
"41",1994,0.018,-0.0236690926026935
"42",2018,0.018,-0.000720480314052884
"43",1955,0.016,-0.125898296469341
"44",1963,0.016,-0.126458631642317
"45",1971,0.016,-0.127665849859
"46",1972,0.016,-0.127855209105944
"47",1976,0.016,-0.132079757110409
"48",1987,0.016,-0.0270510334339592
"49",1995,0.016,-0.0235941091422338
"50",2005,0.016,-0.00580968132682865
"51",2014,0.016,0.00111274388621262
"52",2020,0.016,-0.00119588869345347
"53",1958,0.014,-0.125694565027031
"54",1988,0.014,-0.0268411339318288
"55",1953,0.012,-0.12613488674657
"56",1959,0.012,-0.125660829718787
"57",1964,0.012,-0.126620270037339
"58",1969,0.012,-0.127150076452356
"59",1951,0.01,-0.126455104762733
"60",1954,0.01,-0.126141660677755
"61",1957,0.01,-0.125705110425861
"62",1960,0.01,-0.125730288507019
"63",1966,0.01,-0.126675899190623
"64",1989,0.01,-0.0266731926475072
"65",2019,0.01,-0.00108086564967554
"66",1961,0.008,-0.125855692289623
"67",1952,0.006,-0.126242093959975
"68",1965,0.006,-0.126645745337275
"69",2013,0.006,0.00128276567279007
"70",1950,0.002,-0.126457400626919
"71",1956,0,-0.125705110425861
"72",2021,NA,-0.001638071709399
