"","Year","Prob","Means"
"1",1883,0.872,0.0468146876353837
"2",1875,0.508,0.0262393121537688
"3",1909,0.426,0.0918873224320385
"4",1907,0.306,0.0809672343620033
"5",1873,0.29,0.0128042890156459
"6",1982,0.224,0.094227184681537
"7",2008,0.218,0.0794782126078852
"8",1983,0.214,0.0903562286486547
"9",1908,0.174,0.0879840721743501
"10",1959,0.164,0.101159739537791
"11",1884,0.14,0.0826831598479525
"12",1958,0.136,0.10331180438139
"13",1948,0.134,0.106161924124529
"14",1957,0.132,0.105504511914682
"15",1955,0.122,0.109693010643607
"16",1881,0.12,0.0441574309187049
"17",1956,0.12,0.10752262326994
"18",1984,0.11,0.0867746135510833
"19",1981,0.092,0.0954606221978629
"20",1876,0.09,0.0458634716496649
"21",1910,0.09,0.10446029934515
"22",1905,0.086,0.0794524625580884
"23",1960,0.078,0.0985456063654749
"24",1997,0.076,0.0821633779861783
"25",1996,0.074,0.083369961444812
"26",1998,0.074,0.0797931611246472
"27",1935,0.072,0.10483115632392
"28",1954,0.07,0.110852821035607
"29",1902,0.068,0.0796934527680404
"30",1934,0.068,0.104029906813888
"31",1923,0.064,0.100960412924696
"32",1932,0.062,0.10317896548853
"33",1925,0.058,0.10184530385041
"34",1949,0.058,0.10853209000399
"35",1970,0.058,0.0961687850047826
"36",2007,0.058,0.0802312053845683
"37",1985,0.056,0.0852072964292591
"38",1885,0.05,0.0769998892233571
"39",1961,0.05,0.0975471425213209
"40",1912,0.048,0.101883234741826
"41",1933,0.048,0.103660940644795
"42",1936,0.048,0.105623088172349
"43",1939,0.048,0.106123581921888
"44",1995,0.048,0.0843143505714424
"45",1979,0.046,0.0963291952348843
"46",1980,0.046,0.0958561831217917
"47",1888,0.042,0.0786224024698627
"48",1891,0.042,0.0789609673424524
"49",1911,0.042,0.102009704044991
"50",1924,0.042,0.101612286829592
"51",1953,0.042,0.110241423983775
"52",1986,0.042,0.0847703389761859
"53",2004,0.042,0.0816287769699079
"54",1906,0.04,0.0811850115663121
"55",1950,0.04,0.109235621073774
"56",1951,0.04,0.109693753439229
"57",1963,0.04,0.0967536453721036
"58",2006,0.04,0.0808376733693804
"59",1874,0.038,0.026369681374267
"60",1882,0.038,0.0471267362107194
"61",1903,0.038,0.0783593686794622
"62",1927,0.038,0.102531013706681
"63",1962,0.038,0.0970519106786992
"64",1994,0.038,0.0843693229363485
"65",2005,0.038,0.0812171356342939
"66",1877,0.036,0.0430823865645413
"67",1886,0.036,0.0782406989522371
"68",1952,0.036,0.109962469769083
"69",1974,0.036,0.0972768047405263
"70",1991,0.036,0.0839189033496001
"71",2003,0.036,0.0820327968847697
"72",1887,0.034,0.0780988723708579
"73",1896,0.034,0.079483521722463
"74",1914,0.034,0.101465919610413
"75",1922,0.034,0.100726934863947
"76",1947,0.034,0.106057420799901
"77",1966,0.034,0.0961291590913674
"78",1971,0.034,0.096795770957004
"79",1988,0.034,0.0841744916403741
"80",1992,0.034,0.0837956043627828
"81",1993,0.034,0.0839904601594508
"82",1946,0.032,0.106166713294779
"83",1878,0.03,0.0433751948963809
"84",1890,0.03,0.0790267771098764
"85",1915,0.03,0.101174646950989
"86",1916,0.03,0.101098396311586
"87",1941,0.03,0.106286062562026
"88",1945,0.03,0.106397397602929
"89",1975,0.03,0.0971866763274422
"90",1987,0.03,0.0843991309575479
"91",1880,0.028,0.0438190336121185
"92",1892,0.028,0.0794809624297118
"93",1930,0.028,0.102929319992445
"94",1989,0.028,0.0839966939179756
"95",2002,0.028,0.0822452450772281
"96",2009,0.028,0.0729020277858566
"97",1895,0.026,0.079390602291559
"98",1913,0.026,0.101515574622122
"99",1926,0.026,0.102390534010667
"100",1928,0.026,0.102867731530602
"101",1976,0.026,0.096826539245081
"102",1977,0.026,0.0967580410597534
"103",1897,0.024,0.0796054282897773
"104",1904,0.024,0.0791166617511353
"105",1940,0.024,0.106206545683662
"106",1969,0.024,0.0961615142148432
"107",1889,0.022,0.0787683486487094
"108",1894,0.022,0.0794874275490726
"109",1899,0.022,0.0797684630175158
"110",1900,0.022,0.0798702741488901
"111",1917,0.022,0.100925920757683
"112",1919,0.022,0.100693928210745
"113",1921,0.022,0.100601414709818
"114",1931,0.022,0.10300260597006
"115",1937,0.022,0.10603143645734
"116",1968,0.022,0.0960890445112296
"117",1973,0.022,0.0972233666852593
"118",1978,0.022,0.0965247025379438
"119",1990,0.022,0.0838000473817295
"120",1901,0.02,0.0797500580735359
"121",1943,0.02,0.106458009879019
"122",1944,0.02,0.106513006567896
"123",1972,0.02,0.0970847718987538
"124",2000,0.02,0.0824682318868392
"125",2001,0.02,0.0823886768082829
"126",1879,0.018,0.0438033270902045
"127",1893,0.018,0.0795578480785235
"128",1920,0.018,0.100689132744964
"129",1942,0.018,0.106387950835759
"130",1999,0.018,0.0824946330881174
"131",1929,0.016,0.102931252027824
"132",1938,0.016,0.106052367044285
"133",1964,0.016,0.0963355741081957
"134",1965,0.016,0.0962688255258706
"135",1918,0.014,0.100737250719873
"136",1967,0.014,0.0960544958346204
"137",1898,0.008,0.0797418187524177
"138",2010,NA,0.0725427695587809
