"","Year","Prob","Means"
"1",1954,0.896,0.065665124222612
"2",1875,0.532,0.0213326922586391
"3",1883,0.482,0.0600225085005789
"4",1882,0.22,0.053687886017499
"5",1878,0.214,0.0398351287077416
"6",1970,0.182,0.0225126505422492
"7",1941,0.176,0.0779820724376975
"8",1944,0.174,0.0716725322669602
"9",1873,0.17,0.0137019340522688
"10",1880,0.162,0.0471468691203301
"11",2004,0.162,0.024027990291233
"12",1943,0.13,0.073790516971812
"13",1971,0.122,0.0252246054069515
"14",1939,0.11,0.0810159218272301
"15",2003,0.1,0.0257979870470907
"16",2008,0.098,0.0169348395459063
"17",1905,0.09,0.0764973714363157
"18",1953,0.086,0.0688145974011166
"19",1942,0.084,0.0749781220658864
"20",2005,0.084,0.0210517223019754
"21",1904,0.076,0.075728632057619
"22",1903,0.07,0.0750447540498493
"23",1940,0.07,0.0788961617475288
"24",2006,0.07,0.0195677138974958
"25",1907,0.066,0.0777146923249997
"26",2007,0.062,0.0181774151030554
"27",1997,0.06,0.0287325032452826
"28",1881,0.056,0.0522970444248472
"29",1936,0.056,0.0809326012101885
"30",1972,0.054,0.0268291907281244
"31",1938,0.052,0.0819031722758474
"32",1923,0.05,0.0795661770265432
"33",2002,0.048,0.0264700116756931
"34",1884,0.042,0.0744418815016214
"35",1948,0.042,0.0679641415296314
"36",1973,0.042,0.027426280043957
"37",1955,0.04,0.0248273574092038
"38",1906,0.038,0.0774867940300568
"39",1909,0.038,0.078542042143357
"40",1922,0.038,0.079253591788281
"41",1958,0.038,0.0229103437250813
"42",1999,0.038,0.0277843003800268
"43",1924,0.036,0.0800943422202551
"44",2000,0.036,0.0273141077511715
"45",2001,0.036,0.0268935920011161
"46",1969,0.034,0.0222697903171928
"47",1908,0.03,0.0783424454654578
"48",1957,0.03,0.0233668097913852
"49",1891,0.028,0.074013224329622
"50",1900,0.028,0.074609025310382
"51",1977,0.028,0.0281192589065214
"52",1899,0.026,0.0743857292340561
"53",1930,0.026,0.0805231392502405
"54",1968,0.026,0.0220608821648923
"55",1901,0.024,0.0748178630426017
"56",1916,0.024,0.0789161861595715
"57",1974,0.024,0.027798133171394
"58",1998,0.024,0.0279382317249454
"59",1874,0.022,0.0211672001312685
"60",1902,0.022,0.0749484873658995
"61",1919,0.022,0.078883569320233
"62",1935,0.022,0.0806390130694457
"63",1945,0.022,0.0684781208180222
"64",1961,0.022,0.0221615029329695
"65",1975,0.022,0.027991500597532
"66",1996,0.022,0.0289705892659588
"67",1876,0.02,0.040034418297172
"68",1913,0.02,0.0788268240879163
"69",1920,0.02,0.0789491421172399
"70",1921,0.02,0.0790562891216283
"71",1925,0.02,0.0804267242611442
"72",1959,0.02,0.0224423251391036
"73",1964,0.02,0.021939542705599
"74",1966,0.02,0.0220384143914182
"75",1967,0.02,0.0220306144393208
"76",1976,0.02,0.0280023647424014
"77",1979,0.02,0.0283296788561693
"78",1995,0.02,0.0291796747496677
"79",1877,0.018,0.0400985554510207
"80",1885,0.018,0.0735643972532729
"81",1887,0.018,0.0735124853802961
"82",1926,0.018,0.0805368071323776
"83",1946,0.018,0.0682086035517645
"84",1950,0.018,0.0687426575508276
"85",1978,0.018,0.0282491023948929
"86",1981,0.018,0.0284244213562021
"87",1990,0.018,0.0286640013391995
"88",1886,0.016,0.0734851559134698
"89",1980,0.016,0.0283521754711995
"90",1989,0.016,0.0286287013441013
"91",1992,0.016,0.0288607902498897
"92",1879,0.014,0.046866997985518
"93",1889,0.014,0.073826360031747
"94",1892,0.014,0.0741937814215098
"95",1931,0.014,0.0805464313776484
"96",1932,0.014,0.0804950497584732
"97",1934,0.014,0.080534844368549
"98",1952,0.014,0.0689290694416089
"99",1960,0.014,0.0222830912889025
"100",1962,0.014,0.0220166672780012
"101",1965,0.014,0.0219870148100477
"102",1985,0.014,0.0285411227434839
"103",1986,0.014,0.0285559097862133
"104",1888,0.012,0.0737084024246638
"105",1890,0.012,0.0739550235182923
"106",1910,0.012,0.0788483790680571
"107",1912,0.012,0.0789107988878927
"108",1927,0.012,0.0805973473262753
"109",1928,0.012,0.0805338524437782
"110",1937,0.012,0.0820680440953595
"111",1951,0.012,0.068901664795971
"112",1991,0.012,0.0287644023701162
"113",1893,0.01,0.0742549586658582
"114",1894,0.01,0.0742669799941774
"115",1897,0.01,0.0743861618341685
"116",1898,0.01,0.0744146718912329
"117",1914,0.01,0.0788986936632008
"118",1915,0.01,0.0789072067782494
"119",1918,0.01,0.0788446057137453
"120",1929,0.01,0.0805469895786903
"121",1956,0.01,0.0234535203473717
"122",1963,0.01,0.0220091600138738
"123",1993,0.01,0.0290272004491636
"124",1895,0.008,0.074305710152163
"125",1917,0.008,0.0788865805773577
"126",1947,0.008,0.0680289158973472
"127",1949,0.008,0.068717819410685
"128",1982,0.008,0.0285190232220164
"129",1984,0.008,0.0285100785643849
"130",1987,0.008,0.0285808782129591
"131",1988,0.008,0.0286052759540739
"132",1994,0.008,0.0291814716001107
"133",2009,0.008,0.0143074867513695
"134",1911,0.006,0.0788810518448513
"135",1933,0.006,0.0805247226232001
"136",1983,0.006,0.0285120056027781
"137",1896,0.004,0.0743786807947526
"138",2010,NA,0.0143221818456172
