"","Year","Prob","Means"
"1",1954,0.938,0.0678039879682078
"2",1873,0.424,0.0100301273053752
"3",1882,0.354,0.065853868894506
"4",1875,0.304,0.0322690568135888
"5",1941,0.294,0.0871189191208867
"6",1878,0.284,0.0424643145587506
"7",1880,0.282,0.0539403601726741
"8",1970,0.268,0.0194171208587959
"9",1971,0.234,0.0240214074387766
"10",1883,0.214,0.0774106277025953
"11",1944,0.206,0.0742691600212094
"12",1943,0.18,0.0783439904725221
"13",1939,0.176,0.0930635404491293
"14",1936,0.164,0.0917494028880581
"15",1923,0.114,0.0878090632047103
"16",2004,0.106,0.0303398848721829
"17",2008,0.104,0.0256210777895352
"18",1938,0.1,0.0965095532798311
"19",1972,0.1,0.0279070072258948
"20",1973,0.096,0.0294301383481758
"21",1942,0.072,0.079859032557482
"22",1974,0.07,0.0307439031387304
"23",2006,0.064,0.0278362259985026
"24",1921,0.06,0.0866367625036084
"25",1905,0.058,0.0856603882153227
"26",1924,0.058,0.0893338008032013
"27",1953,0.058,0.0700318152488849
"28",1881,0.056,0.0645968918240848
"29",1922,0.054,0.0872517538852824
"30",1935,0.054,0.0908528966820012
"31",2003,0.054,0.0311828841258825
"32",2007,0.05,0.0266779124744693
"33",1877,0.048,0.0439864640384602
"34",1948,0.046,0.0691227363550863
"35",2001,0.046,0.0322363003509091
"36",1968,0.044,0.0184006314425575
"37",1904,0.042,0.0852511261239362
"38",2005,0.042,0.0285201524763331
"39",1900,0.04,0.0844951697061335
"40",1940,0.04,0.0879025797468797
"41",2002,0.04,0.0316972197408108
"42",1955,0.036,0.019912813552314
"43",1999,0.036,0.032883213669405
"44",1920,0.034,0.0863939653489076
"45",1969,0.034,0.0189238943856038
"46",1891,0.032,0.0834686839578793
"47",1937,0.032,0.0964678339473069
"48",1874,0.03,0.0319482285908471
"49",1925,0.03,0.0900297352118957
"50",1892,0.028,0.0838116599384997
"51",1993,0.028,0.033155013292337
"52",2000,0.028,0.0325699735198767
"53",1889,0.026,0.083223082840163
"54",1902,0.026,0.0848952828283763
"55",1919,0.026,0.0861928753171688
"56",1926,0.026,0.0902350311975169
"57",1934,0.026,0.0906045845778444
"58",1945,0.026,0.0693833363124041
"59",1957,0.026,0.0189922806126827
"60",1975,0.026,0.0315865230992719
"61",1884,0.024,0.0833966641681892
"62",1967,0.024,0.0181972211181581
"63",1980,0.024,0.0320992744734036
"64",1897,0.022,0.0842426964233944
"65",1918,0.022,0.0861257359953042
"66",1932,0.022,0.0904766604173922
"67",1992,0.022,0.0329923053075611
"68",1876,0.02,0.0437476009433263
"69",1894,0.02,0.084054006064002
"70",1899,0.02,0.0843206950410648
"71",1906,0.02,0.0862204218936457
"72",1907,0.02,0.0863505226742751
"73",1912,0.02,0.0865337979720498
"74",1927,0.02,0.0905001001324188
"75",1981,0.02,0.0322547443986261
"76",1985,0.02,0.0324695207225585
"77",1997,0.02,0.0332096734056841
"78",1998,0.02,0.0329342492145835
"79",1896,0.018,0.0841804522932452
"80",1903,0.018,0.0850801703869493
"81",1908,0.018,0.0865332063047604
"82",1917,0.018,0.0863046730100126
"83",1928,0.018,0.0904733221112152
"84",1949,0.018,0.0699703251486874
"85",1958,0.018,0.0186763826607531
"86",1977,0.018,0.0319337047095866
"87",1979,0.018,0.0321071499393888
"88",1990,0.018,0.0327687398204858
"89",1996,0.018,0.0333420382793077
"90",1901,0.016,0.0847957276768161
"91",1930,0.016,0.0903472044131841
"92",1952,0.016,0.0701691784300661
"93",1959,0.016,0.0184456397020758
"94",1976,0.016,0.0317938424392513
"95",1982,0.016,0.0324039991804084
"96",1989,0.016,0.0326462677106823
"97",1887,0.014,0.0830024187176581
"98",1888,0.014,0.0830917330890504
"99",1893,0.014,0.0840149095749643
"100",1909,0.014,0.0866222316892592
"101",1910,0.014,0.0867203342599882
"102",1911,0.014,0.0865614154081848
"103",1913,0.014,0.08635154259597
"104",1915,0.014,0.0863953367223632
"105",1916,0.014,0.0863634610620431
"106",1960,0.014,0.0183289309015798
"107",1964,0.014,0.0180899659487271
"108",1994,0.014,0.033536985730515
"109",1885,0.012,0.0830533078046872
"110",1890,0.012,0.0834063036807738
"111",1929,0.012,0.0903591101633889
"112",1950,0.012,0.0700775795866585
"113",1963,0.012,0.0181726367615101
"114",1978,0.012,0.0320685791064877
"115",1987,0.012,0.0325372930615265
"116",1991,0.012,0.0329355585409488
"117",1879,0.01,0.0538085102098763
"118",1895,0.01,0.0841569081641845
"119",1914,0.01,0.0864182011759039
"120",1931,0.01,0.0904699879029184
"121",1933,0.01,0.0906111333101969
"122",1947,0.01,0.0690822703022353
"123",1961,0.01,0.0182815334408815
"124",1984,0.01,0.032431906943171
"125",2009,0.01,0.0227888855154763
"126",1886,0.008,0.0829809792915239
"127",1898,0.008,0.0843090833156735
"128",1946,0.008,0.0691041897773141
"129",1956,0.008,0.0190443387632443
"130",1962,0.008,0.0182164670948109
"131",1965,0.008,0.0181615724321091
"132",1966,0.008,0.0181594205387408
"133",1983,0.008,0.0324242296198264
"134",1988,0.008,0.032595843160427
"135",1995,0.008,0.0334529215458408
"136",1986,0.006,0.0325030695572607
"137",1951,0.002,0.0701635097860475
"138",2010,NA,0.0227471049335054
