"","Year","Prob","Means"
"1",1998,0.424,0.113500219404095
"2",1971,0.42,0.018167966320858
"3",1966,0.368,0.0688213634494989
"4",1967,0.336,0.0440946404911454
"5",2007,0.332,0.131276500228111
"6",1973,0.28,-0.0146311876183052
"7",1974,0.278,0.00602593560827486
"8",1997,0.27,0.101077335343471
"9",1975,0.26,0.0244703070209656
"10",1959,0.242,0.0435847976575999
"11",2008,0.208,0.116626671437458
"12",1978,0.194,0.0492264086452378
"13",1964,0.19,0.0564549360583778
"14",1982,0.166,0.0674993344221678
"15",2005,0.144,0.137856467346011
"16",1986,0.136,0.0769579142772857
"17",1990,0.13,0.0845631599336825
"18",1980,0.128,0.0608091452877798
"19",2009,0.128,0.108638510786336
"20",1976,0.124,0.0391024624464649
"21",1991,0.118,0.0888490299399029
"22",1988,0.102,0.0821306414011634
"23",1960,0.1,0.0540493470297289
"24",1993,0.098,0.0925322096756856
"25",1969,0.096,0.0239635021668336
"26",1981,0.096,0.0649729769413396
"27",1985,0.094,0.0747010642104838
"28",1977,0.088,0.0450695429261837
"29",1972,0.086,-0.0114184447950276
"30",1979,0.086,0.0580872456619003
"31",1994,0.084,0.09556759036584
"32",1996,0.084,0.0982599004325707
"33",1999,0.082,0.135626757843483
"34",1984,0.08,0.0760495763629076
"35",2006,0.08,0.133000778215242
"36",1965,0.076,0.0665529223763943
"37",1983,0.076,0.07373579673334
"38",2013,0.076,0.10291580577001
"39",1968,0.07,0.0241304563046943
"40",1962,0.068,0.0568919781033262
"41",2010,0.068,0.105075681389328
"42",1963,0.066,0.0552194941764958
"43",1958,0.064,0.0428225105142876
"44",1970,0.064,0.0203966531013741
"45",1952,0.06,0.0411632666784909
"46",1957,0.06,0.0432708965287965
"47",2001,0.06,0.138298603000361
"48",2014,0.06,0.101013699197635
"49",2017,0.058,0.0995305044726739
"50",1956,0.056,0.0428483284841081
"51",2000,0.054,0.138227261536489
"52",1989,0.05,0.0848443774549321
"53",2004,0.05,0.13863158053846
"54",1951,0.048,0.0417886005864323
"55",1961,0.048,0.0569100017777641
"56",2016,0.048,0.0995890287417903
"57",1987,0.046,0.0814358025520088
"58",2011,0.046,0.103706267807536
"59",2015,0.042,0.0997218027934891
"60",1992,0.04,0.0926994528183869
"61",2019,0.038,0.0991384418301637
"62",1995,0.036,0.098386380301177
"63",2002,0.036,0.138289061922374
"64",2012,0.036,0.103519605517785
"65",1954,0.034,0.0429058538045813
"66",1950,0.032,0.0420105717223848
"67",1955,0.032,0.0430482333160451
"68",2018,0.032,0.0987143710585108
"69",1953,0.028,0.0425321594873491
"70",2020,0.028,0.0995929139697038
"71",2003,0.024,0.138306983019862
"72",2021,NA,0.0992258558905882
