"","Year","Prob","Means"
"1",1960,0.726,-0.0730114573897257
"2",1982,0.684,-0.0120547178042255
"3",1969,0.47,-0.0174774040871536
"4",1992,0.392,0.0720754055636286
"5",1951,0.352,-0.0449173282619181
"6",1991,0.348,0.055002914483097
"7",2005,0.33,0.103235738940186
"8",1983,0.296,0.0328867619849669
"9",2008,0.282,0.0819291793101794
"10",1974,0.28,-0.025077969332779
"11",1972,0.222,-0.04387670147596
"12",1959,0.176,-0.085162392112135
"13",1957,0.16,-0.0773318339588144
"14",1993,0.156,0.0918296481748821
"15",1961,0.154,-0.0191741870564436
"16",2011,0.152,0.0638726332471864
"17",1973,0.144,-0.0315529677302912
"18",2004,0.124,0.108135292939066
"19",1954,0.122,-0.0689703442264644
"20",1968,0.114,-0.0132704587481801
"21",2000,0.104,0.107259286195131
"22",2009,0.098,0.0687161683991981
"23",1997,0.096,0.102665019041076
"24",2006,0.092,0.0879414444192423
"25",1953,0.084,-0.0660120827298537
"26",1975,0.076,-0.0101261396431862
"27",2014,0.076,0.0555907580180276
"28",2013,0.074,0.056972761248316
"29",1955,0.07,-0.073328501776147
"30",1978,0.07,-0.0108139636093642
"31",2007,0.068,0.0845864454790051
"32",2003,0.066,0.109936154577764
"33",2015,0.066,0.053653593673242
"34",1956,0.064,-0.0754408858708644
"35",1994,0.064,0.0983059941394809
"36",1976,0.062,-0.00679309506700821
"37",1989,0.062,0.0552053746516483
"38",1996,0.062,0.101128733164508
"39",2010,0.062,0.065530764201983
"40",1952,0.058,-0.0650235732172925
"41",1967,0.058,-0.0115565887831562
"42",1984,0.056,0.050533796503558
"43",2012,0.056,0.0585824312326787
"44",1987,0.054,0.0538016783293793
"45",2002,0.054,0.110693890098608
"46",1977,0.05,-0.00912248441465709
"47",1998,0.046,0.105918397882326
"48",1950,0.044,-0.0439597214708994
"49",1965,0.044,-0.0114414217225512
"50",1979,0.044,-0.012922809188754
"51",1990,0.044,0.0534576054684344
"52",1958,0.042,-0.0839690722240442
"53",1966,0.042,-0.0104948647227532
"54",1971,0.042,-0.0440146847199291
"55",1995,0.042,0.100214728590377
"56",1999,0.038,0.106516146187537
"57",2018,0.038,0.0522386848524767
"58",1970,0.036,-0.0440599925149873
"59",2017,0.036,0.0519592364227349
"60",1964,0.034,-0.011424029781519
"61",1980,0.034,-0.0129384571216566
"62",1986,0.034,0.0529944844706096
"63",1985,0.032,0.0524650334780799
"64",2020,0.032,0.0522717894205108
"65",1981,0.028,-0.0126554536367217
"66",1988,0.026,0.0551981001238353
"67",2001,0.026,0.110790744479973
"68",2016,0.026,0.0522690326325984
"69",1962,0.024,-0.0112766716237864
"70",1963,0.024,-0.0114793293544736
"71",2019,0.024,0.0522283368067315
"72",2021,NA,0.0517813756552548
