"","Year","Prob","Means"
"1",1975,0.462,0.266719583404207
"2",1952,0.386,0.338525461143061
"3",1951,0.38,0.362126649652287
"4",1976,0.344,0.304698475086487
"5",1992,0.304,0.26342541621185
"6",1977,0.272,0.2769266842194
"7",1955,0.258,0.31401686413143
"8",1964,0.25,0.282443299083754
"9",1993,0.202,0.275112503452237
"10",1994,0.196,0.281957855096828
"11",1971,0.174,0.276693441767337
"12",2000,0.17,0.293921968078835
"13",1961,0.15,0.290640905478015
"14",1965,0.146,0.273655737129894
"15",1957,0.14,0.299795559202034
"16",1953,0.136,0.315377457036685
"17",1969,0.128,0.270362839242739
"18",1962,0.126,0.286487900811647
"19",1999,0.112,0.291102621853635
"20",1995,0.11,0.287626576652954
"21",1956,0.106,0.302117633771489
"22",1988,0.104,0.263388924609797
"23",1979,0.1,0.261989673383027
"24",1960,0.096,0.293031984998576
"25",2001,0.094,0.29848596553991
"26",1958,0.09,0.295411197240433
"27",1987,0.09,0.264577901729367
"28",1991,0.09,0.261738424802624
"29",1973,0.088,0.266476335957567
"30",2004,0.088,0.302301134699183
"31",1954,0.086,0.310152379456858
"32",1997,0.086,0.290486249959965
"33",1998,0.084,0.289481625585189
"34",2002,0.084,0.300134163155814
"35",1989,0.082,0.261026803037967
"36",1990,0.082,0.259745738651693
"37",2015,0.082,0.30774566320993
"38",1974,0.078,0.268890058690012
"39",2005,0.078,0.303640571759831
"40",1963,0.076,0.282872525316496
"41",1966,0.076,0.269560301995012
"42",1970,0.076,0.274873914488207
"43",1967,0.074,0.268584529704824
"44",1968,0.072,0.270041093812183
"45",2006,0.072,0.304858434085036
"46",2016,0.072,0.308907889672497
"47",2020,0.072,0.30871668399056
"48",1978,0.068,0.26095949996031
"49",1981,0.066,0.265078288700138
"50",2008,0.062,0.305610701938741
"51",1972,0.06,0.268002700440031
"52",1980,0.06,0.264236885322781
"53",1985,0.058,0.264560877410089
"54",1986,0.058,0.264909437245138
"55",2007,0.058,0.305248734140552
"56",1959,0.054,0.293249236438246
"57",1996,0.054,0.290343777565767
"58",2009,0.054,0.306244280942064
"59",2003,0.052,0.301631765080091
"60",1982,0.05,0.265428137157798
"61",2018,0.05,0.310271536608158
"62",1983,0.048,0.265126234000255
"63",1950,0.044,0.363004330737096
"64",2012,0.044,0.30686059017047
"65",2019,0.044,0.309230869438589
"66",2011,0.042,0.30694596753827
"67",2017,0.042,0.310087238257858
"68",2010,0.04,0.306968919391711
"69",1984,0.038,0.264701322857843
"70",2014,0.038,0.307297654009421
"71",2013,0.032,0.307073047491702
"72",2021,NA,0.306695415598584
