"","Year","Prob","Means"
"1",1957,0.88,0.356700525172046
"2",1979,0.798,0.248983743963616
"3",1968,0.706,0.256949534439346
"4",1964,0.684,0.288073757019388
"5",1996,0.394,0.293535767098972
"6",1970,0.306,0.211468545875529
"7",1995,0.292,0.30690752405135
"8",1980,0.22,0.317704893411225
"9",1989,0.176,0.329302595608297
"10",1971,0.17,0.227117197125916
"11",1988,0.158,0.334397995031883
"12",1994,0.156,0.313294469171203
"13",1956,0.14,0.364944147463449
"14",1969,0.134,0.204861330859043
"15",1990,0.116,0.324219986287626
"16",2016,0.108,0.269643834619399
"17",1993,0.106,0.317009941792429
"18",1978,0.102,0.243713881960338
"19",1967,0.1,0.252986097070068
"20",1997,0.1,0.277304557308787
"21",1952,0.098,0.368228992418118
"22",1972,0.096,0.233547397350936
"23",1992,0.09,0.319758483399381
"24",2020,0.086,0.265591931828856
"25",1963,0.084,0.289928651842119
"26",1977,0.08,0.2412711576257
"27",1975,0.076,0.237216521924702
"28",1976,0.076,0.239294619026584
"29",1962,0.072,0.291553484204084
"30",2005,0.066,0.273623305748081
"31",2018,0.066,0.266912381983159
"32",1991,0.064,0.321224353097279
"33",1959,0.06,0.289509941818843
"34",1965,0.058,0.253520454028358
"35",2013,0.056,0.27163746386036
"36",1981,0.054,0.331188465120381
"37",2015,0.054,0.270507621355311
"38",2017,0.054,0.267018551965256
"39",1986,0.05,0.333716933430047
"40",2000,0.05,0.273824999618184
"41",1987,0.048,0.334269538291875
"42",1951,0.044,0.369199520215155
"43",1953,0.044,0.365629727272982
"44",1983,0.044,0.333141758389645
"45",1998,0.044,0.274762235609706
"46",1966,0.04,0.25293557994081
"47",2004,0.04,0.272938716554435
"48",2011,0.04,0.271690812317771
"49",2014,0.04,0.270854870209454
"50",1960,0.038,0.290630697451548
"51",2001,0.038,0.273167770852135
"52",2006,0.038,0.272173901820486
"53",1958,0.036,0.29018470742328
"54",1982,0.036,0.332719209127544
"55",1950,0.034,0.369833506991568
"56",1954,0.034,0.364892930335906
"57",1974,0.034,0.237039844729094
"58",1961,0.03,0.291402384448796
"59",2007,0.03,0.271870370993694
"60",2008,0.03,0.271677492857152
"61",1955,0.028,0.365161604830882
"62",1985,0.028,0.333827786654495
"63",2003,0.028,0.272909825467327
"64",2012,0.028,0.27139839295345
"65",1973,0.026,0.23667460500698
"66",1999,0.026,0.2741943398914
"67",2010,0.026,0.271735905610203
"68",1984,0.024,0.333720809880408
"69",2002,0.024,0.272818704143694
"70",2009,0.022,0.271614928624637
"71",2019,0.022,0.265565141095613
"72",2021,NA,0.262481871857149
