"","Year","Prob","Means"
"1",1967,0.97,0.132305158062601
"2",1977,0.734,0.0506457573315186
"3",1989,0.578,0.104524304595287
"4",1959,0.392,0.10642879777887
"5",1973,0.38,0.0269435778986987
"6",2007,0.276,0.0754291828689102
"7",1951,0.274,0.13049859631587
"8",1952,0.272,0.118171928129826
"9",1960,0.272,0.122065160998629
"10",2005,0.264,0.0849069940043122
"11",1972,0.242,0.0410281203309554
"12",1971,0.226,0.0514587159402428
"13",1978,0.214,0.0956685221254397
"14",2014,0.214,0.0635948935151262
"15",1953,0.208,0.107418237705265
"16",1956,0.168,0.0982140360154153
"17",2015,0.166,0.0579239411912078
"18",1988,0.162,0.108274778254075
"19",1990,0.138,0.0818681338956059
"20",2020,0.136,0.049167339067786
"21",1991,0.128,0.0832383155313444
"22",1979,0.122,0.105558347642319
"23",1958,0.118,0.104051629359513
"24",1974,0.118,0.0540884966167898
"25",2017,0.116,0.0527727149738694
"26",2006,0.106,0.0773337781056168
"27",2008,0.098,0.0674285990782041
"28",1999,0.096,0.086101398000751
"29",1957,0.09,0.104190719120016
"30",1961,0.088,0.132212071927859
"31",1966,0.088,0.135573390730788
"32",1987,0.088,0.109363387342369
"33",2010,0.086,0.0656966271937278
"34",2003,0.084,0.0870075929862433
"35",1975,0.082,0.049827345079789
"36",1976,0.082,0.0479651228345684
"37",1994,0.082,0.0853470179847222
"38",2016,0.078,0.0534383945167412
"39",1962,0.076,0.134437053635906
"40",1965,0.076,0.134283832926443
"41",1993,0.076,0.0851895457667993
"42",1950,0.074,0.132487842510739
"43",2004,0.074,0.085797428631884
"44",1954,0.072,0.0995606739500888
"45",1995,0.072,0.086334921577704
"46",1969,0.07,0.0525073756049325
"47",2001,0.066,0.0877597958483967
"48",1986,0.064,0.109102170497883
"49",2012,0.064,0.0654293835113879
"50",1955,0.06,0.0985937158251379
"51",1964,0.06,0.133231364474308
"52",1997,0.06,0.0854530693328277
"53",2009,0.06,0.065845669031447
"54",1981,0.058,0.108794531273148
"55",2002,0.058,0.0875764317090286
"56",2011,0.058,0.0659697113852429
"57",2018,0.056,0.0499531516137136
"58",2019,0.056,0.0495975712240136
"59",1963,0.054,0.133310116209838
"60",1983,0.054,0.108775356477144
"61",1968,0.052,0.0516609958840376
"62",1992,0.052,0.0849775145947739
"63",2000,0.052,0.0879509180934603
"64",2013,0.052,0.0645393680998443
"65",1970,0.05,0.0512246593459398
"66",1984,0.05,0.108882423957024
"67",1980,0.044,0.108821831663386
"68",1985,0.044,0.109125615573476
"69",1998,0.042,0.0858975862132475
"70",1982,0.03,0.10855191139941
"71",1996,0.03,0.0855536954516516
"72",2021,NA,0.0437720225356889
