"","Year","Prob","Means"
"1",1960,0.826,-0.00514872194911807
"2",1959,0.602,-0.00231794998770816
"3",2015,0.566,-0.000640429001219955
"4",1967,0.364,-0.00144399549867296
"5",2017,0.338,-0.00312547822658088
"6",2006,0.298,0.000145964872077065
"7",1958,0.228,-0.00167583221216012
"8",2016,0.214,-0.00241449583187106
"9",2018,0.2,-0.00204719414279509
"10",1966,0.198,-0.000979847571871557
"11",2008,0.194,-0.000544180389473842
"12",1968,0.186,-0.000465535137430236
"13",1957,0.162,-0.00136486054544007
"14",1955,0.148,-0.00103989818840766
"15",2007,0.142,-0.00036713078487177
"16",2004,0.134,0.000357189995057196
"17",2011,0.132,-0.000955727613052714
"18",1995,0.12,0.00018112647903826
"19",1964,0.118,-0.000709371672245833
"20",2000,0.118,0.000248419751606682
"21",1969,0.116,-0.000187776339217897
"22",1990,0.116,0.000281660132601537
"23",2012,0.116,-0.000760369069577489
"24",1950,0.11,-0.000702555358765253
"25",2014,0.108,-0.000600065759072746
"26",2009,0.106,-0.000859161715705995
"27",1952,0.098,-0.000960393020094927
"28",1953,0.096,-0.0010822068415019
"29",1961,0.094,-0.000663434987586022
"30",1963,0.094,-0.000589473225596895
"31",1998,0.094,0.000304404449041916
"32",1977,0.092,7.19620963391688e-05
"33",1975,0.09,1.52648134303247e-05
"34",1965,0.088,-0.000886672127253642
"35",1978,0.088,0.000130817194285727
"36",2019,0.088,-0.00153593912909932
"37",1956,0.086,-0.00131304172866741
"38",1962,0.084,-0.00048932294647946
"39",2005,0.084,0.000185382076606426
"40",1970,0.078,-7.0528020014147e-05
"41",2001,0.078,0.000390030191354428
"42",1987,0.076,0.000260814943297889
"43",2002,0.076,0.000388139216887986
"44",1951,0.074,-0.000868783239534624
"45",1954,0.074,-0.000970010919787975
"46",1974,0.074,-3.25983356002115e-05
"47",1993,0.072,0.000150732246031155
"48",1976,0.07,8.92053289420287e-05
"49",1979,0.07,0.000198152422760954
"50",1989,0.07,0.000289122943775618
"51",1992,0.07,0.000141578019249793
"52",1991,0.068,0.000107255547202217
"53",1997,0.068,0.000334376459379908
"54",2003,0.068,0.000407605081734727
"55",2013,0.068,-0.00061821748981097
"56",1999,0.066,0.000223465703552719
"57",1996,0.064,0.00033695880636761
"58",1980,0.062,0.000168708718171045
"59",1986,0.062,0.00024874133038168
"60",1971,0.06,-2.953676907891e-05
"61",1983,0.06,0.00020833885626754
"62",1973,0.058,-4.19361267270759e-05
"63",1972,0.056,-4.01399353064385e-05
"64",1982,0.056,0.000193371505489233
"65",1988,0.056,0.000283522652863201
"66",1981,0.054,0.000173405538720812
"67",1994,0.052,0.00018065164040211
"68",2020,0.052,-0.0016842314762353
"69",1984,0.05,0.00023218309581151
"70",1985,0.05,0.00022535746707623
"71",2010,0.044,-0.000980445013113332
"72",2021,NA,-0.00173503036912077
