"","Year","Prob","Means"
"1",1961,0.58,0.00505414224729719
"2",1990,0.478,0.00703343218970631
"3",1952,0.446,0.00752082352880367
"4",1962,0.446,0.0077927332167993
"5",1966,0.316,0.00989394247514986
"6",1978,0.27,0.00749872361704888
"7",1968,0.266,0.00868700991419704
"8",1950,0.2,0.00876063167133356
"9",1951,0.178,0.00799316896077495
"10",1983,0.174,0.00661699629385933
"11",1958,0.166,0.00547189001310296
"12",1971,0.152,0.0079089721671807
"13",1977,0.152,0.00781340829702686
"14",1967,0.15,0.00903398460898921
"15",1991,0.148,0.00580384557099941
"16",1953,0.132,0.00601546809871354
"17",1976,0.13,0.00809422065912208
"18",1974,0.122,0.00760015177017644
"19",1989,0.112,0.00716814935923414
"20",2010,0.108,0.00462904409477236
"21",1963,0.106,0.00972285605047743
"22",2003,0.106,0.00544460702475548
"23",2008,0.106,0.00488770237475776
"24",1975,0.104,0.00785392682108384
"25",1988,0.104,0.00698221849985192
"26",2007,0.104,0.00502698316191443
"27",1993,0.102,0.00551374176669078
"28",2019,0.102,0.00501671248893723
"29",1982,0.098,0.00687343728686512
"30",2005,0.092,0.00523188980209631
"31",1955,0.09,0.00573028949895206
"32",1969,0.088,0.00805055095259364
"33",1979,0.088,0.00678207149975496
"34",1970,0.086,0.00800565995064347
"35",1957,0.082,0.00556507170568806
"36",1994,0.082,0.00542677615435072
"37",1960,0.08,0.00502451691431215
"38",1973,0.08,0.00757557989647433
"39",2009,0.08,0.00469908782317635
"40",1992,0.078,0.00556131263196803
"41",2006,0.078,0.00512965138783738
"42",1985,0.076,0.00709048241165477
"43",1959,0.074,0.00512899566493841
"44",1987,0.074,0.00708542329137515
"45",2004,0.074,0.00530403445649936
"46",1980,0.072,0.00675534978392459
"47",1954,0.07,0.00575463908296345
"48",1981,0.068,0.00680391226757212
"49",1972,0.066,0.00760271102630422
"50",1998,0.066,0.00535710756923942
"51",2000,0.066,0.00542800634468801
"52",2018,0.066,0.00503289211672973
"53",1965,0.062,0.00983456213276393
"54",1999,0.062,0.00536026522479411
"55",2002,0.062,0.00548815888342755
"56",1997,0.06,0.0054185344565185
"57",1964,0.058,0.00987849680118963
"58",2017,0.058,0.00497163034109453
"59",1986,0.056,0.00714045185835766
"60",2012,0.056,0.00488212847357928
"61",2014,0.056,0.00490188370857786
"62",1956,0.054,0.00560276530158828
"63",1996,0.052,0.00538928880625706
"64",1984,0.05,0.0070935833682564
"65",2011,0.05,0.00484792674735859
"66",2013,0.05,0.00491389940516129
"67",2001,0.048,0.00549125869314339
"68",2015,0.046,0.00493764733872104
"69",2020,0.044,0.00477640901669633
"70",1995,0.04,0.00538483167081988
"71",2016,0.04,0.00496224379007331
"72",2021,NA,0.00469689108634166
