"","Year","Prob","Means"
"1",1964,0.616,0.0448027570960015
"2",1970,0.508,0.0565229537467459
"3",1996,0.406,0.052284635362634
"4",1905,0.384,0.0232203955793511
"5",1898,0.356,0.0222805879903767
"6",1924,0.332,0.0173618239861377
"7",1997,0.316,0.0466499957231086
"8",1963,0.298,0.0399381364421063
"9",1891,0.294,0.025758732687975
"10",1921,0.25,0.0133254281301526
"11",1908,0.24,0.017445496780696
"12",1993,0.206,0.0566572418752233
"13",1956,0.202,0.037364349584827
"14",1874,0.196,0.0164609275943974
"15",1938,0.194,0.0291539757243358
"16",1933,0.188,0.0239482041875887
"17",1888,0.182,0.0246095556542873
"18",1904,0.182,0.0253712227583625
"19",1882,0.17,0.0222724234531826
"20",1883,0.166,0.0238012550980974
"21",1925,0.164,0.0208829920839189
"22",1979,0.162,0.0503734607121328
"23",1977,0.158,0.048107411800612
"24",1879,0.154,0.0202725768045195
"25",1940,0.146,0.0324480132007678
"26",1969,0.14,0.0582918419098337
"27",1937,0.132,0.0279010804156546
"28",1939,0.132,0.0311564113625689
"29",1941,0.128,0.0338497840670019
"30",1955,0.124,0.0363927966618836
"31",1923,0.12,0.0162997029565638
"32",1935,0.12,0.0265132029288726
"33",1987,0.114,0.0553987129714529
"34",2007,0.114,0.0419343323519491
"35",1982,0.11,0.0530632227682356
"36",1995,0.108,0.0534889548683663
"37",1986,0.106,0.054647959803694
"38",1981,0.102,0.0522966065754467
"39",1899,0.098,0.0273380673172158
"40",1953,0.096,0.0352595195637842
"41",1903,0.092,0.0263664274543154
"42",1966,0.092,0.0581805443020331
"43",1978,0.09,0.0496187032913504
"44",1968,0.088,0.0593371757783255
"45",1890,0.086,0.0267010266812643
"46",1965,0.084,0.05730111364583
"47",1889,0.08,0.0278668029386045
"48",1971,0.078,0.0495077998043585
"49",1954,0.074,0.0359613606079616
"50",1887,0.072,0.0253669698453742
"51",1994,0.068,0.0539543381549701
"52",1894,0.066,0.0212632240043267
"53",1906,0.064,0.0183486547024414
"54",1909,0.064,0.0148816379625985
"55",1914,0.064,0.0139684153038939
"56",1926,0.062,0.0224900128749685
"57",1974,0.062,0.0486008113409421
"58",2000,0.062,0.0417994907563919
"59",1880,0.06,0.0215975269710898
"60",1934,0.06,0.0259474707241164
"61",1980,0.058,0.0518840737372774
"62",1878,0.056,0.0198718001728713
"63",1936,0.056,0.0276438511436375
"64",1897,0.054,0.022038952110974
"65",1932,0.054,0.0235839077323191
"66",2006,0.054,0.0423614461595181
"67",1875,0.052,0.0190550546035532
"68",1892,0.052,0.021491881289642
"69",1877,0.05,0.019493077828765
"70",1907,0.05,0.0178548886565901
"71",1943,0.05,0.0352432326757824
"72",1984,0.05,0.0541827713138104
"73",1998,0.05,0.0422144737846376
"74",1959,0.048,0.0395637431521735
"75",1927,0.046,0.0229939087228462
"76",1988,0.046,0.0563161118874171
"77",2005,0.046,0.0426912311085576
"78",1922,0.044,0.0159571667378293
"79",1950,0.044,0.0354353434631203
"80",1958,0.044,0.0393416955967051
"81",1873,0.042,0.0162072118693059
"82",1884,0.042,0.0252799353593554
"83",1989,0.042,0.05663547937152
"84",1942,0.04,0.0349808972908096
"85",1983,0.04,0.0539499886270984
"86",2008,0.04,0.0408327827699381
"87",1913,0.038,0.0140661024524925
"88",1957,0.038,0.0391000022169975
"89",1985,0.038,0.0545242498764801
"90",1886,0.036,0.025477778382978
"91",1893,0.036,0.0210985181932974
"92",1952,0.036,0.0351215275483
"93",1961,0.036,0.0399636690826357
"94",1975,0.036,0.0481282253396662
"95",1881,0.034,0.0220596343502754
"96",1919,0.034,0.0134638336407575
"97",1901,0.032,0.0263017172125371
"98",1902,0.032,0.0263814185690486
"99",1920,0.032,0.0133358168693006
"100",1976,0.032,0.0478970306517013
"101",2003,0.032,0.0424339656394556
"102",1947,0.03,0.0354687824970244
"103",1900,0.028,0.0262791001491051
"104",1910,0.028,0.0144002516387558
"105",1915,0.028,0.0134885135367837
"106",1946,0.028,0.0354434366979593
"107",1960,0.028,0.0398918881801522
"108",1990,0.028,0.0567896727985097
"109",1992,0.028,0.0567471147157717
"110",1999,0.028,0.0417642139404983
"111",1885,0.026,0.0255198819325536
"112",1895,0.026,0.0219057317095348
"113",1912,0.026,0.0141520822068567
"114",1918,0.026,0.0134435767966867
"115",1931,0.026,0.0234653881738465
"116",1951,0.026,0.0351300675059692
"117",1962,0.026,0.0397668384025333
"118",1973,0.026,0.0486459116822717
"119",2001,0.024,0.0423951493973813
"120",1911,0.022,0.0142312926620572
"121",1930,0.022,0.0234448362624576
"122",1948,0.022,0.0354579306435221
"123",1972,0.022,0.0488076525240426
"124",1917,0.02,0.0134666155156673
"125",1929,0.02,0.0233830893248035
"126",1876,0.018,0.0194191097932939
"127",1896,0.018,0.0220277795600794
"128",1928,0.018,0.0233364157919875
"129",1967,0.018,0.0593275898976156
"130",1991,0.018,0.0567488889922985
"131",2004,0.018,0.042649217964276
"132",1949,0.016,0.0354256068300143
"133",1944,0.014,0.0354629639192978
"134",1916,0.012,0.0134523767432284
"135",1945,0.012,0.0354531218050896
"136",2009,0.012,0.0405497486609062
"137",2002,0.01,0.0423985088198766
"138",2010,NA,0.0405440344851356
