"","Year","Prob","Means"
"1",1995,0.342,0.00104031359662472
"2",1926,0.28,0.000843093049258373
"3",1877,0.246,0.00065544696122176
"4",1876,0.244,0.000536082324408398
"5",1925,0.238,0.000746916694320766
"6",1999,0.198,0.00123647370129572
"7",1913,0.188,0.000779761392218023
"8",1915,0.18,0.000685416190594503
"9",1924,0.17,0.000680786309911885
"10",1879,0.156,0.000797710016396105
"11",2000,0.148,0.00137772578925923
"12",1904,0.142,0.000798780937107344
"13",1994,0.142,0.000996740179277345
"14",2005,0.128,0.00114292112165914
"15",1922,0.126,0.000636316337212845
"16",2004,0.112,0.00121703449870997
"17",1976,0.11,0.00102084296039298
"18",1878,0.102,0.000769111233454621
"19",1899,0.102,0.000868953954351858
"20",1998,0.102,0.00119917199917674
"21",1916,0.1,0.000607036483948726
"22",1901,0.086,0.000823355872277788
"23",1996,0.084,0.00117808221371515
"24",1997,0.082,0.00118319817186602
"25",2003,0.082,0.00125257777081911
"26",1900,0.08,0.000844356625562421
"27",1927,0.078,0.000951051064024283
"28",1910,0.076,0.000721973093338425
"29",1955,0.074,0.0010412263158399
"30",1905,0.072,0.000749125326623877
"31",1918,0.072,0.000578023725628248
"32",1902,0.07,0.0007993277081585
"33",1903,0.07,0.000811192233954584
"34",2001,0.07,0.00126899484832293
"35",1912,0.066,0.000766714020164114
"36",1919,0.066,0.000603425345548372
"37",1993,0.066,0.000992018532767459
"38",1911,0.064,0.000751593945159061
"39",1950,0.064,0.00100096774404521
"40",1985,0.064,0.000960644062579276
"41",1898,0.062,0.000867805707177039
"42",1914,0.062,0.000698314964074578
"43",1923,0.06,0.000677332518594882
"44",1932,0.06,0.000975586751143963
"45",1883,0.058,0.000869794391251409
"46",1897,0.058,0.00085026713994035
"47",1933,0.058,0.000979203489217933
"48",1954,0.058,0.00102137545150895
"49",1977,0.054,0.000977688739728306
"50",1991,0.054,0.000992529904815744
"51",1906,0.052,0.000741629199114538
"52",1952,0.052,0.00101739239148935
"53",1971,0.052,0.00100258523332627
"54",2007,0.052,0.00124153704737708
"55",1874,0.05,0.000508791359320349
"56",1893,0.05,0.000871444080629176
"57",1894,0.05,0.000865158164579692
"58",1951,0.05,0.00101168977275527
"59",2006,0.05,0.00122641836704509
"60",1884,0.048,0.000884063223539096
"61",1892,0.048,0.000877532560222161
"62",1920,0.048,0.000621488998717959
"63",1956,0.048,0.00101523924235434
"64",1967,0.048,0.000996424901003577
"65",1975,0.048,0.00101550103666779
"66",1875,0.046,0.000523113020487186
"67",1882,0.046,0.00085975927218207
"68",1887,0.046,0.000892168101299435
"69",1981,0.046,0.00097050482218153
"70",2008,0.046,0.00122567969591715
"71",1880,0.044,0.000855694099864474
"72",1907,0.044,0.000730590345103078
"73",1930,0.044,0.000962391467328663
"74",1888,0.042,0.000889171722940107
"75",1921,0.042,0.000629988789173507
"76",1972,0.042,0.0010094755074014
"77",1984,0.042,0.000969093675049193
"78",1986,0.042,0.000980721457669596
"79",1990,0.042,0.000987762782492458
"80",1896,0.04,0.0008560908901216
"81",1917,0.04,0.000579174018234374
"82",1935,0.04,0.000990010700300918
"83",1961,0.04,0.00100157174895248
"84",1962,0.04,0.000997054100343483
"85",1978,0.04,0.000967178480759926
"86",1980,0.04,0.000965046751931148
"87",1983,0.04,0.000974118924325372
"88",1989,0.04,0.000982518842713306
"89",1886,0.038,0.000895523659523462
"90",1890,0.038,0.000885850010553285
"91",1953,0.038,0.00102592762774024
"92",1969,0.038,0.000995496532345036
"93",1881,0.036,0.000855921653327852
"94",1885,0.036,0.000894641482842166
"95",1908,0.036,0.000723288578197353
"96",1909,0.036,0.000717906239310296
"97",1934,0.036,0.000988275910146833
"98",1938,0.036,0.000987979423629802
"99",1957,0.036,0.00101052672929264
"100",1973,0.036,0.00101389714817491
"101",1873,0.034,0.000518453330453872
"102",1936,0.034,0.000984859610784234
"103",1942,0.034,0.000991132828240761
"104",1944,0.034,0.000992331758905592
"105",1966,0.034,0.000995591546904155
"106",1970,0.034,0.00100097291404215
"107",1992,0.034,0.000994412820481114
"108",2002,0.034,0.00124661241406624
"109",1929,0.032,0.000959646001332397
"110",1931,0.032,0.000969903237119135
"111",1960,0.032,0.00100324656954983
"112",2009,0.032,0.0012203362341105
"113",1891,0.03,0.000881466846126707
"114",1937,0.03,0.000986217333693878
"115",1941,0.03,0.000991641697185006
"116",1979,0.03,0.000964877283168234
"117",1988,0.03,0.000985078164258111
"118",1895,0.028,0.00086167397959936
"119",1928,0.028,0.000959687099625665
"120",1939,0.028,0.000988919682476931
"121",1940,0.028,0.000990214445603987
"122",1949,0.028,0.000999852584280961
"123",1959,0.028,0.00100442031813433
"124",1965,0.028,0.000993936665635112
"125",1974,0.028,0.00101578016750962
"126",1982,0.028,0.000978835795872607
"127",1946,0.026,0.000995784225688197
"128",1948,0.026,0.000998701337060002
"129",1964,0.024,0.000993691087301252
"130",1968,0.022,0.000992158395671324
"131",1987,0.022,0.000986059593836521
"132",1943,0.02,0.000991482450850832
"133",1947,0.02,0.000997369307706089
"134",1958,0.02,0.0010056017232346
"135",1945,0.018,0.000993996238284363
"136",1963,0.018,0.000993331387108416
"137",1889,0.016,0.000887033449454529
"138",2010,NA,0.00121638823690328
