"","Year","Prob","Means"
"1",1873,0.992,0.0124119062301478
"2",1998,0.948,0.00540166173561965
"3",1889,0.916,0.0130162745120509
"4",1888,0.908,0.00921221469043063
"5",1997,0.886,0.00818885230436226
"6",1922,0.73,0.00789152554805828
"7",1876,0.642,0.00808336302001188
"8",1887,0.588,0.0112001541748637
"9",1911,0.496,0.00950179025249964
"10",1882,0.494,0.00892583378910519
"11",1886,0.484,0.00997910315420231
"12",1912,0.324,0.00868913519868045
"13",1874,0.294,0.00795797245186328
"14",1881,0.27,0.00952672150682234
"15",1955,0.262,0.00874013643909694
"16",1875,0.25,0.00863362095932233
"17",1924,0.246,0.00927418960260086
"18",1952,0.192,0.00924159495299257
"19",1995,0.18,0.00805906974016096
"20",1953,0.174,0.00906957083711282
"21",1954,0.166,0.00890138114162236
"22",1930,0.162,0.00976556340926344
"23",1965,0.162,0.00804711546140762
"24",1900,0.156,0.00968831452995788
"25",1915,0.152,0.0080368215937949
"26",1944,0.15,0.00954064137072748
"27",1964,0.144,0.00814589514827947
"28",1880,0.142,0.00934525100700521
"29",1942,0.14,0.00967670539006724
"30",1910,0.134,0.0096685594556065
"31",1916,0.134,0.00785298199476255
"32",1940,0.13,0.00982047315904133
"33",1884,0.128,0.00991226268241354
"34",1901,0.128,0.00989667053539338
"35",1948,0.12,0.00939716501034446
"36",1913,0.118,0.00815403538391145
"37",1956,0.116,0.00846935348707636
"38",1877,0.114,0.00943020263336859
"39",1891,0.112,0.00985205421866798
"40",1941,0.112,0.00974390497071506
"41",1966,0.104,0.00791851281578889
"42",1977,0.102,0.00780746900403598
"43",1883,0.098,0.00991917961388447
"44",1967,0.098,0.00785899331362752
"45",1929,0.094,0.00970308323796155
"46",1962,0.094,0.00821627720420638
"47",1938,0.092,0.00993259332547148
"48",1993,0.09,0.00794920464154465
"49",1994,0.086,0.00801410743813423
"50",1939,0.084,0.00987513375141463
"51",1958,0.084,0.00837876085728267
"52",1943,0.08,0.00957648767197348
"53",1949,0.08,0.00931374723702978
"54",1961,0.08,0.0082589715799497
"55",1968,0.08,0.00781510786160287
"56",1893,0.078,0.0097296170096769
"57",1909,0.078,0.00972242933632795
"58",1917,0.078,0.00772295738111047
"59",1921,0.078,0.00784265175251643
"60",1969,0.078,0.00778598739115732
"61",1999,0.078,0.00925959683662218
"62",1885,0.076,0.0100547049979491
"63",1960,0.076,0.00829036825274868
"64",1980,0.076,0.00788846318491442
"65",1935,0.074,0.00988955324978552
"66",1945,0.074,0.00943178242666247
"67",1959,0.072,0.0083255069803967
"68",1996,0.072,0.00827117520652425
"69",1923,0.07,0.0092370325570744
"70",1950,0.07,0.00927605104431539
"71",1957,0.07,0.0083933359566182
"72",1907,0.066,0.0097354322212443
"73",1908,0.066,0.00972739225226582
"74",1987,0.066,0.00796603499693141
"75",1879,0.064,0.00931033393108974
"76",1896,0.064,0.00968908693485416
"77",1919,0.064,0.00779582492063831
"78",1926,0.064,0.00963973207166573
"79",1972,0.064,0.00776131585403351
"80",1927,0.062,0.00967259983197726
"81",1928,0.062,0.00968884283049061
"82",1963,0.062,0.00816602882525225
"83",1971,0.062,0.00775305602769819
"84",1981,0.062,0.00791332635711759
"85",1982,0.062,0.00793913744205588
"86",1931,0.06,0.00989252378778463
"87",1974,0.06,0.00775476697850575
"88",1978,0.06,0.00785773031830364
"89",1920,0.058,0.00783166660796584
"90",1937,0.058,0.0099100612651187
"91",1946,0.058,0.00941545956909344
"92",1934,0.056,0.00988632718730114
"93",1985,0.056,0.00794679740198313
"94",2001,0.056,0.00932573387909623
"95",2004,0.056,0.00931705697327181
"96",2007,0.056,0.00930528795246837
"97",2009,0.056,0.00929475632681138
"98",1902,0.054,0.00972300537877463
"99",1975,0.054,0.00776675323325552
"100",1976,0.054,0.0077841148259356
"101",1986,0.054,0.00795232422152367
"102",2002,0.054,0.00933703263573157
"103",2006,0.054,0.00931247558933669
"104",1899,0.052,0.00968269823295993
"105",1914,0.052,0.00803402961741734
"106",1970,0.052,0.00776312048743197
"107",2000,0.052,0.00932751745427186
"108",2003,0.052,0.00931981911998847
"109",2008,0.052,0.00931912080161494
"110",1933,0.05,0.0098892549222757
"111",1947,0.05,0.00940484661763171
"112",1951,0.05,0.00923775662952393
"113",1897,0.048,0.00969580091023979
"114",1905,0.048,0.00972819378473452
"115",1925,0.048,0.0096502766334687
"116",1984,0.048,0.00795801730768836
"117",1988,0.048,0.00796249171018143
"118",1878,0.046,0.00930909717189151
"119",1890,0.046,0.00985914606409544
"120",1898,0.046,0.00967707953947456
"121",1903,0.046,0.00974091449398089
"122",1906,0.046,0.00972520972306999
"123",1936,0.046,0.0099072683748188
"124",1979,0.046,0.00788197867389571
"125",1992,0.046,0.0079429407593917
"126",1973,0.044,0.00774905390875784
"127",1983,0.044,0.00796074782448054
"128",1989,0.044,0.0079504668941859
"129",1904,0.042,0.00972882913127082
"130",1918,0.042,0.00778218293031256
"131",1932,0.042,0.00989947507503814
"132",1990,0.042,0.00794638394980045
"133",2005,0.042,0.00930944684167735
"134",1894,0.038,0.0096927778822908
"135",1991,0.038,0.00794450822869887
"136",1892,0.036,0.00974253265994883
"137",1895,0.02,0.00969227271605892
"138",2010,NA,0.00933336205489719
