"","Year","Prob","Means"
"1",1961,0.424,-0.101939900937529
"2",1984,0.244,-0.044590799724364
"3",1972,0.222,-0.0430702156781256
"4",1962,0.21,-0.0780798150829865
"5",1971,0.188,-0.0520142554309081
"6",1965,0.148,-0.0692585433670904
"7",1966,0.148,-0.0627893628461238
"8",1978,0.14,-0.0465004568291054
"9",2003,0.136,-0.0342364001725607
"10",1977,0.134,-0.0406346242018874
"11",1983,0.132,-0.0490926738082414
"12",1998,0.132,-0.0274445168297192
"13",1992,0.13,-0.0315787551445705
"14",1976,0.124,-0.0349780985204188
"15",1982,0.116,-0.0519572292144293
"16",1953,0.112,-0.0948965748206941
"17",1967,0.102,-0.056458503713298
"18",1973,0.1,-0.02903502444938
"19",1952,0.096,-0.0911399953093775
"20",1960,0.092,-0.105607718232421
"21",1999,0.08,-0.0327077276141413
"22",1985,0.078,-0.0328385410988202
"23",2002,0.076,-0.0328522804667806
"24",1954,0.074,-0.0992818444277077
"25",1987,0.074,-0.0330281609849714
"26",1981,0.072,-0.0533296215239391
"27",2000,0.072,-0.0338395103777022
"28",1951,0.07,-0.0885083720379533
"29",2004,0.07,-0.0384724281576999
"30",2011,0.068,-0.0405712499814819
"31",1970,0.066,-0.0536828690782743
"32",1957,0.062,-0.103685632600671
"33",2005,0.062,-0.039760627554635
"34",1969,0.06,-0.0531647975352441
"35",1956,0.058,-0.102143008703862
"36",1964,0.058,-0.067383907320777
"37",1974,0.058,-0.0341837240793709
"38",2001,0.056,-0.0328167172634931
"39",1975,0.054,-0.0342989470137817
"40",1993,0.054,-0.0260316211813091
"41",1980,0.052,-0.0534188989709485
"42",1988,0.052,-0.0315228835514386
"43",1994,0.052,-0.0269426485461553
"44",1963,0.05,-0.067362597771098
"45",1990,0.05,-0.0317584254088571
"46",1996,0.05,-0.0267509312823058
"47",1997,0.05,-0.0272072725284987
"48",2010,0.05,-0.0404985515570174
"49",2015,0.05,-0.0430892536219801
"50",1959,0.048,-0.105393640237953
"51",2012,0.048,-0.0425487609328017
"52",1955,0.046,-0.101547373676905
"53",1991,0.046,-0.0320963641108757
"54",1979,0.044,-0.0531024428263067
"55",2007,0.044,-0.0408650864794517
"56",1986,0.04,-0.0327911679287259
"57",1995,0.04,-0.0274504687146516
"58",2006,0.04,-0.0404700061511886
"59",2019,0.04,-0.0442188167381366
"60",1968,0.038,-0.0526520643557981
"61",2013,0.038,-0.0430628688620146
"62",2014,0.038,-0.0430003331714391
"63",2016,0.038,-0.0437839909061848
"64",2017,0.038,-0.0441286387801076
"65",1958,0.036,-0.10487593604088
"66",2009,0.034,-0.040581978511895
"67",2018,0.03,-0.0438016871124273
"68",2020,0.03,-0.0447878355528385
"69",1989,0.024,-0.0317888225855743
"70",1950,0.022,-0.088266967485853
"71",2008,0.022,-0.0405220048730878
"72",2021,NA,-0.0448380605048132
