"","Year","Prob","Means"
"1",1960,0.412,-0.120537907092947
"2",1972,0.404,-0.0328564334148916
"3",1971,0.38,-0.0521089359896499
"4",1987,0.376,-0.00224503001350496
"5",1957,0.356,-0.0957424966718799
"6",2011,0.336,0.0338464884636112
"7",1988,0.316,0.0201808532027163
"8",1961,0.3,-0.091154168365175
"9",1956,0.286,-0.0806568408379335
"10",2004,0.174,0.0534513689496628
"11",1962,0.15,-0.0733708483860134
"12",1992,0.136,0.0507125848383288
"13",2008,0.132,0.0445036619041698
"14",1989,0.13,0.0382336806153836
"15",2010,0.13,0.0379512765781796
"16",1970,0.124,-0.0576107764216053
"17",1967,0.11,-0.0625446081699204
"18",2003,0.106,0.0568130794830027
"19",1973,0.094,-0.00879294797210425
"20",1958,0.092,-0.11647908907772
"21",1991,0.088,0.0473121503362178
"22",1986,0.078,-0.00459642785131807
"23",1983,0.074,-0.0117140399579213
"24",1990,0.074,0.0444646051978755
"25",1955,0.07,-0.0787335521545303
"26",1977,0.07,-0.0113938712863094
"27",1984,0.07,-0.00950501238878357
"28",1985,0.07,-0.00713740665407708
"29",1965,0.068,-0.0660547772481682
"30",2006,0.068,0.0468987882016419
"31",2009,0.066,0.039981164481631
"32",2012,0.064,0.0204709775873675
"33",1982,0.056,-0.0128754710555178
"34",1975,0.054,-0.0125016716587471
"35",1963,0.05,-0.0666091808540353
"36",1976,0.046,-0.0110769112371361
"37",1993,0.046,0.0557067072856483
"38",1995,0.044,0.0568089488662822
"39",1966,0.042,-0.0635424129837097
"40",1974,0.042,-0.0135948370522308
"41",1998,0.038,0.0579356955662563
"42",1954,0.036,-0.0780852455833149
"43",1980,0.036,-0.0143662128049452
"44",1981,0.036,-0.0136437522338183
"45",2002,0.036,0.0574987539536916
"46",2005,0.036,0.0476348845503257
"47",1978,0.034,-0.0133582874036369
"48",1964,0.032,-0.0656559884323709
"49",1994,0.032,0.056688332427208
"50",2000,0.032,0.0572427498583878
"51",2014,0.032,0.0181098512263455
"52",1951,0.03,-0.0772539737801129
"53",2017,0.03,0.0181184786901974
"54",2015,0.026,0.0182613397338554
"55",1959,0.024,-0.121015424041502
"56",1968,0.024,-0.0575867284837049
"57",1979,0.024,-0.0144078273495075
"58",2007,0.024,0.0448245735456146
"59",2020,0.024,0.0184153211768149
"60",1969,0.022,-0.057730845854104
"61",1999,0.022,0.0574341250652446
"62",2001,0.022,0.0575821960139965
"63",2013,0.022,0.0183528216475939
"64",1996,0.02,0.0576495081894903
"65",2016,0.02,0.0182114802642707
"66",1997,0.018,0.0577459637781079
"67",1953,0.016,-0.0780538071661334
"68",1952,0.014,-0.0781520954828682
"69",1950,0.01,-0.0771274623135157
"70",2018,0.01,0.018525767592206
"71",2019,0.01,0.018500503526338
"72",2021,NA,0.0180722193811285
