"","Year","Prob","Means"
"1",1961,0.992,0.252710217936022
"2",1975,0.898,0.351927829779602
"3",1977,0.752,0.41639219663595
"4",1978,0.702,0.346198917667963
"5",2003,0.434,0.186230888972905
"6",1993,0.376,0.26470793998358
"7",2002,0.354,0.205633322904336
"8",1960,0.272,0.233946486242212
"9",1994,0.27,0.249020086319452
"10",1979,0.238,0.282493705642251
"11",1958,0.188,0.242599813220641
"12",1995,0.178,0.237587717675324
"13",1956,0.166,0.249264428960546
"14",1996,0.16,0.229773165919938
"15",2001,0.152,0.212396882223522
"16",2008,0.118,0.156363693147898
"17",1999,0.116,0.217869133612572
"18",2005,0.11,0.162474462157049
"19",2009,0.106,0.153394718951666
"20",2015,0.102,0.148010414523295
"21",1966,0.094,0.35720896043296
"22",1967,0.094,0.354990144868931
"23",1998,0.086,0.220583009784249
"24",1997,0.07,0.223040143119244
"25",2006,0.066,0.15868533686615
"26",1980,0.062,0.269482215633638
"27",2000,0.054,0.213626167555515
"28",1957,0.052,0.244162838496617
"29",1968,0.052,0.352872088014406
"30",2010,0.052,0.150858370832877
"31",2016,0.05,0.145733733693578
"32",1990,0.048,0.266826627554409
"33",1965,0.046,0.358021400774729
"34",1952,0.044,0.251754912152187
"35",1955,0.044,0.250151391129512
"36",2007,0.044,0.15698100867066
"37",2013,0.038,0.149001207637709
"38",1964,0.036,0.358651207699806
"39",1954,0.034,0.250766645070848
"40",2011,0.034,0.149816830827414
"41",1963,0.032,0.359201499854551
"42",1969,0.032,0.351557880940313
"43",1976,0.032,0.415033026590773
"44",1992,0.032,0.265499184281554
"45",2018,0.032,0.144643932120685
"46",2014,0.03,0.148429912940457
"47",1981,0.028,0.267480730375993
"48",1989,0.028,0.267200169962886
"49",2019,0.028,0.144171971199809
"50",1983,0.026,0.267087634625066
"51",2004,0.026,0.162626125406505
"52",1971,0.024,0.352600009058387
"53",2012,0.024,0.149144985079791
"54",1959,0.022,0.234041750446267
"55",1970,0.022,0.352256970857821
"56",2017,0.022,0.144912974415779
"57",1951,0.02,0.251943453483031
"58",1972,0.02,0.352402576593393
"59",1991,0.02,0.2658652772181
"60",1950,0.018,0.251648066577113
"61",1984,0.018,0.266879153786228
"62",1987,0.018,0.266984583178003
"63",1988,0.018,0.267076927413064
"64",1953,0.016,0.250748032929374
"65",1985,0.016,0.266816608334037
"66",2020,0.016,0.14354106201229
"67",1962,0.014,0.359334644470919
"68",1974,0.014,0.352160640968409
"69",1986,0.014,0.266867152421752
"70",1982,0.012,0.267105373592148
"71",1973,0.01,0.352243385545029
"72",2021,NA,0.143198369995764
