"","Year","Prob","Means"
"1",1961,1,-0.0330604745691176
"2",1975,0.898,0.0601404935208025
"3",1977,0.822,0.110025901569551
"4",1978,0.562,0.0469491812811564
"5",1993,0.538,-0.0123591541336143
"6",1956,0.51,-0.0209874257069141
"7",2003,0.478,-0.084051745399609
"8",1960,0.35,-0.0501960733903132
"9",1979,0.328,0.00894423431153995
"10",2002,0.31,-0.0701726264846185
"11",1996,0.308,-0.0457613982073189
"12",2005,0.278,-0.110020696696002
"13",1994,0.196,-0.0321737997001895
"14",1958,0.188,-0.0427327512592224
"15",1957,0.142,-0.038299497542218
"16",1995,0.14,-0.0398759167740914
"17",2001,0.136,-0.0657097741346542
"18",1980,0.132,-0.00557680222237908
"19",1999,0.126,-0.0618314072028203
"20",2015,0.11,-0.126736410760235
"21",2009,0.108,-0.121279551804082
"22",1997,0.106,-0.0576492747898213
"23",2010,0.086,-0.123386940456764
"24",1955,0.084,-0.0190472274229912
"25",2016,0.078,-0.128653955359971
"26",2004,0.076,-0.107726379926577
"27",1998,0.064,-0.060369231133318
"28",2008,0.058,-0.12027010777829
"29",2011,0.052,-0.124816450679872
"30",2019,0.05,-0.130206334234079
"31",1954,0.046,-0.0181487697755409
"32",1952,0.042,-0.0174165569727643
"33",1982,0.042,-0.0108310334652218
"34",1981,0.04,-0.00994533272488544
"35",2014,0.038,-0.126346865229538
"36",1968,0.034,0.0598554404551362
"37",2013,0.034,-0.125868582476648
"38",1974,0.032,0.0594649359531525
"39",1992,0.032,-0.0120266077278329
"40",1990,0.028,-0.0113122414439074
"41",2000,0.028,-0.0653090867297241
"42",1959,0.026,-0.0499058094944065
"43",1983,0.026,-0.0112732122123275
"44",2006,0.026,-0.119762394387511
"45",1967,0.024,0.0600505673253913
"46",1986,0.024,-0.011611692164375
"47",1989,0.024,-0.0112070655208125
"48",1991,0.024,-0.0117880184757116
"49",2017,0.024,-0.129781227047695
"50",1988,0.022,-0.0113975597060327
"51",2012,0.022,-0.125657113619099
"52",2018,0.022,-0.130056739587006
"53",2020,0.022,-0.131047760645902
"54",1950,0.02,-0.017680796483461
"55",2007,0.02,-0.120091783060142
"56",1976,0.018,0.109771790738551
"57",1962,0.016,0.0601592230145744
"58",1963,0.016,0.0600531191973282
"59",1969,0.016,0.0594615954781793
"60",1984,0.016,-0.0115033371216062
"61",1970,0.012,0.0593839905106961
"62",1951,0.01,-0.0173493858821754
"63",1953,0.01,-0.0182471030206315
"64",1964,0.01,0.0600352083961682
"65",1965,0.01,0.0600364088878974
"66",1966,0.01,0.060062639245256
"67",1971,0.01,0.0594178429291497
"68",1973,0.01,0.0593463274349718
"69",1972,0.008,0.0593667213181658
"70",1985,0.008,-0.0117006908919072
"71",1987,0.008,-0.0114455903051771
"72",2021,NA,-0.131284447817552
