"","Year","Prob","Means"
"1",1873,0.926,0.95310390478275
"2",1953,0.912,0.728336102860115
"3",1998,0.828,0.730561447360333
"4",1997,0.816,0.640430328871899
"5",1927,0.522,0.776412050275962
"6",1881,0.462,0.829840843701789
"7",1883,0.35,0.805050046555144
"8",1931,0.322,0.750914207255904
"9",1979,0.308,0.656442040458202
"10",1877,0.258,0.847773220929843
"11",1875,0.156,0.855553485844197
"12",1925,0.156,0.783055137588726
"13",1977,0.154,0.664604125035616
"14",1978,0.14,0.660239390222613
"15",1981,0.12,0.645121466675214
"16",1958,0.098,0.677617762933121
"17",1980,0.098,0.647587871724681
"18",1934,0.092,0.733392356541896
"19",1982,0.092,0.642051429569092
"20",1964,0.086,0.668776585110987
"21",1885,0.08,0.790728889063355
"22",1878,0.078,0.83661099371403
"23",1932,0.068,0.736790082302994
"24",1959,0.066,0.674628230394054
"25",1909,0.064,0.785566526841669
"26",2007,0.064,0.646661235678853
"27",1962,0.06,0.670869406769273
"28",1907,0.058,0.787244027347787
"29",1961,0.058,0.672084178161025
"30",1879,0.054,0.833436241491975
"31",1933,0.054,0.734769544092936
"32",1935,0.054,0.731159029835521
"33",1957,0.052,0.679070679160016
"34",2008,0.052,0.64847415604899
"35",1880,0.048,0.831754913982467
"36",1926,0.048,0.777790080658082
"37",1882,0.046,0.806358734604139
"38",1963,0.044,0.669613432081089
"39",1960,0.042,0.673040682890032
"40",1976,0.04,0.665577487286496
"41",1996,0.038,0.638822077163017
"42",1874,0.036,0.857722538078607
"43",1884,0.036,0.789460254440699
"44",1936,0.036,0.730046747717408
"45",1954,0.034,0.681404568500297
"46",2005,0.034,0.645543847565744
"47",1895,0.032,0.788473482602967
"48",1921,0.032,0.784590091029794
"49",1923,0.032,0.784251472436722
"50",1924,0.032,0.783632981679095
"51",1897,0.03,0.787798510563513
"52",1965,0.03,0.666992561698929
"53",1966,0.03,0.66655310439309
"54",1956,0.028,0.679943740401523
"55",1983,0.028,0.639722772787934
"56",1929,0.026,0.751996879756695
"57",1937,0.026,0.729473523638741
"58",1986,0.026,0.639141699628423
"59",1906,0.024,0.786837757032105
"60",1908,0.024,0.785882357463035
"61",1938,0.024,0.72913062262911
"62",2006,0.024,0.646203993248939
"63",2009,0.024,0.650070714651857
"64",1896,0.022,0.787861689827976
"65",1941,0.022,0.728396884607295
"66",1894,0.02,0.788448505671559
"67",1898,0.02,0.787141958338553
"68",1910,0.02,0.784424829533013
"69",1922,0.02,0.784325272718559
"70",1988,0.02,0.638574748069755
"71",1994,0.02,0.638266228092845
"72",1995,0.02,0.638445356979894
"73",1899,0.018,0.786922624473505
"74",1901,0.018,0.786973380259389
"75",1902,0.018,0.786907014901089
"76",1916,0.018,0.784609861898703
"77",1928,0.018,0.752281027227577
"78",1930,0.018,0.75135114544935
"79",1975,0.018,0.665605851070484
"80",2000,0.018,0.645370095635164
"81",1904,0.016,0.787108664118246
"82",1939,0.016,0.728832841273229
"83",1940,0.016,0.728606633899587
"84",1943,0.016,0.72803272711851
"85",1951,0.016,0.728132024733348
"86",1955,0.016,0.680339296741761
"87",1971,0.016,0.665801502814632
"88",1993,0.016,0.638288576845418
"89",2004,0.016,0.645418131159672
"90",1886,0.014,0.788441538110791
"91",1890,0.014,0.788055705612389
"92",1891,0.014,0.788301672325775
"93",1905,0.014,0.786976121278529
"94",1942,0.014,0.728110612470029
"95",1945,0.014,0.727912734256352
"96",1967,0.014,0.666137762463051
"97",1990,0.014,0.638348856771591
"98",1887,0.012,0.788424093038655
"99",1893,0.012,0.788331650256269
"100",1903,0.012,0.787120292072586
"101",1911,0.012,0.784348697569759
"102",1912,0.012,0.784377354768853
"103",1919,0.012,0.784535584862244
"104",1948,0.012,0.728033913805223
"105",1950,0.012,0.727933618078479
"106",1952,0.012,0.728375483126485
"107",1968,0.012,0.666041460616393
"108",1970,0.012,0.665840333538662
"109",1913,0.01,0.784554126836155
"110",1973,0.01,0.665601815859044
"111",2001,0.01,0.645254145245184
"112",2002,0.01,0.645346263757106
"113",1889,0.008,0.788253096923456
"114",1892,0.008,0.788311690606161
"115",1900,0.008,0.786978708252614
"116",1914,0.008,0.784581145749372
"117",1915,0.008,0.784650285305565
"118",1918,0.008,0.78455914438851
"119",1920,0.008,0.784583367945966
"120",1946,0.008,0.72795025134081
"121",1947,0.008,0.728023964068022
"122",1949,0.008,0.727903980722591
"123",1969,0.008,0.665929411613189
"124",1984,0.008,0.639302517690537
"125",1987,0.008,0.638663313370384
"126",1989,0.008,0.638374183290059
"127",1999,0.008,0.645425654863606
"128",1876,0.006,0.847826465754453
"129",1888,0.006,0.788205107335022
"130",1944,0.006,0.727919062569081
"131",1972,0.006,0.665620122365389
"132",1985,0.006,0.639203761365967
"133",1991,0.006,0.638309579684684
"134",1992,0.006,0.638307644698838
"135",1917,0.004,0.784531147571614
"136",1974,0.004,0.665594226809398
"137",2003,0.004,0.645392862003062
"138",2010,NA,0.650965399872318
