"","Year","Prob","Means"
"1",1873,0.998,0.954110936921778
"2",1998,0.788,0.771653068904693
"3",1997,0.78,0.7072537010706
"4",1927,0.622,0.780906363488677
"5",1877,0.53,0.842100199048526
"6",1953,0.414,0.748162424296609
"7",1907,0.328,0.791296917873684
"8",1875,0.258,0.854130866758537
"9",1881,0.246,0.807163690606101
"10",1883,0.23,0.797557666074962
"11",1977,0.192,0.722692935863013
"12",1928,0.174,0.759905762249759
"13",1978,0.144,0.718694305955068
"14",1981,0.128,0.712562140332374
"15",1906,0.126,0.78517417876347
"16",1885,0.122,0.791652425260347
"17",1957,0.116,0.73554582529978
"18",1958,0.114,0.733253120308068
"19",1980,0.112,0.714703599157876
"20",1912,0.11,0.777962118336254
"21",1925,0.106,0.783712801223685
"22",1878,0.1,0.81782522521676
"23",1879,0.098,0.813848282247296
"24",1952,0.088,0.749456082562904
"25",1905,0.086,0.787315848470133
"26",1931,0.086,0.752885159459866
"27",1982,0.086,0.710211317216246
"28",1880,0.084,0.80987486796341
"29",1960,0.084,0.730185655972553
"30",1974,0.084,0.72604131344153
"31",1976,0.08,0.724221318850014
"32",1956,0.078,0.737118797801011
"33",1909,0.076,0.778078418209054
"34",1913,0.072,0.780342981118396
"35",1882,0.07,0.799074101961375
"36",1979,0.07,0.716005277505637
"37",1908,0.064,0.779190932405525
"38",1972,0.062,0.727318764540797
"39",1954,0.056,0.738724942351784
"40",1914,0.054,0.78180780377399
"41",1911,0.052,0.777000792674916
"42",1930,0.052,0.753934751082677
"43",1975,0.05,0.724803117827288
"44",1971,0.048,0.72792918133627
"45",2003,0.046,0.706093809685173
"46",1951,0.044,0.749763060976558
"47",1955,0.042,0.737840235283521
"48",1959,0.04,0.730935547640502
"49",2005,0.04,0.707025030194993
"50",2009,0.036,0.708664398986735
"51",1884,0.034,0.791483806398728
"52",1910,0.034,0.776373410292007
"53",1917,0.034,0.783385257753041
"54",1876,0.032,0.842861953427052
"55",1887,0.032,0.788690955251939
"56",1915,0.032,0.7828360165587
"57",1904,0.03,0.78736552156328
"58",1988,0.03,0.707800146355495
"59",1886,0.028,0.789037200967366
"60",1973,0.028,0.726455388614275
"61",1983,0.028,0.708667454003329
"62",2002,0.028,0.705788931714878
"63",1929,0.026,0.754588285028109
"64",1932,0.026,0.750569238359377
"65",2006,0.026,0.707661596362279
"66",1891,0.024,0.788253532581926
"67",1903,0.024,0.787521086287587
"68",1916,0.024,0.783158653366821
"69",1934,0.024,0.750021051766679
"70",1950,0.024,0.749824764444766
"71",1984,0.024,0.708370893615669
"72",1990,0.024,0.707502186088205
"73",2007,0.024,0.707998098222996
"74",1894,0.022,0.788028641900743
"75",1961,0.022,0.728881481176496
"76",1895,0.02,0.787987686513366
"77",1902,0.02,0.787518657595123
"78",1919,0.02,0.783920326857402
"79",1964,0.02,0.728688250241821
"80",1986,0.02,0.708062773007765
"81",1992,0.02,0.707061582429021
"82",1995,0.02,0.706664238717294
"83",1996,0.02,0.706844235249366
"84",2004,0.02,0.706799008750851
"85",1874,0.018,0.853897893485013
"86",1897,0.018,0.78770782190832
"87",1922,0.018,0.783888983402216
"88",1943,0.018,0.74983139793692
"89",1949,0.018,0.749850143638877
"90",1991,0.018,0.707178634202953
"91",1993,0.018,0.706949306062202
"92",2008,0.018,0.708360237076471
"93",1896,0.016,0.787822019958311
"94",1933,0.016,0.750175199469285
"95",1947,0.016,0.749873022453506
"96",1948,0.016,0.749942542717215
"97",1962,0.016,0.728810271158056
"98",1966,0.016,0.728381023583374
"99",1968,0.016,0.728389774560302
"100",1969,0.016,0.728198376608561
"101",1970,0.016,0.728072909349416
"102",1994,0.016,0.706793799660662
"103",1888,0.014,0.788247121443981
"104",1893,0.014,0.788027292278457
"105",1899,0.014,0.787600745905391
"106",1900,0.014,0.787542217571165
"107",1936,0.014,0.749792412952921
"108",1937,0.014,0.749781541602219
"109",1946,0.014,0.7498869394232
"110",1967,0.014,0.728396687899262
"111",1989,0.014,0.707619416080782
"112",1890,0.012,0.788165170587536
"113",1901,0.012,0.787577200127953
"114",1926,0.012,0.780899178553611
"115",1938,0.012,0.749829733514928
"116",1941,0.012,0.749841060368396
"117",1944,0.012,0.749800066307532
"118",1945,0.012,0.749837520642885
"119",1889,0.01,0.788319504389788
"120",1892,0.01,0.788045469603414
"121",1921,0.01,0.783917881459078
"122",1923,0.01,0.78389138083775
"123",1965,0.01,0.728461182286616
"124",1987,0.01,0.707836329547926
"125",1999,0.01,0.705460867324834
"126",2000,0.01,0.70554807414374
"127",2001,0.01,0.705648789994246
"128",1898,0.008,0.787605795161623
"129",1918,0.008,0.783835361121868
"130",1935,0.008,0.749825533859999
"131",1963,0.008,0.728717427233559
"132",1985,0.008,0.708139082703231
"133",1939,0.006,0.749837247109085
"134",1924,0.004,0.783789394394456
"135",1940,0.004,0.749845238449552
"136",1942,0.004,0.749845864496905
"137",1920,0,0.783917881459078
"138",2010,NA,0.709677302050725
