"","Year","Prob","Means"
"1",1873,0.998,0.9058382457854
"2",1998,0.84,0.720872527861915
"3",1997,0.832,0.654137226881187
"4",1927,0.804,0.725577903721572
"5",1877,0.706,0.787251874643385
"6",1912,0.542,0.707919844118606
"7",1907,0.486,0.732531088353968
"8",1875,0.31,0.801037074826848
"9",1953,0.24,0.686621284385037
"10",1882,0.236,0.738497992656093
"11",1881,0.226,0.744811864155529
"12",1906,0.218,0.721659015372766
"13",1977,0.214,0.670335128821008
"14",1883,0.19,0.732463094834939
"15",1976,0.16,0.673345487328254
"16",1958,0.144,0.678154641628295
"17",1908,0.138,0.711565268905276
"18",1885,0.136,0.728349109740921
"19",1982,0.13,0.658079765972134
"20",1978,0.126,0.666017414376729
"21",1979,0.118,0.663724827364063
"22",1981,0.118,0.660120816798114
"23",1957,0.112,0.679693844823248
"24",1905,0.11,0.72504166577913
"25",1879,0.1,0.75093455149056
"26",1956,0.092,0.680994168888344
"27",1913,0.09,0.725388216085425
"28",1980,0.09,0.661721733578086
"29",1880,0.086,0.747418730255985
"30",1931,0.084,0.688586659251391
"31",1955,0.082,0.681869420625574
"32",1928,0.08,0.693143224985684
"33",1909,0.078,0.707853545396616
"34",1925,0.07,0.727180539988498
"35",2009,0.07,0.65252425335774
"36",1952,0.068,0.687463379629783
"37",1914,0.064,0.727356756512174
"38",1878,0.062,0.752956055768441
"39",1954,0.058,0.68237092966668
"40",2003,0.056,0.648891972293777
"41",2005,0.056,0.650156665626927
"42",1923,0.054,0.728908254335918
"43",1910,0.052,0.705583460102834
"44",1929,0.044,0.690363639030748
"45",1924,0.042,0.727931746283185
"46",1959,0.042,0.675988507788713
"47",1972,0.042,0.674914165193265
"48",2006,0.04,0.651077657724197
"49",1911,0.038,0.707093644755336
"50",1915,0.036,0.728583562963518
"51",1930,0.036,0.689219464063977
"52",1951,0.036,0.687801511918527
"53",1974,0.036,0.674317694843295
"54",2004,0.036,0.649744107444914
"55",2008,0.036,0.651927463882766
"56",1992,0.034,0.654551925861089
"57",1926,0.032,0.725484779062562
"58",1960,0.032,0.675591316745706
"59",1962,0.032,0.67518668085099
"60",1973,0.032,0.674518310693193
"61",1939,0.03,0.686579447022071
"62",1975,0.03,0.673730652253005
"63",1884,0.028,0.72783947663728
"64",1886,0.028,0.725529502027453
"65",1922,0.028,0.729182466212573
"66",1887,0.026,0.725326961816086
"67",1938,0.026,0.686398019267991
"68",1945,0.026,0.687381812107424
"69",1947,0.026,0.687574508415521
"70",1961,0.026,0.675241812618323
"71",1970,0.026,0.675301123984798
"72",1890,0.024,0.724989454046608
"73",1896,0.024,0.725223343287611
"74",1940,0.024,0.686791379777893
"75",1963,0.024,0.6752596110805
"76",2001,0.024,0.648543658512309
"77",2007,0.024,0.651601650081894
"78",1932,0.022,0.6866761256677
"79",1950,0.022,0.687713803482213
"80",1988,0.022,0.655135408715829
"81",1993,0.022,0.654267720466628
"82",1888,0.02,0.725109976239228
"83",1891,0.02,0.725583868943366
"84",1899,0.02,0.725101542366671
"85",1904,0.02,0.725152399866834
"86",1918,0.02,0.72933631381216
"87",1937,0.02,0.686285855159236
"88",1943,0.02,0.687152098636745
"89",1990,0.02,0.654923853008558
"90",2000,0.02,0.648393796405363
"91",1889,0.018,0.725210081193561
"92",1901,0.018,0.725057845122179
"93",1902,0.018,0.725037708077784
"94",1917,0.018,0.729145612833272
"95",1934,0.018,0.686383742895575
"96",1948,0.018,0.687759429728619
"97",1965,0.018,0.675341091867267
"98",1983,0.018,0.655889896505064
"99",1984,0.018,0.655643444701782
"100",1986,0.018,0.655422200204875
"101",2002,0.018,0.648747197760345
"102",1893,0.016,0.725319694566287
"103",1895,0.016,0.725334106575349
"104",1921,0.016,0.729383848891606
"105",1933,0.016,0.686508002820526
"106",1944,0.016,0.687270967298244
"107",1946,0.016,0.687525573159717
"108",1949,0.016,0.687677775520138
"109",1964,0.016,0.675356281040615
"110",1969,0.016,0.675390332816616
"111",1987,0.016,0.655218064406431
"112",1989,0.016,0.654999201140134
"113",1991,0.016,0.654666399076561
"114",1994,0.016,0.65407158764244
"115",1996,0.016,0.653981963128853
"116",1999,0.016,0.648351579383178
"117",1892,0.014,0.725265148477266
"118",1903,0.014,0.725165658574352
"119",1916,0.014,0.729064282243608
"120",1919,0.014,0.729418731655819
"121",1920,0.014,0.729427261059348
"122",1936,0.014,0.686252456182255
"123",1941,0.014,0.687044064192919
"124",1971,0.014,0.675079729020289
"125",1995,0.014,0.6539047191198
"126",1876,0.012,0.78759338560306
"127",1967,0.012,0.675433496724963
"128",1985,0.012,0.655537838890194
"129",1874,0.01,0.801116830317771
"130",1897,0.01,0.725133898088381
"131",1898,0.01,0.725077654349898
"132",1966,0.01,0.675393057343126
"133",1968,0.01,0.675418182047562
"134",1900,0.008,0.7250406642317
"135",1942,0.008,0.687119242479627
"136",1935,0.006,0.686283631966414
"137",1894,0.002,0.725332205324077
"138",2010,NA,0.654414838552325
