"","Year","Prob","Means"
"1",1960,0.822,-0.0786833165282899
"2",1982,0.638,-0.0111099154343559
"3",1992,0.564,0.0659669279840774
"4",1969,0.434,-0.0176288739631109
"5",2008,0.338,0.0848237891178404
"6",1951,0.328,-0.0459757391520755
"7",1983,0.322,0.031004636111714
"8",1974,0.302,-0.0260808235855311
"9",2005,0.264,0.102856984599221
"10",1991,0.222,0.055647127234267
"11",1972,0.196,-0.0411238446802292
"12",2011,0.16,0.0642145700730218
"13",2004,0.142,0.108643706285715
"14",1961,0.14,-0.0185505054202801
"15",1954,0.134,-0.068821639722384
"16",1993,0.128,0.0948527401376963
"17",1973,0.124,-0.0309930761466139
"18",1957,0.116,-0.0781573812341729
"19",2000,0.106,0.106481064472427
"20",1968,0.098,-0.0140158196608577
"21",2006,0.09,0.0907209120917551
"22",1959,0.084,-0.0836412071499188
"23",2007,0.082,0.0874955185914143
"24",2009,0.082,0.0685588652656091
"25",1953,0.08,-0.0660972172725049
"26",1955,0.078,-0.0735817310493568
"27",1975,0.078,-0.00989099432408665
"28",1976,0.076,-0.00595919991456398
"29",2012,0.076,0.0580312623020186
"30",1956,0.074,-0.0759218663367709
"31",1997,0.074,0.102967430676193
"32",2014,0.074,0.0549027954807956
"33",1977,0.068,-0.00928049787873811
"34",2010,0.066,0.0658240401424003
"35",1967,0.062,-0.0121477788743258
"36",1981,0.06,-0.0124196541758587
"37",1952,0.052,-0.0646504833594507
"38",1987,0.052,0.0531746822075496
"39",1984,0.048,0.0504457460021684
"40",1999,0.048,0.105632902463418
"41",1966,0.046,-0.0108694292306252
"42",1978,0.046,-0.0115650461231704
"43",1990,0.046,0.0539551494895817
"44",1970,0.044,-0.0418202449069213
"45",1989,0.044,0.0548695622399963
"46",2013,0.044,0.0557318085806573
"47",2015,0.044,0.0530700329807371
"48",1958,0.042,-0.082790879918512
"49",1995,0.042,0.101122011172057
"50",1996,0.04,0.101864625677917
"51",2003,0.04,0.109549525408439
"52",1971,0.038,-0.0414171168076329
"53",1985,0.038,0.0520101447840643
"54",1994,0.038,0.100149087671486
"55",1964,0.034,-0.011323481756091
"56",1965,0.034,-0.0115753759456816
"57",1980,0.034,-0.0126923307086348
"58",1986,0.034,0.0524987114140281
"59",2002,0.034,0.110119881736807
"60",1962,0.032,-0.011439594962931
"61",1998,0.032,0.105074109455846
"62",2020,0.032,0.0521177705704315
"63",1950,0.03,-0.0452164320691919
"64",2016,0.026,0.0520372491527772
"65",1988,0.024,0.0547850783493917
"66",2001,0.022,0.109979606573928
"67",1963,0.02,-0.0112386688735257
"68",2017,0.02,0.0519553013624819
"69",2018,0.02,0.0520718107742459
"70",2019,0.02,0.052123919557584
"71",1979,0.016,-0.0126549647271991
"72",2021,NA,0.0516480228116572
