"","Year","Prob","Means"
"1",1961,0.994,0.254470141551124
"2",1975,0.87,0.351495040050049
"3",1977,0.722,0.414740002013821
"4",1978,0.672,0.347150697655833
"5",2003,0.508,0.191525010940154
"6",1960,0.4,0.224990776038323
"7",1958,0.344,0.241786032616941
"8",2002,0.304,0.207602177801261
"9",1993,0.294,0.263603721281631
"10",1979,0.292,0.285106210209387
"11",1995,0.24,0.242105295795483
"12",1994,0.234,0.251793328362692
"13",1996,0.152,0.231302090404953
"14",1956,0.144,0.248537634032033
"15",2015,0.136,0.146678636426743
"16",2009,0.132,0.153640490579309
"17",2005,0.13,0.162807662363151
"18",1997,0.12,0.224792882394943
"19",1998,0.12,0.220141010212431
"20",1966,0.096,0.356490042168289
"21",2001,0.096,0.211552260155775
"22",1999,0.088,0.216002079624867
"23",2008,0.082,0.155743493380702
"24",1967,0.078,0.354190407410968
"25",1957,0.074,0.243963878617536
"26",2011,0.064,0.149483568070972
"27",2000,0.062,0.213084500660445
"28",1955,0.06,0.249814897713352
"29",2016,0.06,0.143386761816461
"30",1952,0.054,0.251326489390216
"31",1980,0.052,0.268775822811008
"32",1968,0.05,0.352481959482323
"33",1992,0.05,0.26466972754531
"34",1965,0.048,0.357399129598345
"35",1990,0.046,0.26669729873793
"36",1991,0.046,0.26567383133501
"37",2007,0.046,0.15670302599712
"38",1963,0.044,0.358959803487163
"39",2010,0.044,0.150274833993783
"40",2013,0.042,0.147897629222762
"41",1974,0.04,0.352031535241997
"42",2006,0.04,0.157652387704181
"43",2012,0.04,0.148357994416144
"44",2014,0.038,0.147175456172782
"45",1970,0.034,0.351919740429852
"46",2004,0.034,0.163386095795563
"47",1964,0.032,0.358040476894939
"48",2017,0.032,0.142289564468337
"49",1976,0.028,0.413543179076904
"50",1989,0.028,0.26714125968421
"51",2020,0.028,0.14115350114927
"52",1969,0.026,0.351534875203924
"53",2019,0.026,0.141653257431875
"54",1954,0.024,0.250134964137086
"55",1971,0.024,0.352534512790023
"56",1986,0.024,0.267017622362449
"57",1953,0.022,0.250034168199619
"58",1959,0.022,0.225117735073115
"59",1962,0.022,0.358968063607328
"60",1973,0.022,0.352167621704487
"61",1950,0.02,0.251007682376847
"62",1982,0.016,0.267046552841338
"63",1985,0.016,0.266937940945729
"64",2018,0.016,0.141817866967807
"65",1951,0.012,0.251398291140491
"66",1972,0.012,0.35217064984116
"67",1981,0.01,0.267233005488008
"68",1988,0.01,0.267138705309358
"69",1987,0.008,0.267131797857302
"70",1984,0.006,0.266984260308711
"71",1983,0.002,0.266982477325927
"72",2021,NA,0.14058219695003
