"","Year","Prob","Means"
"1",1961,1,-0.0312916862556146
"2",1975,0.888,0.0682648718838317
"3",1977,0.782,0.119018015437884
"4",1978,0.634,0.0575656377597548
"5",2003,0.6,-0.0721675725600636
"6",1993,0.54,-0.0061776592124917
"7",1956,0.506,-0.0155149115891661
"8",1960,0.274,-0.045054321308953
"9",1996,0.27,-0.0419837920320418
"10",2005,0.262,-0.106293521035494
"11",1979,0.246,0.0124598737251032
"12",1994,0.232,-0.0276453387340049
"13",1958,0.21,-0.0359287703424699
"14",2002,0.208,-0.0632600921930578
"15",1980,0.152,0.00147099027567381
"16",1997,0.13,-0.0521576593290341
"17",2001,0.12,-0.0593623626910027
"18",1995,0.116,-0.0372249854614314
"19",1955,0.114,-0.0125326166304025
"20",2015,0.086,-0.122272291540333
"21",1957,0.082,-0.0334057694470346
"22",1999,0.082,-0.0573049139199475
"23",2008,0.078,-0.116559377762861
"24",1952,0.076,-0.0099221464821205
"25",2009,0.076,-0.117994392139389
"26",1998,0.074,-0.0557766817331303
"27",2011,0.074,-0.120138178505882
"28",2004,0.064,-0.10389449922139
"29",2010,0.054,-0.119358218478094
"30",1968,0.046,0.068676000399215
"31",1992,0.046,-0.00553083593498666
"32",2016,0.046,-0.123780983874267
"33",2019,0.044,-0.12486089462391
"34",1954,0.042,-0.0116579376164015
"35",1990,0.042,-0.00446137813424389
"36",1967,0.038,0.06910736859023
"37",2013,0.038,-0.121568375325847
"38",1966,0.034,0.0694324115505945
"39",1991,0.034,-0.00518552071851788
"40",1959,0.03,-0.0445578105845445
"41",1981,0.028,-0.00351383573203244
"42",2006,0.028,-0.115916331903092
"43",2018,0.028,-0.124634204994561
"44",2020,0.028,-0.12566311680884
"45",2012,0.026,-0.12137417676622
"46",2014,0.026,-0.122075282451216
"47",2017,0.026,-0.124356031159957
"48",1953,0.024,-0.0118424478904321
"49",1969,0.024,0.0680031175020005
"50",1974,0.024,0.0680560150975387
"51",1982,0.024,-0.00408214983351217
"52",1983,0.024,-0.0043594238758316
"53",1985,0.024,-0.00455991706973934
"54",1988,0.024,-0.0043699849875133
"55",1951,0.022,-0.00967015562393683
"56",1976,0.022,0.118577122078396
"57",1986,0.022,-0.00438293575500466
"58",1950,0.02,-0.00991527645929751
"59",1963,0.02,0.0694425727514272
"60",1973,0.02,0.0678010901947379
"61",2007,0.02,-0.116337078087313
"62",1965,0.018,0.0694042617940611
"63",2000,0.018,-0.0592684598619235
"64",1972,0.016,0.0678613689681125
"65",1964,0.014,0.0694297271989605
"66",1970,0.014,0.0678103407708687
"67",1971,0.014,0.0679164932901918
"68",1989,0.014,-0.00432490817323661
"69",1962,0.012,0.069474650683771
"70",1984,0.012,-0.00447149435131249
"71",1987,0.008,-0.00438305692696163
"72",2021,NA,-0.126056962445221
