"","Year","Prob","Means"
"1",1873,0.922,0.962527201700055
"2",1998,0.902,0.77702789745858
"3",1953,0.898,0.759547059444556
"4",1997,0.878,0.69586866107331
"5",1881,0.62,0.853324192155815
"6",1927,0.394,0.792876723700915
"7",1907,0.292,0.812510834979709
"8",1908,0.242,0.804808397485061
"9",1909,0.232,0.799302253631309
"10",1877,0.188,0.86406647534048
"11",1883,0.184,0.823844741418836
"12",1875,0.18,0.87290598371721
"13",1931,0.17,0.769530894740811
"14",1977,0.162,0.710039460183442
"15",1930,0.154,0.774108779678056
"16",1979,0.152,0.703884982807782
"17",1905,0.138,0.815246595391922
"18",1978,0.116,0.706339881108201
"19",1929,0.112,0.777238691736445
"20",1976,0.108,0.7122448044719
"21",1981,0.106,0.699623109679768
"22",1885,0.086,0.81887449866057
"23",1928,0.082,0.779501711186927
"24",1882,0.064,0.825664818462952
"25",1982,0.064,0.69752321154932
"26",1971,0.06,0.715733216359413
"27",1972,0.058,0.714618493162377
"28",1932,0.054,0.763978567879097
"29",1925,0.048,0.794674413048938
"30",1952,0.048,0.760805108834783
"31",1968,0.046,0.717466885074173
"32",1880,0.044,0.854612814394238
"33",1884,0.044,0.81632529375638
"34",1933,0.044,0.762633749453088
"35",1958,0.044,0.720208162192755
"36",1970,0.044,0.716517671476943
"37",1980,0.04,0.700464255115307
"38",2009,0.04,0.690356210307012
"39",1906,0.038,0.812193960253388
"40",1926,0.038,0.793452221588525
"41",1973,0.038,0.713686980807009
"42",1996,0.036,0.69468287472628
"43",1879,0.034,0.855688578876241
"44",1961,0.034,0.718546116791978
"45",1954,0.032,0.721498528187578
"46",1975,0.032,0.712791068004213
"47",1983,0.032,0.696302551780666
"48",1985,0.032,0.695599779473588
"49",2008,0.032,0.689607083561314
"50",1902,0.028,0.814760317227958
"51",1959,0.028,0.719191675212266
"52",1878,0.026,0.856573397997062
"53",1913,0.026,0.793785367728718
"54",1969,0.026,0.716872291617497
"55",1891,0.024,0.815377432111863
"56",1901,0.024,0.814698705905976
"57",1914,0.024,0.794023986358049
"58",1934,0.024,0.761815174896737
"59",1956,0.024,0.720694847678935
"60",1962,0.022,0.718140012346586
"61",1974,0.022,0.713090898490773
"62",1999,0.022,0.687695620405446
"63",2005,0.022,0.68851756567343
"64",2007,0.022,0.689182472910759
"65",1876,0.02,0.864318553151211
"66",1887,0.02,0.815620555273482
"67",1918,0.02,0.794519451472821
"68",1935,0.02,0.761532238146063
"69",1984,0.02,0.695809396527484
"70",1986,0.02,0.695180447989593
"71",1995,0.02,0.694460084303556
"72",2006,0.02,0.688885278197612
"73",1990,0.018,0.694852042931064
"74",1889,0.016,0.815385882986728
"75",1895,0.016,0.815094129584143
"76",1904,0.016,0.815351937153501
"77",1923,0.016,0.794876065218548
"78",1939,0.016,0.761088960849762
"79",1949,0.016,0.760965212783585
"80",1964,0.016,0.717820409529084
"81",2003,0.016,0.688223628536684
"82",1892,0.014,0.814996491516133
"83",1896,0.014,0.814902583585933
"84",1897,0.014,0.814823020467062
"85",1900,0.014,0.814541790679163
"86",1903,0.014,0.815435260763289
"87",1911,0.014,0.793505832094694
"88",1912,0.014,0.793659146511066
"89",1915,0.014,0.794302867017786
"90",1916,0.014,0.794382686948607
"91",1922,0.014,0.794859636259957
"92",1936,0.014,0.761271383591694
"93",1945,0.014,0.760832174394939
"94",1960,0.014,0.71872074646747
"95",1967,0.014,0.71760264648209
"96",2002,0.014,0.688046084377229
"97",1888,0.012,0.815341517014073
"98",1898,0.012,0.814667976393541
"99",1910,0.012,0.793484218549122
"100",1917,0.012,0.794474240496665
"101",1924,0.012,0.794722945804828
"102",1946,0.012,0.760967825978872
"103",1947,0.012,0.760977994524078
"104",1951,0.012,0.760908253609045
"105",1955,0.012,0.720936168798764
"106",1957,0.012,0.720423974828069
"107",1963,0.012,0.71789197458224
"108",1987,0.012,0.694956942491295
"109",1874,0.01,0.872887293683799
"110",1886,0.01,0.815684006059813
"111",1890,0.01,0.815267776230487
"112",1894,0.01,0.815108172727228
"113",1920,0.01,0.794726737039914
"114",1921,0.01,0.794793562707817
"115",1938,0.01,0.761138911706089
"116",1940,0.01,0.761033628864648
"117",1942,0.01,0.760962322850903
"118",1993,0.01,0.69458072041303
"119",2000,0.01,0.687852060004098
"120",2001,0.01,0.687931669044233
"121",2004,0.01,0.688419779119062
"122",1893,0.008,0.815028125526261
"123",1899,0.008,0.81450870667148
"124",1941,0.008,0.761023151159186
"125",1943,0.008,0.760933630298474
"126",1944,0.008,0.760861307099456
"127",1966,0.008,0.717698787721356
"128",1988,0.008,0.694857231942426
"129",1989,0.008,0.694851603986119
"130",1992,0.008,0.694671832474944
"131",1994,0.008,0.694469315513773
"132",1919,0.006,0.794682814835761
"133",1937,0.006,0.761152564509169
"134",1965,0.006,0.717707096501826
"135",1948,0.004,0.760963765025809
"136",1950,0.004,0.760875116722177
"137",1991,0.002,0.694674453421525
"138",2010,NA,0.691711483070887
