"","Year","Prob","Means"
"1",1873,0.998,0.954747272650029
"2",1998,0.796,0.7736331399633
"3",1997,0.79,0.708073548060355
"4",1927,0.586,0.782186561324651
"5",1877,0.566,0.842369375734922
"6",1953,0.324,0.749846913345474
"7",1875,0.274,0.855232958204991
"8",1977,0.266,0.724316065598807
"9",1907,0.256,0.790580762772774
"10",1881,0.252,0.807149928700286
"11",1957,0.192,0.737965596224901
"12",1883,0.188,0.797797253870494
"13",1978,0.174,0.718842238785529
"14",1929,0.146,0.759959057172666
"15",1885,0.132,0.793324379832237
"16",1931,0.132,0.754378914743672
"17",1912,0.128,0.778169768574198
"18",1981,0.122,0.712971702040537
"19",1958,0.12,0.734127751434571
"20",1880,0.116,0.810566254021715
"21",1956,0.112,0.740219801903683
"22",1879,0.108,0.814459840044738
"23",1976,0.108,0.726351236430746
"24",1906,0.104,0.785888248072307
"25",1908,0.104,0.781306001371304
"26",1909,0.094,0.779257917048462
"27",1905,0.092,0.788086710257382
"28",1928,0.092,0.762717257440496
"29",1979,0.088,0.715476414642892
"30",1954,0.084,0.742369836909663
"31",1913,0.068,0.781218040568057
"32",1882,0.066,0.799309969629464
"33",1982,0.066,0.710757000193246
"34",1955,0.064,0.741248199052616
"35",1959,0.062,0.731664947893879
"36",1930,0.058,0.75580047265938
"37",1878,0.054,0.816331592916418
"38",1980,0.054,0.713915760378053
"39",1887,0.052,0.790062600421224
"40",1914,0.05,0.7825005887725
"41",1925,0.048,0.783672928890502
"42",1960,0.046,0.730606175829851
"43",1975,0.046,0.72700758416747
"44",1895,0.044,0.789024349477824
"45",1910,0.044,0.776589595362894
"46",1952,0.038,0.750451834803357
"47",1971,0.038,0.728479253964492
"48",2009,0.038,0.710111379736586
"49",1876,0.036,0.842960705992442
"50",1886,0.036,0.790425870123735
"51",1911,0.036,0.777439616287383
"52",1926,0.036,0.78264426995303
"53",2005,0.036,0.708158066655158
"54",1974,0.034,0.727533823569364
"55",2006,0.034,0.708728626934881
"56",1969,0.032,0.729151638357425
"57",2003,0.032,0.70751782260451
"58",1902,0.03,0.788228467375953
"59",1904,0.03,0.788262965070786
"60",2008,0.03,0.709599260072551
"61",1933,0.028,0.750711703308038
"62",1961,0.028,0.729862240310935
"63",1983,0.028,0.709682819425896
"64",2007,0.028,0.709168409352609
"65",1874,0.026,0.854951166702304
"66",1891,0.026,0.789385663937766
"67",1917,0.026,0.783848723944348
"68",1951,0.026,0.750468258966281
"69",1970,0.026,0.728801984784341
"70",1972,0.026,0.727955852356503
"71",1884,0.024,0.793036502144993
"72",1888,0.024,0.789268383038972
"73",1941,0.024,0.750372473277006
"74",1948,0.024,0.750523178958913
"75",1962,0.024,0.729516270913739
"76",1986,0.024,0.709062108321306
"77",1990,0.024,0.708547150202197
"78",1890,0.022,0.789199205339159
"79",1896,0.022,0.7885066151742
"80",1916,0.022,0.783630198505411
"81",1985,0.022,0.709316058234631
"82",1992,0.022,0.708145184058425
"83",1899,0.02,0.788354415119854
"84",1924,0.02,0.783934887615274
"85",1932,0.02,0.750960474785199
"86",1950,0.02,0.750413878230451
"87",1968,0.02,0.729281698213402
"88",1993,0.02,0.707957494916172
"89",1996,0.02,0.707867372062771
"90",2000,0.02,0.706836699832625
"91",1923,0.018,0.784143476761945
"92",1967,0.018,0.729312719608119
"93",2002,0.018,0.707293687887503
"94",1892,0.016,0.789065839281407
"95",1897,0.016,0.788493021095586
"96",1915,0.016,0.783464111140202
"97",1921,0.016,0.784242321273203
"98",1922,0.016,0.784196512138853
"99",1935,0.016,0.75041279430847
"100",1944,0.016,0.75034994168915
"101",1963,0.016,0.729466104754704
"102",1964,0.016,0.729373285433374
"103",1984,0.016,0.70938006094196
"104",1991,0.016,0.708293431900185
"105",1994,0.016,0.707834143578262
"106",2001,0.016,0.707072904695248
"107",2004,0.016,0.707969548425296
"108",1889,0.014,0.789412402996711
"109",1893,0.014,0.788952768785172
"110",1894,0.014,0.789020165256564
"111",1939,0.014,0.750364393050295
"112",1943,0.014,0.750380218241828
"113",1949,0.014,0.750404183166377
"114",1987,0.014,0.708809168439015
"115",1995,0.014,0.707653963223815
"116",1900,0.012,0.788203685325761
"117",1918,0.012,0.784086918620037
"118",1919,0.012,0.784170757292956
"119",1945,0.012,0.750402569087909
"120",1965,0.012,0.729269216026219
"121",1966,0.012,0.729262286289964
"122",1989,0.012,0.708612394540765
"123",1898,0.01,0.788429685640159
"124",1920,0.01,0.784206751805611
"125",1936,0.01,0.750375622978602
"126",1940,0.01,0.750396024936682
"127",1942,0.01,0.750396251277548
"128",1973,0.01,0.727615603469839
"129",1988,0.01,0.708701932413775
"130",1901,0.008,0.788269314989216
"131",1903,0.008,0.788325939374717
"132",1934,0.008,0.750470380865202
"133",1947,0.008,0.750520421546896
"134",1999,0.008,0.706783278368919
"135",1937,0.006,0.750366722569029
"136",1946,0.006,0.75048744616124
"137",1938,0.004,0.750360258060344
"138",2010,NA,0.711146921453633
