"","Year","Prob","Means"
"1",1873,1,0.918623129727148
"2",1997,0.886,0.662325170087077
"3",1998,0.886,0.730057261678089
"4",1877,0.656,0.795588216929986
"5",1927,0.586,0.732227596357896
"6",1912,0.428,0.719518269011082
"7",1907,0.328,0.740392962176814
"8",1875,0.278,0.808326674408727
"9",1881,0.258,0.753391516411253
"10",1928,0.256,0.709562872870979
"11",1953,0.232,0.696278698415419
"12",1977,0.212,0.677911507100895
"13",1885,0.184,0.739655912410702
"14",1908,0.182,0.725594580119723
"15",1883,0.174,0.742574171380207
"16",1956,0.168,0.689474398524679
"17",1906,0.166,0.731469174616191
"18",1979,0.128,0.672073987746758
"19",1879,0.122,0.761336284025262
"20",1882,0.12,0.745475798693959
"21",1955,0.114,0.691071618019957
"22",1957,0.114,0.68685149434711
"23",1982,0.106,0.66662551872647
"24",1925,0.104,0.735573175259098
"25",1880,0.1,0.756478732520506
"26",1976,0.1,0.679708822051973
"27",1913,0.098,0.733008053265933
"28",1978,0.096,0.673777979177665
"29",1980,0.096,0.669805641308679
"30",1905,0.09,0.734447247368752
"31",1931,0.086,0.698876780929322
"32",1981,0.086,0.668166814621214
"33",1958,0.084,0.685019146045966
"34",1952,0.078,0.69734794837123
"35",1954,0.076,0.691708627430358
"36",1909,0.068,0.72062361515246
"37",1975,0.064,0.680697937811639
"38",1884,0.062,0.737690479271867
"39",1878,0.058,0.763245929663094
"40",1923,0.056,0.736625281690963
"41",1914,0.054,0.735212345054784
"42",2005,0.054,0.659003144811408
"43",2003,0.05,0.657961665567801
"44",2009,0.05,0.66166913772974
"45",1929,0.046,0.70061780167862
"46",1971,0.044,0.682538330278563
"47",2008,0.044,0.660920513276375
"48",1983,0.042,0.664770518720046
"49",1960,0.04,0.683166666178096
"50",1951,0.038,0.697515899752293
"51",1959,0.038,0.683734014113405
"52",1974,0.038,0.681200113546023
"53",2007,0.038,0.660370839931633
"54",1972,0.036,0.682075033566477
"55",2006,0.036,0.659888795567124
"56",1887,0.034,0.735173067445036
"57",1932,0.034,0.696848829735281
"58",1886,0.032,0.73532733880819
"59",1915,0.032,0.736248960371279
"60",1933,0.03,0.696629698211952
"61",1984,0.03,0.664233116057114
"62",1986,0.03,0.66365474533735
"63",1973,0.028,0.681603678725287
"64",1990,0.028,0.66310199745083
"65",1991,0.028,0.662788531101812
"66",1916,0.026,0.73666922447636
"67",1926,0.026,0.732606732800067
"68",1938,0.026,0.696483735898945
"69",1985,0.026,0.663977279713989
"70",1876,0.024,0.795904811652969
"71",1893,0.024,0.734879024894754
"72",1899,0.024,0.734664230503919
"73",1911,0.024,0.719057473147945
"74",1922,0.024,0.736884812172115
"75",1930,0.024,0.699434526820264
"76",1944,0.024,0.697104622465093
"77",1961,0.024,0.682743014437804
"78",1993,0.024,0.662444202112807
"79",2004,0.024,0.658734799508739
"80",1888,0.022,0.734776490075979
"81",1901,0.022,0.7345821822256
"82",1921,0.022,0.737039632613481
"83",1934,0.022,0.696382748956115
"84",1950,0.022,0.697429845952243
"85",1969,0.022,0.682901688587687
"86",1891,0.02,0.735077245538576
"87",1895,0.02,0.735058685312393
"88",1898,0.02,0.734627941501444
"89",1941,0.02,0.696960932110454
"90",1966,0.02,0.682784896446982
"91",1994,0.02,0.662223599752513
"92",1999,0.02,0.657509009175575
"93",1903,0.018,0.734663911540059
"94",1917,0.018,0.736861600699991
"95",1936,0.018,0.696357777959353
"96",1939,0.018,0.696688710298095
"97",1946,0.018,0.697358864152157
"98",1967,0.018,0.682872797522008
"99",1996,0.018,0.66214997183173
"100",2001,0.018,0.657691607813693
"101",1897,0.016,0.73470481963672
"102",1902,0.016,0.734569604479765
"103",1919,0.016,0.737100648678495
"104",1924,0.016,0.735762063967805
"105",1935,0.016,0.696312706989965
"106",1937,0.016,0.69638141149245
"107",1940,0.016,0.696847556595448
"108",1942,0.016,0.697026399413424
"109",1947,0.016,0.697456831026769
"110",1970,0.016,0.682657237012308
"111",1992,0.016,0.662603206654501
"112",1995,0.016,0.661998665403214
"113",1890,0.014,0.734875918489016
"114",1900,0.014,0.734564739825511
"115",1920,0.014,0.737105819347889
"116",1949,0.014,0.697462062068604
"117",1962,0.014,0.682681905989484
"118",2002,0.014,0.657902068210645
"119",1889,0.012,0.734941354940599
"120",1892,0.012,0.734868893712003
"121",1910,0.012,0.718925249153522
"122",1918,0.012,0.737033531819262
"123",1988,0.012,0.663244075355755
"124",1989,0.012,0.663181150181306
"125",2000,0.012,0.657607297593046
"126",1874,0.01,0.8083316615971
"127",1896,0.01,0.734739486054956
"128",1904,0.01,0.734562375282581
"129",1945,0.01,0.697277696140932
"130",1948,0.01,0.697543181975463
"131",1963,0.01,0.68275720428515
"132",1968,0.01,0.682906637349223
"133",1987,0.01,0.663308144195758
"134",1894,0.008,0.734973255036261
"135",1943,0.008,0.69705441294759
"136",1964,0.008,0.682783613184958
"137",1965,0.008,0.682751446061417
"138",2010,NA,0.663056705796842
