"","Year","Prob","Means"
"1",1969,0.442,0.351238091114662
"2",1970,0.386,0.393885249112563
"3",1975,0.35,0.35492381307967
"4",1995,0.334,0.363022522797401
"5",2009,0.278,0.385896086888678
"6",1976,0.244,0.384186145367544
"7",2007,0.206,0.392603287792308
"8",1977,0.16,0.367204019104255
"9",1961,0.15,0.355995798404741
"10",1965,0.148,0.356062925312477
"11",1994,0.148,0.358969791342376
"12",1998,0.144,0.377999819377079
"13",1964,0.136,0.36092318725072
"14",1987,0.13,0.357096269765174
"15",1993,0.13,0.355399078024381
"16",1973,0.126,0.354551379514911
"17",1997,0.12,0.375111490830138
"18",2000,0.12,0.384234419446009
"19",2001,0.114,0.387327585654547
"20",1960,0.098,0.353556862757654
"21",1971,0.098,0.359039141677912
"22",2012,0.098,0.398550082495309
"23",1974,0.096,0.360046926261717
"24",1999,0.094,0.381762301261483
"25",2008,0.092,0.383499767588671
"26",2004,0.086,0.391805838402931
"27",1992,0.082,0.353596401860743
"28",1983,0.076,0.358466269193434
"29",2020,0.074,0.399296013403427
"30",1978,0.068,0.360244199460884
"31",1996,0.066,0.375604954601145
"32",2006,0.066,0.39359404852463
"33",1952,0.062,0.35551359472502
"34",1955,0.062,0.353361150900178
"35",1963,0.062,0.360925452495951
"36",1968,0.06,0.350006183387031
"37",2002,0.058,0.390037850785346
"38",2003,0.058,0.390879895990728
"39",1980,0.056,0.358616096785551
"40",2019,0.056,0.400499227710733
"41",1958,0.054,0.352820048081537
"42",1966,0.054,0.351338306999337
"43",1985,0.054,0.357109153793054
"44",1988,0.054,0.353448879787452
"45",2010,0.052,0.398139215045236
"46",2014,0.052,0.400625601274271
"47",1962,0.05,0.360594128866853
"48",1951,0.048,0.356199579488541
"49",1959,0.048,0.352883698954185
"50",1972,0.048,0.354061044100111
"51",1990,0.048,0.353310045464834
"52",2011,0.048,0.398786848181249
"53",2018,0.048,0.401357981955933
"54",1950,0.046,0.355407465934722
"55",1954,0.044,0.353520029095676
"56",1986,0.044,0.357465447750199
"57",2005,0.044,0.393244084444656
"58",1979,0.042,0.359051650843754
"59",1984,0.042,0.357162276731539
"60",1989,0.042,0.353407605074
"61",1991,0.042,0.353440272494527
"62",2016,0.042,0.401320675115477
"63",1956,0.04,0.352255919616095
"64",1981,0.04,0.358337102127378
"65",2013,0.04,0.400264489368906
"66",2015,0.038,0.401024277287893
"67",1967,0.036,0.350198786192083
"68",1953,0.034,0.354047712491194
"69",2017,0.034,0.401496074041091
"70",1957,0.032,0.352723130085519
"71",1982,0.032,0.358522337737476
"72",2021,NA,0.39706849552545
