"","Year","Prob","Means"
"1",1960,0.62,0.000733429787044018
"2",1981,0.304,0.00169175804552921
"3",1994,0.264,0.000216027457905353
"4",1961,0.186,0.00264054470957367
"5",2015,0.18,0.0006821894341526
"6",1979,0.17,0.00215458167296952
"7",1966,0.146,0.00300779300121451
"8",1991,0.142,0.000634025551487673
"9",2010,0.13,0.000119422437322321
"10",1990,0.126,0.000818793174151253
"11",1968,0.124,0.00266399883407893
"12",2012,0.124,0.000391660450653617
"13",1972,0.12,0.00240520141054003
"14",1980,0.12,0.00184027104607157
"15",1993,0.118,0.000374677484703533
"16",2009,0.106,-2.71625109540871e-06
"17",1957,0.096,0.0003269224834297
"18",1969,0.094,0.00247102390355151
"19",1965,0.09,0.00309970415590042
"20",1995,0.088,-0.000363849812108295
"21",1959,0.084,0.000612821153621093
"22",1983,0.084,0.000973490679037286
"23",2019,0.084,0.00017228526706662
"24",1958,0.082,0.000482169857139376
"25",2011,0.082,0.000310752376883153
"26",1964,0.076,0.00312743612707079
"27",1982,0.076,0.0010586615133655
"28",1962,0.074,0.00310995304697741
"29",1978,0.074,0.00226080510874965
"30",1967,0.072,0.0027154262275114
"31",2004,0.072,-0.000200308232460843
"32",1970,0.07,0.00235018148519508
"33",1954,0.068,0.000270471646861524
"34",2020,0.068,0.000345448061425995
"35",1985,0.066,0.000825350000880103
"36",2005,0.066,-0.00013121316810146
"37",1973,0.064,0.00219076201793962
"38",1989,0.064,0.000753115258856565
"39",1997,0.064,-0.000299434204985514
"40",1975,0.06,0.00214288619929745
"41",2008,0.06,3.06034685498604e-06
"42",1984,0.058,0.0008798173840762
"43",1996,0.058,-0.000322135325148829
"44",2006,0.058,-5.47447616447195e-05
"45",2007,0.058,-1.78839969201094e-05
"46",2014,0.058,0.000666780348349625
"47",1951,0.056,0.000224107797708035
"48",1963,0.056,0.00318025523061201
"49",1971,0.056,0.00232521943615401
"50",2013,0.056,0.000655594266212249
"51",2016,0.056,0.000241894702690338
"52",2017,0.056,0.000218341886596715
"53",1977,0.054,0.00226865214436754
"54",1986,0.052,0.000765129509661397
"55",1987,0.052,0.000754839267574394
"56",2003,0.052,-0.00021862057338153
"57",2018,0.052,0.000188355142365984
"58",1950,0.05,0.000165839447415304
"59",1955,0.05,0.000341878982091184
"60",1956,0.05,0.000360895130908726
"61",1988,0.05,0.000744649930769099
"62",1998,0.05,-0.000263308859797145
"63",1999,0.05,-0.000205771106663914
"64",2000,0.046,-0.000230935031724486
"65",2002,0.046,-0.000217655486766241
"66",1976,0.042,0.00222357502419245
"67",2001,0.04,-0.000221613728748216
"68",1974,0.038,0.00212100712204123
"69",1992,0.038,0.000392343603543408
"70",1952,0.03,0.000287056651203321
"71",1953,0.03,0.000286128614451589
"72",2021,NA,0.000190052058417591
