"","Year","Prob","Means"
"1",1989,0.806,0.00865437492860436
"2",1961,0.778,0.000225790670864231
"3",1978,0.678,0.0033975466007026
"4",1986,0.666,0.00537394498899041
"5",1958,0.562,0.000947923567338124
"6",1987,0.344,0.00749499873906831
"7",2008,0.32,0.00526977851299527
"8",1977,0.282,0.00275777977413605
"9",1960,0.266,-0.00074359673681412
"10",1957,0.254,0.00148805972872502
"11",1956,0.164,0.00179259067328764
"12",2000,0.16,0.00588433479526024
"13",1953,0.152,0.00208946649159591
"14",2003,0.148,0.00568352997241543
"15",1964,0.134,0.00279877125486234
"16",1990,0.132,0.00621574641235087
"17",2009,0.132,0.00481456920776358
"18",1952,0.104,0.00223406562068231
"19",2005,0.102,0.0054876327934747
"20",1968,0.094,0.00260436785463746
"21",1951,0.092,0.00238115812664193
"22",2007,0.09,0.00532058930492201
"23",1980,0.074,0.00523826790111942
"24",1985,0.07,0.00531342614885488
"25",1963,0.068,0.00287627097142658
"26",2006,0.068,0.00537806730713912
"27",2010,0.066,0.00465482619964492
"28",1959,0.064,-0.000623188588025161
"29",2002,0.064,0.0056594333470721
"30",2013,0.062,0.00463846330755152
"31",1999,0.06,0.00591433860730763
"32",1962,0.058,0.00291343022226588
"33",1970,0.058,0.00276891796839158
"34",2004,0.058,0.0055081191409539
"35",2001,0.056,0.00569309408368522
"36",1976,0.054,0.00271852313265882
"37",2014,0.054,0.00457908326584182
"38",1979,0.052,0.00517677093179709
"39",1991,0.052,0.00597376436619234
"40",1954,0.05,0.00185229249410839
"41",1965,0.05,0.00256582142012605
"42",2012,0.05,0.00466728967799292
"43",2015,0.05,0.00453978187510323
"44",2017,0.05,0.00447885477138432
"45",2020,0.05,0.00450579922990844
"46",1966,0.048,0.00255569865847731
"47",1969,0.048,0.00272178801750225
"48",1997,0.048,0.00597373988104755
"49",1971,0.046,0.00273155703793108
"50",1984,0.044,0.00532541492318709
"51",1975,0.042,0.002716508287294
"52",1998,0.042,0.00593995964425587
"53",1950,0.04,0.002427902481304
"54",1988,0.04,0.0086293925216912
"55",1994,0.04,0.00594471996688222
"56",1973,0.038,0.00271857008410452
"57",2011,0.038,0.00467226107311115
"58",1992,0.036,0.00593766041426086
"59",2016,0.036,0.00449651633906659
"60",1982,0.034,0.0053326009608725
"61",1995,0.034,0.00595650397492763
"62",2019,0.034,0.00451523512491009
"63",1993,0.032,0.00594130691300653
"64",1955,0.03,0.00180691268782033
"65",1967,0.03,0.00260083113634268
"66",1981,0.028,0.00532750337386971
"67",2018,0.028,0.00451328373207278
"68",1983,0.026,0.00533577603443427
"69",1996,0.024,0.00597780109751875
"70",1972,0.02,0.00272634412822594
"71",1974,0.014,0.00271113805877741
"72",2021,NA,0.00446050721423395
