"","Year","Prob","Means"
"1",1992,0.478,0.253833484583282
"2",1960,0.402,0.366456150653803
"3",1978,0.402,0.268171482268354
"4",1964,0.348,0.291877104029022
"5",1959,0.332,0.398122663040914
"6",1991,0.244,0.272689219922707
"7",2004,0.23,0.171490504897434
"8",1961,0.216,0.322737480371408
"9",1958,0.186,0.410999945303524
"10",1977,0.186,0.257102329428433
"11",1997,0.186,0.184591820374539
"12",1979,0.168,0.294116673875716
"13",2008,0.166,0.188206735615224
"14",1965,0.164,0.270126919643525
"15",2009,0.162,0.195306735466908
"16",1990,0.152,0.281936359544816
"17",1996,0.142,0.192183747580869
"18",1974,0.134,0.262017847505494
"19",1995,0.118,0.198362152538207
"20",1983,0.11,0.301384087698176
"21",1963,0.106,0.298187952291953
"22",1988,0.106,0.287705017762182
"23",2000,0.104,0.173063620541613
"24",1982,0.098,0.305987795816864
"25",1993,0.098,0.210348597765977
"26",1957,0.096,0.415956099331384
"27",2003,0.094,0.168098408547274
"28",1994,0.09,0.203913366627594
"29",2012,0.09,0.206797975386279
"30",1987,0.082,0.291148418703183
"31",2011,0.082,0.204198946182789
"32",1962,0.078,0.30277074236545
"33",2010,0.078,0.201775802283202
"34",1985,0.068,0.295335980824995
"35",2007,0.068,0.186205013215291
"36",1976,0.064,0.25374551566261
"37",1986,0.058,0.292922730405196
"38",2006,0.058,0.184623097355981
"39",1969,0.054,0.260720001878139
"40",1973,0.054,0.263456394656194
"41",1980,0.054,0.30380255511257
"42",1956,0.052,0.418121091711769
"43",1984,0.048,0.296713268271079
"44",1970,0.042,0.26237283737977
"45",1975,0.04,0.254546699816554
"46",1989,0.04,0.282308250695224
"47",2015,0.04,0.210688594707857
"48",1968,0.038,0.261766016633567
"49",1999,0.038,0.174202007398265
"50",2002,0.038,0.167406788316298
"51",1954,0.036,0.418170542491331
"52",1967,0.034,0.26127362990354
"53",2017,0.034,0.210624493168378
"54",1981,0.032,0.305810204067813
"55",1971,0.03,0.263179155622398
"56",2001,0.03,0.167887320779402
"57",2005,0.03,0.18365174799034
"58",1955,0.028,0.418702964573087
"59",1966,0.028,0.260645421185217
"60",2014,0.028,0.210394920645087
"61",2016,0.028,0.211105462114628
"62",2020,0.028,0.20939567011627
"63",1951,0.026,0.417972942249964
"64",2018,0.026,0.210075475812738
"65",1972,0.024,0.263746511164759
"66",1998,0.024,0.175007094092179
"67",2013,0.022,0.210259493031138
"68",2019,0.022,0.209544408922826
"69",1950,0.016,0.417983871975823
"70",1952,0.016,0.418588737102135
"71",1953,0.014,0.418212499768072
"72",2021,NA,0.208835950948519
