"","Year","Prob","Means"
"1",1957,0.942,0.0537914650633097
"2",1998,0.662,0.0955824058546814
"3",1967,0.55,0.0812554061388421
"4",1953,0.462,0.0435121111795608
"5",1968,0.42,0.100441614660151
"6",1949,0.394,0.0353915759350299
"7",1983,0.31,0.0868742114430884
"8",1934,0.238,0.0213799465690395
"9",1933,0.22,0.0183244858538379
"10",1931,0.21,0.0153275565503892
"11",1985,0.178,0.0920067104115427
"12",1982,0.14,0.0852400322571392
"13",1999,0.14,0.105844057899841
"14",1946,0.13,0.030361894449108
"15",1986,0.122,0.0942362418718416
"16",1947,0.12,0.0322585390413936
"17",1984,0.106,0.0907261126910001
"18",1928,0.09,0.0141112813394652
"19",1966,0.088,0.0801935738743299
"20",1987,0.078,0.0959184070717126
"21",1937,0.076,0.0259289495900189
"22",1942,0.072,0.0276920879670859
"23",1970,0.072,0.0865265831366314
"24",1943,0.066,0.0285679991284232
"25",1948,0.066,0.0343602535491732
"26",1945,0.06,0.0295362491813193
"27",1935,0.058,0.0247458844275798
"28",1997,0.056,0.0965124107529242
"29",1996,0.054,0.0972815255699032
"30",1963,0.046,0.0790657609048708
"31",1932,0.044,0.0177828222602821
"32",1927,0.042,0.0137281385149147
"33",1909,0.032,0.0133296919880225
"34",1936,0.032,0.0255351650759562
"35",1964,0.028,0.0796959058129249
"36",1969,0.028,0.0870095131072283
"37",1941,0.026,0.0274144322642916
"38",1944,0.024,0.0293237122694994
"39",1965,0.022,0.0799584275286223
"40",1938,0.02,0.0270684131293467
"41",1950,0.02,0.0433149756063015
"42",1929,0.018,0.0151038292764195
"43",1962,0.016,0.0789044820269154
"44",1994,0.016,0.0971601594791885
"45",1883,0.014,0.0131184562770515
"46",1908,0.014,0.0132847716689063
"47",1939,0.014,0.0272065425147115
"48",1954,0.014,0.0533156858002675
"49",1979,0.014,0.0851867623359832
"50",2007,0.014,0.107529907327542
"51",1884,0.012,0.0131868648479768
"52",1910,0.012,0.0134882773065745
"53",1913,0.012,0.0135707634502031
"54",1952,0.012,0.04349309096989
"55",1955,0.012,0.0535019420022352
"56",1993,0.012,0.0971061263025177
"57",1995,0.012,0.0971880425822887
"58",2000,0.012,0.107510837867234
"59",1873,0.01,0.0130724913423799
"60",1879,0.01,0.0130524670760048
"61",1885,0.01,0.0132152293800966
"62",1911,0.01,0.0135285208905368
"63",1915,0.01,0.0136047195996027
"64",1924,0.01,0.013694851631346
"65",1940,0.01,0.0273588585777799
"66",1951,0.01,0.0436352262246311
"67",1956,0.01,0.0536818502085623
"68",1980,0.01,0.0852368519345824
"69",1989,0.01,0.0969407407900415
"70",1992,0.01,0.0970818236118807
"71",2004,0.01,0.107669703679207
"72",2005,0.01,0.107650150505419
"73",1882,0.008,0.0130893299988346
"74",1888,0.008,0.0132673398921644
"75",1901,0.008,0.0133187090210201
"76",1902,0.008,0.0133728380656732
"77",1920,0.008,0.013653966956648
"78",1958,0.008,0.0788282121204561
"79",1959,0.008,0.078895730731558
"80",1991,0.008,0.0970664434490818
"81",2001,0.008,0.107590638976363
"82",2006,0.008,0.107584209485221
"83",1886,0.006,0.0132452894285667
"84",1890,0.006,0.0132974107222735
"85",1893,0.006,0.013292964843424
"86",1907,0.006,0.0132722211989496
"87",1922,0.006,0.013669766541456
"88",1930,0.006,0.0152701424365811
"89",1960,0.006,0.0788687593561901
"90",1961,0.006,0.0789035924854949
"91",1972,0.006,0.0852445949516668
"92",1973,0.006,0.0852535232281624
"93",1974,0.006,0.0852313800878566
"94",1988,0.006,0.0968889547220099
"95",1990,0.006,0.09706287342321
"96",2003,0.006,0.107643961471824
"97",2009,0.006,0.107364210027064
"98",1874,0.004,0.0130292449078592
"99",1875,0.004,0.0130317497391923
"100",1878,0.004,0.0130370616584892
"101",1887,0.004,0.0132609949001022
"102",1889,0.004,0.0132856520030504
"103",1894,0.004,0.0132973481233526
"104",1898,0.004,0.0132999771896682
"105",1899,0.004,0.0133205726807249
"106",1900,0.004,0.0133201143365147
"107",1905,0.004,0.0132454262825568
"108",1912,0.004,0.0135573376843288
"109",1916,0.004,0.013638646010765
"110",1921,0.004,0.0136593596746925
"111",1923,0.004,0.0136902797852858
"112",1925,0.004,0.013705055036378
"113",1971,0.004,0.0852844946962657
"114",1976,0.004,0.0851834568906826
"115",1977,0.004,0.0851767840904609
"116",2002,0.004,0.107631517263634
"117",2008,0.004,0.107398420715402
"118",1881,0.002,0.0130828525452574
"119",1892,0.002,0.0132960575033164
"120",1897,0.002,0.0132980594964292
"121",1903,0.002,0.0132546792418214
"122",1904,0.002,0.0132442791011179
"123",1914,0.002,0.0136019411976453
"124",1918,0.002,0.0136506498061796
"125",1919,0.002,0.0136532799237538
"126",1975,0.002,0.0851924948254119
"127",1978,0.002,0.0851822297435072
"128",1981,0.002,0.0852233198473977
"129",1876,0,0.0130370616584892
"130",1877,0,0.0130370616584892
"131",1880,0,0.0130828525452574
"132",1891,0,0.0132960575033164
"133",1895,0,0.0132980594964292
"134",1896,0,0.0132980594964292
"135",1906,0,0.0132722211989496
"136",1917,0,0.0136506498061796
"137",1926,0,0.0137281385149147
"138",2010,NA,0.107340961171059
