"","Year","Prob","Means"
"1",1953,0.836,0.00123016612239227
"2",1882,0.746,0.000657593208704263
"3",1887,0.448,0.00128539799336024
"4",1912,0.394,0.00117343302853477
"5",1996,0.334,0.00124188795141838
"6",1995,0.312,0.00112794649961032
"7",1951,0.302,0.00103944687513566
"8",1913,0.296,0.000981631059450872
"9",1944,0.28,0.00117813533992517
"10",1985,0.28,0.000909680112282594
"11",1890,0.274,0.00100299825018
"12",1924,0.268,0.000972005696057487
"13",1936,0.258,0.00115616366157851
"14",1922,0.242,0.000819998853155929
"15",1937,0.216,0.00124810949699722
"16",1883,0.192,0.00120199714674004
"17",1923,0.178,0.000916087535455284
"18",1881,0.166,0.000751625570851799
"19",1983,0.162,0.000812706908967362
"20",1943,0.16,0.00123402473362191
"21",1946,0.16,0.00103962036973332
"22",1986,0.16,0.00101425141036555
"23",1984,0.152,0.000861073510907432
"24",1942,0.146,0.00128280371525873
"25",1926,0.142,0.00111648142997289
"26",1941,0.136,0.00133234484027845
"27",1925,0.134,0.00107681542253403
"28",1878,0.128,0.000664021829332924
"29",1873,0.122,0.000788234257329885
"30",1954,0.122,0.000631637204760312
"31",1893,0.116,0.0011642262996717
"32",1911,0.114,0.00114399333337169
"33",1952,0.114,0.0012076437755739
"34",1979,0.114,0.000789906095578406
"35",1914,0.11,0.000867956778525998
"36",1877,0.108,0.00072050545766396
"37",1949,0.104,0.00100278224103195
"38",1966,0.104,0.000674814787765829
"39",1997,0.104,0.00139120624173699
"40",1884,0.102,0.00130679260869914
"41",1977,0.102,0.000753771732526163
"42",1938,0.1,0.00132773667226639
"43",1967,0.1,0.000697816974952402
"44",1994,0.096,0.00110877980802293
"45",1940,0.094,0.00134661942488393
"46",1886,0.092,0.00131219781813499
"47",1910,0.092,0.00112452971518703
"48",1948,0.092,0.000976473577355064
"49",1915,0.09,0.00084369925709776
"50",1981,0.09,0.000784708196439208
"51",1999,0.09,0.00137182736320576
"52",1929,0.088,0.00115654651326044
"53",1980,0.088,0.000825993083865128
"54",1897,0.086,0.00111536226921856
"55",1885,0.084,0.00134085035487129
"56",1889,0.084,0.0010376597730523
"57",1945,0.084,0.00105360255186878
"58",1955,0.084,0.000661325860619337
"59",1962,0.084,0.000684333946747933
"60",1998,0.084,0.00135689700359637
"61",1978,0.08,0.000774989963845136
"62",1992,0.08,0.00109387011551451
"63",1921,0.078,0.000807809918315995
"64",1880,0.076,0.000734496383021183
"65",1918,0.076,0.000808294249325388
"66",1968,0.076,0.0007188123990117
"67",1987,0.076,0.00106780938162639
"68",1888,0.074,0.00101363121681627
"69",1891,0.074,0.00115665210674534
"70",1892,0.074,0.00115859399728663
"71",1896,0.074,0.00112166094375147
"72",1916,0.074,0.000824801588528677
"73",1965,0.074,0.000663702021459889
"74",1947,0.072,0.000980050167131428
"75",2000,0.072,0.00138948430589903
"76",1901,0.07,0.00115571361871818
"77",1930,0.07,0.00113409805591694
"78",1956,0.07,0.000683721983078863
"79",1989,0.07,0.00108926227130713
"80",1991,0.07,0.00110125120754147
"81",1903,0.068,0.00114413695399725
"82",1934,0.068,0.00115234652884382
"83",1939,0.068,0.00135197798305847
"84",1976,0.068,0.000749204404376516
"85",1898,0.066,0.00114143423251051
"86",1928,0.066,0.0011660520385332
"87",1971,0.066,0.00072248587720287
"88",1972,0.066,0.000731543346395644
"89",1935,0.064,0.0011533967114387
"90",1957,0.064,0.000691533140347154
"91",1961,0.064,0.00069156696404253
"92",1909,0.062,0.0011285640565365
"93",1963,0.062,0.000670847639686319
"94",1973,0.062,0.000735893958065737
"95",1988,0.062,0.00107648741282761
"96",1927,0.06,0.00116833106265681
"97",1950,0.06,0.00102217813279609
"98",1970,0.06,0.000716396617256871
"99",1982,0.06,0.000812325100966138
"100",1990,0.06,0.00109830992586305
"101",1993,0.06,0.0011088941655848
"102",1876,0.058,0.000717047645416092
"103",1900,0.058,0.00114900711499735
"104",1974,0.058,0.000739294714219329
"105",2001,0.058,0.00140028748142822
"106",1875,0.056,0.000729748158050827
"107",1894,0.056,0.00112435191868862
"108",1899,0.056,0.00114581740065254
"109",1933,0.056,0.00115224219497584
"110",1958,0.056,0.000684990749082939
"111",1959,0.056,0.000688006692880187
"112",1964,0.056,0.000662441747692092
"113",2008,0.056,0.001377986454351
"114",1904,0.054,0.00113764876227975
"115",1917,0.054,0.000814007429701477
"116",1975,0.054,0.000744000293573043
"117",1879,0.052,0.000734533954214783
"118",1920,0.052,0.000802587247059046
"119",2005,0.052,0.0013876246692664
"120",1895,0.05,0.00111946831594316
"121",1907,0.05,0.00113095621070922
"122",2003,0.05,0.00139136223266636
"123",2006,0.05,0.00138743447951698
"124",2009,0.05,0.00137784000909249
"125",1902,0.048,0.00114382189257987
"126",1919,0.048,0.000800565643732263
"127",1969,0.048,0.000711478422506971
"128",2002,0.048,0.00139626291308217
"129",1932,0.044,0.00114864846496998
"130",2004,0.044,0.00139063649255925
"131",1874,0.04,0.000728580341651343
"132",1906,0.04,0.00112958461214211
"133",2007,0.04,0.00138195894310139
"134",1931,0.036,0.00115168622058932
"135",1905,0.034,0.00113001571048271
"136",1908,0.032,0.00113309922798407
"137",1960,0.03,0.000688943628408409
"138",2010,NA,0.00138721052734342
