"","Year","Prob","Means"
"1",1873,0.99,0.011678638971838
"2",1889,0.956,0.0132603893516914
"3",1888,0.944,0.0101890068466988
"4",1876,0.776,0.00831387205839017
"5",1998,0.636,0.00732799390599254
"6",1922,0.604,0.00798483112878569
"7",1915,0.51,0.00801523275798669
"8",1926,0.506,0.00949816648067422
"9",1911,0.496,0.0100599557597722
"10",1957,0.444,0.0091755100888976
"11",1912,0.372,0.00918895495494961
"12",1882,0.354,0.00980963381644672
"13",1874,0.348,0.00766160233149938
"14",1968,0.29,0.00794327016579689
"15",1955,0.264,0.00980465682693155
"16",1940,0.252,0.010527117441286
"17",1956,0.246,0.00948213901334251
"18",1913,0.24,0.00840625917328935
"19",1997,0.232,0.00767464361565428
"20",1905,0.212,0.0105079376900076
"21",1918,0.19,0.00736630512494676
"22",1924,0.19,0.00911292865240575
"23",1887,0.182,0.0104921860625971
"24",1941,0.18,0.0103005590367816
"25",1944,0.18,0.0100323481702897
"26",1966,0.18,0.00816534616042095
"27",1927,0.176,0.0102530403356977
"28",1919,0.174,0.00758987932384322
"29",1900,0.166,0.0103313457437194
"30",1999,0.148,0.00835320794345108
"31",1917,0.146,0.00718894671779268
"32",1969,0.146,0.00766712077422699
"33",1884,0.142,0.0102907498514497
"34",2002,0.132,0.00853926844663566
"35",1910,0.13,0.0102093280404542
"36",1942,0.13,0.010161679225256
"37",1965,0.128,0.00826591903385565
"38",1939,0.124,0.0106196800680067
"39",1970,0.122,0.00753342389634496
"40",1967,0.106,0.0080209303848877
"41",1996,0.104,0.00774346350631988
"42",1920,0.102,0.00780379529829364
"43",1881,0.1,0.00993354279209449
"44",1930,0.1,0.0106064540398391
"45",1929,0.098,0.0105326339400618
"46",1928,0.094,0.010446226129599
"47",2003,0.094,0.00864223191048761
"48",1921,0.092,0.00790000754479842
"49",1923,0.09,0.00900959986944827
"50",1958,0.09,0.00854246632301194
"51",1925,0.086,0.00942832768013862
"52",1904,0.08,0.0104328686092539
"53",1980,0.08,0.00759555740205791
"54",1894,0.078,0.0101939208260247
"55",1943,0.078,0.0100728031843457
"56",1875,0.076,0.0084122202930139
"57",1962,0.076,0.00837496271233108
"58",1977,0.076,0.00754167834017529
"59",1880,0.074,0.00988073124411028
"60",1938,0.074,0.0106583398713641
"61",2000,0.072,0.0084915390034225
"62",1907,0.07,0.0102589901545692
"63",1963,0.07,0.00833303667642002
"64",1975,0.07,0.00750608748788208
"65",1879,0.068,0.00984585193600539
"66",1916,0.066,0.00714703544279418
"67",1974,0.066,0.00747041473540744
"68",1895,0.064,0.0102403809274724
"69",1914,0.064,0.00798110030698296
"70",1946,0.064,0.00986796947071216
"71",1937,0.062,0.010685173834269
"72",1961,0.062,0.00841538072235819
"73",1984,0.06,0.00764948009125288
"74",1901,0.058,0.0104878812523863
"75",1953,0.058,0.00983336740543131
"76",1972,0.058,0.00744003625706812
"77",1978,0.056,0.00757212490654559
"78",1885,0.054,0.0104321422455587
"79",1898,0.054,0.0102927379010591
"80",1960,0.054,0.0084441175984061
"81",1964,0.054,0.00829112571019854
"82",1877,0.05,0.00985557367452204
"83",1906,0.05,0.0102740704151525
"84",1935,0.05,0.0106968942159945
"85",1945,0.05,0.00988843620570249
"86",1995,0.05,0.00773474862469688
"87",1899,0.048,0.0103163930315163
"88",1986,0.048,0.00766523597314689
"89",1883,0.046,0.0102958549527742
"90",1893,0.046,0.0101867059620409
"91",2001,0.046,0.00852814955932869
"92",1886,0.044,0.0104564901047365
"93",1891,0.044,0.0102129778337511
"94",1896,0.044,0.0102756541540502
"95",1908,0.044,0.0102250409259352
"96",1947,0.044,0.00983820384486957
"97",1976,0.044,0.00753593402547788
"98",1979,0.044,0.00758190637957188
"99",1991,0.044,0.00770034494239397
"100",1994,0.044,0.00772707826665897
"101",2006,0.044,0.00872662557892077
"102",1890,0.042,0.0101842871158545
"103",1909,0.042,0.0102299689590891
"104",1934,0.042,0.0106927244660867
"105",1959,0.042,0.00846331512619792
"106",2008,0.042,0.00870943958436612
"107",1897,0.04,0.0102854724645662
"108",1936,0.04,0.0106962091268786
"109",1981,0.04,0.00762331684419895
"110",1987,0.04,0.00767701625222447
"111",2004,0.04,0.00871608463754939
"112",1878,0.038,0.00983683726521866
"113",1948,0.038,0.00982427404553171
"114",1951,0.038,0.00983013923491462
"115",1954,0.038,0.00981226682783356
"116",2005,0.038,0.00872703069113814
"117",1950,0.036,0.00982018207529312
"118",1973,0.036,0.00746112886071073
"119",1982,0.036,0.0076366269658131
"120",1992,0.036,0.00771066460877328
"121",1985,0.034,0.00765750596575015
"122",1892,0.032,0.0101841477807357
"123",1902,0.032,0.0104377286969974
"124",1903,0.032,0.0104327069746348
"125",1933,0.032,0.0106909174190382
"126",1949,0.032,0.00980324599177957
"127",1989,0.032,0.0076940562531097
"128",1931,0.03,0.0106808344244212
"129",1988,0.03,0.00768698395908219
"130",1990,0.03,0.00769648049109416
"131",1993,0.03,0.00771960942327909
"132",1932,0.028,0.0106808353526895
"133",1952,0.028,0.00984790917914255
"134",1971,0.028,0.00744729742970218
"135",1983,0.028,0.00764624957195875
"136",2007,0.026,0.00871209214752529
"137",2009,0.022,0.00869327844790978
"138",2010,NA,0.00869800697079072
