"","Year","Prob","Means"
"1",1977,0.956,-0.0572514441707268
"2",1968,0.942,0.00408678589966196
"3",1971,0.836,-0.0877458789100022
"4",1992,0.65,0.0718934437797062
"5",1973,0.552,-0.0070663832208861
"6",2016,0.33,-0.0406980885838428
"7",1957,0.282,0.0213540421686254
"8",1975,0.264,-0.0467673200678625
"9",1993,0.24,0.0260569777553316
"10",1995,0.21,0.00276621790739522
"11",1956,0.202,0.0298379295880633
"12",1982,0.202,0.0604049295013505
"13",2005,0.196,-0.0276022220814133
"14",1980,0.194,0.0479717038254543
"15",2000,0.182,-0.0153997242897433
"16",1983,0.174,0.0676327922966304
"17",2001,0.16,-0.0217660623117759
"18",1994,0.148,0.0103949609762559
"19",1999,0.14,-0.0111523629986889
"20",1981,0.138,0.0554434699061206
"21",1958,0.128,0.0106722848212848
"22",2015,0.128,-0.0369508862808538
"23",1951,0.126,0.0194058640076179
"24",1990,0.102,0.0758115225330752
"25",1976,0.1,-0.0630215936309283
"26",1955,0.09,0.0271167709084428
"27",1998,0.09,-0.00870098391100897
"28",2017,0.088,-0.0557454316885422
"29",1979,0.086,0.0447364080710761
"30",2014,0.078,-0.03531383176766
"31",1952,0.074,0.0242653763115481
"32",1969,0.072,-0.0842474142125963
"33",1959,0.07,0.00713839066870412
"34",1997,0.07,-0.00825509247935651
"35",2002,0.07,-0.026394350908807
"36",2019,0.07,-0.051836871218465
"37",1953,0.068,0.0263346289291569
"38",1954,0.066,0.0276540414652225
"39",2006,0.066,-0.0340006340257561
"40",2018,0.066,-0.0529977418707219
"41",1996,0.064,-0.00697687259113989
"42",2003,0.064,-0.0272706839164463
"43",1970,0.062,-0.0878349909535747
"44",1987,0.062,0.0747645127478929
"45",2007,0.062,-0.0348583765479634
"46",1972,0.06,-0.0101775939076352
"47",1978,0.06,0.0436364773357134
"48",1966,0.058,0.00411198242892963
"49",1984,0.058,0.0736504273375616
"50",2013,0.056,-0.0347693343789374
"51",1963,0.054,0.0059996357738032
"52",2008,0.054,-0.035279059580241
"53",1967,0.052,0.00474140052717823
"54",2011,0.052,-0.0356747966961179
"55",1991,0.05,0.0722104445768998
"56",1961,0.048,0.00621014307687594
"57",1986,0.048,0.0741729372688285
"58",1960,0.046,0.00570206584619883
"59",1974,0.046,-0.046051884760509
"60",2009,0.046,-0.0355236056818696
"61",1964,0.044,0.00476279976607017
"62",2010,0.044,-0.0357501093121847
"63",1962,0.042,0.00634440031702656
"64",1989,0.042,0.0759855312784357
"65",2004,0.042,-0.0278124297090767
"66",1985,0.04,0.0745609867027679
"67",1950,0.038,0.0187138963241593
"68",2012,0.038,-0.0353082574484776
"69",1988,0.036,0.0759976380243462
"70",1965,0.034,0.0040887205170961
"71",2020,0.026,-0.0498825747311009
"72",2021,NA,-0.0498551739817521
