"","Year","Prob","Means"
"1",1961,0.926,0.112966193904079
"2",1994,0.57,0.194918539043226
"3",2016,0.322,0.127033509841444
"4",1960,0.288,0.0966938411626136
"5",2015,0.27,0.134741856554435
"6",1976,0.266,0.185761820504994
"7",2002,0.242,0.149122734909315
"8",2001,0.216,0.154909309553749
"9",1995,0.21,0.174646260583188
"10",2005,0.2,0.139734462971088
"11",1967,0.186,0.187736887212842
"12",1957,0.148,0.103235069691378
"13",2000,0.142,0.158622052337719
"14",1966,0.132,0.182087277044192
"15",1977,0.132,0.191178458196542
"16",1970,0.124,0.178541729571242
"17",1971,0.124,0.181640664944245
"18",2012,0.124,0.133929758077956
"19",1996,0.122,0.167551334302873
"20",2003,0.118,0.14278389286321
"21",1999,0.1,0.161321532461835
"22",1958,0.096,0.0992215142919511
"23",2020,0.09,0.116772214992629
"24",2013,0.088,0.138331769891752
"25",1962,0.086,0.184647266106878
"26",1978,0.078,0.193432008950024
"27",1975,0.07,0.184831784552634
"28",1993,0.07,0.19634913309953
"29",1956,0.056,0.104204225397916
"30",2014,0.056,0.135502321384886
"31",1997,0.054,0.163543034995049
"32",2006,0.054,0.134619192431851
"33",1986,0.052,0.195519549492018
"34",1974,0.05,0.184734208833472
"35",2004,0.05,0.140498513927743
"36",2018,0.048,0.117742230287095
"37",1972,0.046,0.184533249895625
"38",2009,0.046,0.133748982305358
"39",1980,0.044,0.194713245222754
"40",2019,0.044,0.117146341036006
"41",1998,0.042,0.16199243346797
"42",2017,0.042,0.118292392109352
"43",1955,0.04,0.104511969919339
"44",1979,0.04,0.194443809361705
"45",2007,0.04,0.134079207896003
"46",2011,0.04,0.133827024586883
"47",1952,0.038,0.10544974175969
"48",1953,0.038,0.104890456247937
"49",1968,0.038,0.178839837000095
"50",1973,0.038,0.184898150942739
"51",1984,0.034,0.195257100118654
"52",1963,0.03,0.182059884363146
"53",1981,0.03,0.194966287761184
"54",1992,0.028,0.196413981816667
"55",1951,0.026,0.105487363900581
"56",1982,0.026,0.195092641358678
"57",1983,0.026,0.195129116407406
"58",1964,0.024,0.181854157838296
"59",1959,0.022,0.0966296725816525
"60",1985,0.022,0.195371073122843
"61",1989,0.022,0.196356729278023
"62",1991,0.022,0.196336350205876
"63",1965,0.02,0.181979679560316
"64",1987,0.02,0.196114432133336
"65",2010,0.02,0.133928907349918
"66",1969,0.018,0.178473821384108
"67",1954,0.016,0.104486055730121
"68",1988,0.016,0.19626812420114
"69",2008,0.016,0.133816744087624
"70",1990,0.012,0.196278734231363
"71",1950,0.01,0.105553037940856
"72",2021,NA,0.113832506523339
