"","Year","Prob","Means"
"1",1961,0.99,-0.142422563842607
"2",1994,0.59,-0.0420537173301367
"3",1966,0.536,-0.0643728093645829
"4",1967,0.508,-0.0299612595808227
"5",1976,0.5,-0.0563104608625223
"6",2016,0.496,-0.12293752026781
"7",2005,0.48,-0.104498439430147
"8",2012,0.474,-0.119279424904699
"9",2015,0.404,-0.10607069219914
"10",1975,0.314,-0.0646850308448931
"11",1995,0.31,-0.0660031290997417
"12",2002,0.242,-0.090434492395992
"13",2004,0.17,-0.0997058548577802
"14",2001,0.132,-0.0869419463115529
"15",1960,0.11,-0.146689235811242
"16",1999,0.104,-0.0822687287033787
"17",2013,0.104,-0.101662685962847
"18",1996,0.102,-0.0785035841394808
"19",2000,0.1,-0.0848634273805927
"20",1962,0.09,-0.0624317403728237
"21",2020,0.086,-0.143639345046231
"22",1993,0.084,-0.0408584424324297
"23",1957,0.082,-0.143595898255372
"24",1968,0.08,-0.0630368737242781
"25",1974,0.078,-0.0662687891709732
"26",1977,0.072,-0.0421509471997717
"27",2003,0.072,-0.0979589980212335
"28",1969,0.07,-0.0651382939364928
"29",2011,0.07,-0.120504928196765
"30",1958,0.068,-0.145214511549143
"31",1998,0.058,-0.0813604868234786
"32",1989,0.054,-0.0405173890702558
"33",1956,0.05,-0.142903631618782
"34",2014,0.05,-0.105174181380753
"35",1965,0.048,-0.0650241982923374
"36",1986,0.048,-0.0413980262505225
"37",2009,0.046,-0.121410387624618
"38",1979,0.044,-0.0413764600432385
"39",2006,0.044,-0.121245077823581
"40",2017,0.044,-0.14149697063027
"41",2019,0.044,-0.142961852948592
"42",1992,0.042,-0.0406977723171362
"43",1964,0.04,-0.0654374603193005
"44",2010,0.038,-0.120822175837534
"45",2018,0.038,-0.142326686627891
"46",1973,0.036,-0.0664646200686222
"47",1997,0.036,-0.0811567501962252
"48",1950,0.034,-0.143691677441875
"49",1959,0.034,-0.146480319829763
"50",1971,0.034,-0.0663640994855082
"51",1972,0.034,-0.0663697703579085
"52",1980,0.034,-0.0417858302049857
"53",1990,0.034,-0.0408787698742586
"54",1978,0.032,-0.0412759358817131
"55",2007,0.032,-0.121220456335317
"56",1987,0.03,-0.0407803979753001
"57",1991,0.03,-0.0409274674177001
"58",1963,0.028,-0.0652906971985027
"59",1988,0.028,-0.0405414957867605
"60",1951,0.024,-0.143390423770981
"61",1981,0.024,-0.0418765379228958
"62",1983,0.024,-0.0419665377390081
"63",1985,0.024,-0.0415493343434631
"64",1984,0.022,-0.0417357493365642
"65",1955,0.02,-0.142949701291294
"66",1970,0.02,-0.0664441368843145
"67",1953,0.018,-0.143080840694765
"68",1982,0.018,-0.0419436171285381
"69",1954,0.016,-0.143077158418509
"70",2008,0.016,-0.121461205904825
"71",1952,0.008,-0.14309848438342
"72",2021,NA,-0.146208547067658
