"","Year","Prob","Means"
"1",1953,0.964,0.82488187147181
"2",1877,0.782,0.891196042790085
"3",1998,0.404,0.751069198510991
"4",1929,0.376,0.851987618099295
"5",1873,0.372,0.919208612072855
"6",1958,0.372,0.7595571743933
"7",1931,0.358,0.839199843117893
"8",1997,0.194,0.741590574882242
"9",1957,0.178,0.764716088783375
"10",1999,0.156,0.733470678256411
"11",1927,0.154,0.861697545654572
"12",1928,0.136,0.856500393458987
"13",1982,0.1,0.744011546462373
"14",1959,0.064,0.749034445812139
"15",2000,0.062,0.730260131736514
"16",1878,0.052,0.859917634827114
"17",1874,0.046,0.894702891370279
"18",1983,0.042,0.742393171052496
"19",1876,0.038,0.892433591342876
"20",1978,0.036,0.746002129150816
"21",1979,0.036,0.745454706385992
"22",1977,0.034,0.746518498318204
"23",1981,0.034,0.744559090954033
"24",1954,0.032,0.767585799585701
"25",1980,0.032,0.744963133198355
"26",1941,0.028,0.82594213550159
"27",1939,0.026,0.826387984184586
"28",1942,0.026,0.825440621096679
"29",1976,0.026,0.746853927152381
"30",1996,0.026,0.741047928560657
"31",1985,0.024,0.741604417876105
"32",2001,0.024,0.729049924791445
"33",1955,0.022,0.765822187831177
"34",1960,0.022,0.747595206820682
"35",1984,0.022,0.741835298541485
"36",1943,0.02,0.825117493447382
"37",1950,0.02,0.824763644370307
"38",2002,0.02,0.728650155685388
"39",1987,0.018,0.741240367216272
"40",2003,0.018,0.728320055819675
"41",1956,0.016,0.765123816481965
"42",1879,0.014,0.861255072708741
"43",1940,0.014,0.8260246877655
"44",1975,0.014,0.746959047657794
"45",1902,0.012,0.861117935845917
"46",1952,0.012,0.825096602293613
"47",1969,0.012,0.74695684992757
"48",1895,0.01,0.861160457404415
"49",1896,0.01,0.861149364833805
"50",1932,0.01,0.826514971248728
"51",1936,0.01,0.826380150923602
"52",1944,0.01,0.824840324783746
"53",1961,0.01,0.747223891594961
"54",1963,0.01,0.747042499751567
"55",1986,0.01,0.741326779105036
"56",1989,0.01,0.741043963363434
"57",2004,0.01,0.728058638789213
"58",2008,0.01,0.727834879049628
"59",1880,0.008,0.861070867523668
"60",1882,0.008,0.861066005612921
"61",1890,0.008,0.861127281660537
"62",1921,0.008,0.861288749156523
"63",1922,0.008,0.861363277050484
"64",1923,0.008,0.86142261511311
"65",1938,0.008,0.826466515732199
"66",1962,0.008,0.74712618941074
"67",1994,0.008,0.740952933738826
"68",2005,0.008,0.727948735880681
"69",1875,0.006,0.892468485363293
"70",1881,0.006,0.861077431942903
"71",1886,0.006,0.86114776331717
"72",1889,0.006,0.861120655422553
"73",1898,0.006,0.861120995912446
"74",1901,0.006,0.861118008411949
"75",1906,0.006,0.861147015331395
"76",1909,0.006,0.861136537770556
"77",1910,0.006,0.861127769729866
"78",1912,0.006,0.861136435169029
"79",1917,0.006,0.861192745781787
"80",1925,0.006,0.861497157776519
"81",1926,0.006,0.861502100243016
"82",1934,0.006,0.826396497349195
"83",1937,0.006,0.82647918056957
"84",1946,0.006,0.824694960853374
"85",1951,0.006,0.82508774300978
"86",1964,0.006,0.74699181415064
"87",1966,0.006,0.746963697155795
"88",1967,0.006,0.746957274181349
"89",1970,0.006,0.746902071708135
"90",1971,0.006,0.746897377449348
"91",1972,0.006,0.746975025415004
"92",1992,0.006,0.740900080045223
"93",1995,0.006,0.740980896595919
"94",1883,0.004,0.861126773610969
"95",1884,0.004,0.86114917877393
"96",1887,0.004,0.861134940533847
"97",1888,0.004,0.861114508886558
"98",1899,0.004,0.861112699534841
"99",1911,0.004,0.861130782060866
"100",1914,0.004,0.861157960432185
"101",1919,0.004,0.861223546245776
"102",1920,0.004,0.861246200955738
"103",1933,0.004,0.826412752629656
"104",1945,0.004,0.824718786138678
"105",1948,0.004,0.824710999794736
"106",1949,0.004,0.824755882080341
"107",1974,0.004,0.746990319703859
"108",1990,0.004,0.740984644616477
"109",1991,0.004,0.740941658329612
"110",2007,0.004,0.727879046542772
"111",2009,0.004,0.727704852030369
"112",1891,0.002,0.861154982508411
"113",1894,0.002,0.861159109128955
"114",1897,0.002,0.861122614442851
"115",1904,0.002,0.861142475761418
"116",1905,0.002,0.861145450974739
"117",1913,0.002,0.861152535243278
"118",1915,0.002,0.861175633414839
"119",1916,0.002,0.861185659549008
"120",1918,0.002,0.861204236769906
"121",1924,0.002,0.86148149722529
"122",1947,0.002,0.824685001778884
"123",1965,0.002,0.746964739040588
"124",1968,0.002,0.746952962673114
"125",1973,0.002,0.746981614432988
"126",1988,0.002,0.74107393802172
"127",1993,0.002,0.740944265246125
"128",2006,0.002,0.727917915552149
"129",1885,0,0.86114776331717
"130",1892,0,0.861159109128955
"131",1893,0,0.861159109128955
"132",1900,0,0.861118008411949
"133",1903,0,0.861142475761418
"134",1907,0,0.861136537770556
"135",1908,0,0.861136537770556
"136",1930,0,0.839199843117893
"137",1935,0,0.826380150923602
"138",2010,NA,0.727778555417297
