"","Year","Prob","Means"
"1",1953,0.99,0.770000195026953
"2",1877,0.618,0.83590254202029
"3",1927,0.362,0.810712955489431
"4",1929,0.276,0.789794657171644
"5",1931,0.184,0.778482065955133
"6",1928,0.174,0.796337300497503
"7",1998,0.166,0.69426304865565
"8",1999,0.166,0.689335997277021
"9",1873,0.134,0.863026228065924
"10",1874,0.134,0.853816520955697
"11",1875,0.128,0.845722186334578
"12",2000,0.098,0.685785126146991
"13",1876,0.092,0.839774659157562
"14",1878,0.052,0.806127803500326
"15",1997,0.044,0.692968261310002
"16",2001,0.036,0.683832011590277
"17",1958,0.028,0.694143426188621
"18",1930,0.026,0.779368105173056
"19",1941,0.026,0.770799118070625
"20",2002,0.026,0.683165145309013
"21",2003,0.022,0.682795382665026
"22",1943,0.018,0.770271365032547
"23",1996,0.018,0.69266595939967
"24",2004,0.016,0.682388236453479
"25",2006,0.016,0.682014019427023
"26",1957,0.014,0.694431529625054
"27",1959,0.014,0.693609721079431
"28",1977,0.014,0.693368652473939
"29",1982,0.014,0.693020927074124
"30",1985,0.014,0.692772658827589
"31",1995,0.014,0.692540752498008
"32",1919,0.012,0.809759581784435
"33",1926,0.012,0.810302474559124
"34",1933,0.012,0.771224343483714
"35",1944,0.012,0.770004059823655
"36",1954,0.012,0.695556192097812
"37",1955,0.012,0.694767502399447
"38",1970,0.012,0.693390123941645
"39",1986,0.012,0.692635340769551
"40",1902,0.01,0.809065585576633
"41",1913,0.01,0.809282635362372
"42",1921,0.01,0.809973273237574
"43",1938,0.01,0.771023627912733
"44",1939,0.01,0.770918459405033
"45",1979,0.01,0.693216253383431
"46",1983,0.01,0.692899056070175
"47",1984,0.01,0.692823469895432
"48",1906,0.008,0.809168213488506
"49",1917,0.008,0.809577560394212
"50",1918,0.008,0.809658900102744
"51",1924,0.008,0.81019440812611
"52",1934,0.008,0.771026284698824
"53",1940,0.008,0.770785848114082
"54",1942,0.008,0.770346900774049
"55",1965,0.008,0.693315926543571
"56",1981,0.008,0.693103675820086
"57",1988,0.008,0.692552504144188
"58",2008,0.008,0.681654640170095
"59",1880,0.006,0.808736982082035
"60",1881,0.006,0.808822853012476
"61",1883,0.006,0.808853867696398
"62",1886,0.006,0.808847022456374
"63",1890,0.006,0.808885715099074
"64",1894,0.006,0.808987744013277
"65",1898,0.006,0.808972323296959
"66",1900,0.006,0.808985344822793
"67",1909,0.006,0.809186266789358
"68",1914,0.006,0.809413040843206
"69",1920,0.006,0.80989830697587
"70",1932,0.006,0.771402511389312
"71",1948,0.006,0.769783259195097
"72",1949,0.006,0.76984785432181
"73",1956,0.006,0.694533237733567
"74",1960,0.006,0.693425211326562
"75",1968,0.006,0.693352251463227
"76",1969,0.006,0.693387486851164
"77",1974,0.006,0.693433730572384
"78",1980,0.006,0.693151577472526
"79",1989,0.006,0.692542252521897
"80",2005,0.006,0.682106482806599
"81",1884,0.004,0.808868032564078
"82",1885,0.004,0.808895699104093
"83",1887,0.004,0.808840755582219
"84",1888,0.004,0.808860826127119
"85",1891,0.004,0.808932735343666
"86",1892,0.004,0.808953809697027
"87",1893,0.004,0.808981615513942
"88",1899,0.004,0.808979574668604
"89",1901,0.004,0.809047041666546
"90",1903,0.004,0.809136912795836
"91",1908,0.004,0.809208737322993
"92",1910,0.004,0.809219846951427
"93",1915,0.004,0.80948816441595
"94",1916,0.004,0.809538472292337
"95",1922,0.004,0.810094428507646
"96",1923,0.004,0.810126043572105
"97",1925,0.004,0.810311668489941
"98",1935,0.004,0.770976030389053
"99",1945,0.004,0.769803704310087
"100",1946,0.004,0.769777330807856
"101",1950,0.004,0.769813764892116
"102",1951,0.004,0.769938670919042
"103",1952,0.004,0.769973076420015
"104",1961,0.004,0.693355015822468
"105",1962,0.004,0.693322043288376
"106",1966,0.004,0.693307420286954
"107",1967,0.004,0.693324336619569
"108",1976,0.004,0.693392409699584
"109",1978,0.004,0.693246147225279
"110",1990,0.004,0.692528486956314
"111",1994,0.004,0.692531105133023
"112",2007,0.004,0.681728959230342
"113",1879,0.002,0.808803353978249
"114",1882,0.002,0.80883186633605
"115",1895,0.002,0.808993115945109
"116",1904,0.002,0.809153638773093
"117",1905,0.002,0.809162262003679
"118",1911,0.002,0.809239398691895
"119",1912,0.002,0.809260363759893
"120",1936,0.002,0.771020233979973
"121",1937,0.002,0.771039904303884
"122",1947,0.002,0.769777757281771
"123",1964,0.002,0.69331490689815
"124",1971,0.002,0.693438002813373
"125",1972,0.002,0.693442292160791
"126",1973,0.002,0.693436680470999
"127",1975,0.002,0.693409050120999
"128",1987,0.002,0.692556703500489
"129",1991,0.002,0.692503382890538
"130",1992,0.002,0.692533891085267
"131",1993,0.002,0.692548723026278
"132",2009,0.002,0.681499419264623
"133",1889,0,0.808885715099074
"134",1896,0,0.808972323296959
"135",1897,0,0.808972323296959
"136",1907,0,0.809208737322993
"137",1963,0,0.69331490689815
"138",2010,NA,0.681588817808019
