"","Year","Prob","Means"
"1",1957,0.958,0.361898813392647
"2",1979,0.908,0.245470052381879
"3",1964,0.708,0.288268145375309
"4",1968,0.694,0.256310061830481
"5",1970,0.36,0.209133918448273
"6",1996,0.342,0.292146732053144
"7",1995,0.318,0.306445613045881
"8",1988,0.194,0.334792506428112
"9",1989,0.182,0.328877092064709
"10",1971,0.16,0.227503300031993
"11",1993,0.142,0.31574604184937
"12",2016,0.136,0.269589302517372
"13",1992,0.13,0.320086474833876
"14",1980,0.124,0.323903157377671
"15",1990,0.114,0.324024934826089
"16",1972,0.108,0.233754167851403
"17",2020,0.104,0.265334617051607
"18",1994,0.102,0.310449830888741
"19",1967,0.096,0.252612519747049
"20",1997,0.096,0.278055615270231
"21",1975,0.088,0.237288302759515
"22",1981,0.088,0.330551631984765
"23",1969,0.084,0.205620543658076
"24",1952,0.082,0.367670102467192
"25",1976,0.078,0.239566461683377
"26",1977,0.078,0.24140996438323
"27",1956,0.074,0.365204753692788
"28",2005,0.072,0.274030210065045
"29",1963,0.068,0.289527594737294
"30",2015,0.068,0.270735537416124
"31",2013,0.064,0.271934013348313
"32",1962,0.06,0.291073270242224
"33",2004,0.06,0.273177390333321
"34",1960,0.056,0.289710685149337
"35",2018,0.054,0.266323850517404
"36",1951,0.05,0.368716019622734
"37",1966,0.05,0.252763211825882
"38",1978,0.05,0.243527416589118
"39",1986,0.05,0.334063802342502
"40",1998,0.05,0.275499721623148
"41",1985,0.048,0.334437271034631
"42",2001,0.046,0.273744914671995
"43",2006,0.046,0.272453859611889
"44",2007,0.046,0.27187335895018
"45",1987,0.044,0.334552112195238
"46",1991,0.044,0.320918597650888
"47",2000,0.044,0.274138540851127
"48",1973,0.042,0.236866356272736
"49",1982,0.042,0.333141870050867
"50",1984,0.042,0.334363621378178
"51",1950,0.04,0.369496296157557
"52",2017,0.038,0.266562641847552
"53",1974,0.036,0.237065244827016
"54",1961,0.034,0.290893036835974
"55",1965,0.034,0.252908609297031
"56",1983,0.034,0.333783496400072
"57",2009,0.034,0.27160140025755
"58",1954,0.032,0.364932757587727
"59",2008,0.032,0.271640875330152
"60",1999,0.03,0.274472044535791
"61",2003,0.03,0.273195619974344
"62",2011,0.03,0.271701731632999
"63",2019,0.03,0.26520033511143
"64",1955,0.026,0.365497290054104
"65",1959,0.026,0.289158687864733
"66",2002,0.026,0.273210214065397
"67",2010,0.026,0.271696326513369
"68",1953,0.024,0.365445400542137
"69",2014,0.024,0.270987208469753
"70",1958,0.022,0.289521889101769
"71",2012,0.022,0.27157725946324
"72",2021,NA,0.261479278580269
