"","Year","Prob","Means"
"1",1964,0.964,0.377542782727349
"2",1957,0.962,0.408458474147669
"3",1960,0.854,0.331014814142076
"4",1979,0.846,0.333190594265375
"5",1952,0.716,0.444019096595895
"6",1969,0.516,0.279354588068581
"7",1968,0.512,0.311283129366799
"8",1994,0.424,0.376688021555674
"9",2016,0.408,0.351257907597967
"10",2012,0.242,0.350897775961019
"11",1978,0.24,0.321109414856318
"12",1996,0.204,0.354671282931921
"13",2015,0.182,0.357157118545606
"14",2009,0.178,0.347419528154429
"15",1993,0.174,0.382471455588819
"16",1995,0.172,0.360187966034589
"17",1990,0.16,0.391901661075104
"18",1977,0.154,0.316867047548624
"19",1976,0.13,0.313915889171045
"20",2004,0.126,0.346728548699997
"21",1992,0.122,0.385556359671845
"22",2020,0.122,0.335673719552018
"23",1991,0.116,0.388158745442066
"24",1988,0.112,0.39433342906077
"25",1951,0.11,0.447680432716741
"26",1980,0.11,0.392710977863615
"27",1997,0.11,0.348833942117124
"28",1975,0.106,0.311752978377418
"29",1953,0.098,0.411449160879991
"30",2005,0.09,0.350678953668263
"31",1961,0.084,0.375644072317725
"32",2017,0.078,0.337688501577064
"33",1958,0.07,0.332425792984523
"34",1954,0.068,0.408699374852607
"35",1956,0.064,0.410314373693323
"36",2014,0.064,0.356909681803626
"37",1998,0.062,0.346808595284755
"38",1983,0.06,0.396024127690533
"39",2011,0.058,0.351249655281759
"40",2002,0.056,0.346318664573385
"41",2007,0.056,0.347496330703222
"42",2001,0.054,0.346541687620374
"43",2003,0.054,0.346305163676511
"44",2008,0.054,0.347051245876646
"45",1965,0.05,0.312778034574884
"46",1974,0.05,0.312495782043394
"47",1989,0.05,0.392390674944223
"48",2006,0.05,0.347761201287731
"49",2013,0.05,0.357448953977677
"50",1955,0.048,0.409879734471074
"51",1963,0.046,0.377945522271782
"52",1985,0.046,0.395124042746526
"53",1986,0.046,0.394752875772832
"54",2018,0.046,0.336328877618068
"55",1959,0.044,0.330391752935869
"56",1962,0.044,0.378146473236362
"57",1987,0.044,0.394769049923952
"58",1981,0.042,0.395886140359964
"59",1982,0.042,0.396222721693009
"60",2010,0.038,0.350775797563304
"61",1950,0.036,0.447636714748043
"62",1972,0.036,0.312205326083124
"63",1971,0.034,0.311822035187502
"64",1973,0.034,0.312439774649614
"65",1984,0.034,0.395406915679521
"66",1999,0.034,0.346569565169212
"67",2019,0.034,0.335909304726274
"68",1966,0.032,0.311545429055078
"69",1970,0.03,0.311571443671275
"70",2000,0.03,0.346526282402092
"71",1967,0.024,0.311211228696781
"72",2021,NA,0.331614624240949
