"","Year","Prob","Means"
"1",1961,0.9,0.117049998255728
"2",1994,0.472,0.195041484275831
"3",2015,0.41,0.136792161690477
"4",1995,0.338,0.177036524800631
"5",1960,0.328,0.0966801377294398
"6",1976,0.306,0.187685224513684
"7",2005,0.22,0.140725760576945
"8",2002,0.204,0.14816662694774
"9",2016,0.204,0.123583255853292
"10",2001,0.188,0.153020896841235
"11",2012,0.188,0.134582618663985
"12",1957,0.166,0.103502221408481
"13",1967,0.148,0.188976326806563
"14",1999,0.138,0.159641380772624
"15",1977,0.114,0.193662307544864
"16",2000,0.114,0.155639918785714
"17",1970,0.104,0.182082526353117
"18",1971,0.102,0.184828700240299
"19",1996,0.1,0.164487317827065
"20",2013,0.098,0.141410482576219
"21",2020,0.096,0.116688653321907
"22",1962,0.09,0.18873811957599
"23",1966,0.084,0.185719531335301
"24",1958,0.08,0.099008268804324
"25",1993,0.08,0.196827025220185
"26",2003,0.072,0.142837124616114
"27",2014,0.068,0.137842359544938
"28",1956,0.064,0.104666362978685
"29",2006,0.052,0.135454707157435
"30",2017,0.052,0.117818531680621
"31",1975,0.05,0.187085618585115
"32",2004,0.05,0.141441216940968
"33",1968,0.048,0.18255665253586
"34",1998,0.046,0.160511747116487
"35",1959,0.042,0.0968722995714355
"36",1978,0.042,0.195297271347035
"37",1986,0.042,0.196427042689953
"38",1974,0.04,0.187002888053324
"39",1992,0.04,0.197188727932605
"40",1989,0.038,0.197223420794776
"41",1991,0.038,0.197123148053318
"42",1963,0.036,0.185976492719453
"43",2018,0.036,0.117221684979281
"44",1952,0.034,0.105701496927112
"45",1953,0.034,0.10523236701857
"46",1969,0.034,0.181686448411564
"47",1973,0.034,0.187319032997526
"48",1981,0.034,0.195937849074104
"49",2009,0.034,0.134441170521166
"50",2019,0.034,0.116904283278768
"51",1965,0.03,0.185692634964739
"52",1985,0.03,0.196235669442825
"53",1997,0.03,0.161115615719814
"54",2007,0.03,0.134816229017704
"55",2011,0.028,0.134465521978093
"56",1984,0.026,0.19615962952603
"57",1987,0.026,0.196942087644334
"58",1988,0.026,0.197177297258981
"59",1990,0.026,0.197078414331695
"60",2010,0.026,0.134545456621511
"61",1955,0.024,0.104818799616817
"62",1972,0.024,0.187070109786744
"63",1979,0.024,0.195615601317624
"64",1983,0.024,0.196122807919954
"65",2008,0.024,0.134519172959482
"66",1982,0.022,0.196044733265733
"67",1950,0.02,0.105745526133068
"68",1954,0.02,0.104763332341664
"69",1964,0.02,0.185594261235534
"70",1980,0.02,0.195809768138912
"71",1951,0.016,0.105746476137561
"72",2021,NA,0.113442160964381
