"","Year","Prob","Means"
"1",1961,0.986,-0.139804926338588
"2",1994,0.776,-0.0343458739290631
"3",1966,0.696,-0.0633323463740045
"4",1967,0.686,-0.0170138328177918
"5",1976,0.672,-0.05768478686373
"6",2005,0.582,-0.096600954271613
"7",2012,0.554,-0.114990311463162
"8",2015,0.544,-0.0989023685224895
"9",2016,0.384,-0.123335176696141
"10",1960,0.224,-0.149787127703871
"11",2002,0.22,-0.0851281826961048
"12",1975,0.204,-0.0634708425512279
"13",1995,0.178,-0.0658688842586957
"14",1957,0.17,-0.14189497723017
"15",2000,0.16,-0.078712257829297
"16",1962,0.142,-0.0591461252750389
"17",1999,0.14,-0.0756388697826459
"18",1958,0.136,-0.145850086173474
"19",2001,0.122,-0.082288399903037
"20",2013,0.114,-0.0939183860224363
"21",1986,0.108,-0.0353492176468069
"22",2003,0.104,-0.0915943121419211
"23",2004,0.1,-0.094428654027304
"24",2020,0.1,-0.139466097843964
"25",1956,0.09,-0.140473067260515
"26",1977,0.076,-0.0365188809850235
"27",1979,0.076,-0.0349978757539315
"28",2011,0.072,-0.11638943241076
"29",1998,0.064,-0.0747521603320665
"30",1996,0.062,-0.0726510218798654
"31",1969,0.06,-0.0632732585657266
"32",1987,0.058,-0.033486749975275
"33",2007,0.056,-0.116946956576055
"34",2014,0.054,-0.0979454354952337
"35",1968,0.052,-0.0621167399087728
"36",1993,0.052,-0.0335909430663326
"37",2019,0.052,-0.138582209603837
"38",1974,0.05,-0.0643027486368988
"39",1997,0.05,-0.0741497725618363
"40",1951,0.048,-0.141233848382661
"41",2006,0.048,-0.117201184351366
"42",1985,0.046,-0.0357440091812583
"43",1972,0.044,-0.0643004654318508
"44",1992,0.044,-0.0335789803834453
"45",1965,0.042,-0.0639642383542191
"46",1989,0.042,-0.0331177102456863
"47",2010,0.042,-0.116592729669054
"48",2009,0.04,-0.117095914674268
"49",2017,0.04,-0.13750266234414
"50",1959,0.038,-0.149295691224975
"51",1954,0.036,-0.14074139570547
"52",1983,0.036,-0.036185155017096
"53",2018,0.036,-0.138107004411875
"54",1982,0.034,-0.0360578790168097
"55",2008,0.034,-0.117269929181692
"56",1970,0.032,-0.0644433569250818
"57",1984,0.032,-0.0359254999240001
"58",1991,0.032,-0.0338997110357212
"59",1971,0.03,-0.0642771261530331
"60",1980,0.03,-0.0357975334115892
"61",1988,0.03,-0.0330866811416377
"62",1973,0.028,-0.0643091876848622
"63",1978,0.028,-0.0351685773574771
"64",1981,0.028,-0.035971871319044
"65",1952,0.026,-0.140642246253716
"66",1964,0.026,-0.0641110972231236
"67",1950,0.024,-0.141419470786917
"68",1963,0.024,-0.0641213861441786
"69",1990,0.022,-0.0338355999263783
"70",1953,0.02,-0.140705877285975
"71",1955,0.018,-0.140427550084949
"72",2021,NA,-0.142602965304051
