"","Year","Prob","Means"
"1",1982,0.958,0.808250272468156
"2",1931,0.814,0.88863202491895
"3",1877,0.806,0.916773376755064
"4",1958,0.67,0.842307271514883
"5",1953,0.388,0.868755466963188
"6",1954,0.348,0.858343098441995
"7",1998,0.282,0.786745161420812
"8",1873,0.246,0.933166812383588
"9",1997,0.242,0.775669613553493
"10",1959,0.188,0.816090289185666
"11",1957,0.13,0.848341872514925
"12",1876,0.088,0.919212090893059
"13",1928,0.076,0.892265102067639
"14",1874,0.074,0.922290613246956
"15",1950,0.068,0.867497328648168
"16",1929,0.046,0.890687168399666
"17",1927,0.042,0.89319898573275
"18",1930,0.04,0.889617491817485
"19",1977,0.034,0.809662662480127
"20",1999,0.034,0.773019289592569
"21",1955,0.03,0.849051869640524
"22",1960,0.026,0.810438785656759
"23",1949,0.024,0.867212874813823
"24",1980,0.02,0.808978071470663
"25",2000,0.018,0.772589215634111
"26",1890,0.016,0.892807557269737
"27",1993,0.016,0.775209055835564
"28",1875,0.014,0.91948230293357
"29",1878,0.014,0.892305569536566
"30",1879,0.014,0.892544551314191
"31",1884,0.014,0.892573445815227
"32",1888,0.014,0.892686778401016
"33",1934,0.014,0.866749295026027
"34",1948,0.014,0.867132541538656
"35",1952,0.014,0.869051129150436
"36",1994,0.014,0.775285355525488
"37",1996,0.014,0.775514670518857
"38",1983,0.012,0.775383092207658
"39",1987,0.012,0.77506389497977
"40",1893,0.01,0.892935985851185
"41",1900,0.01,0.892978529607547
"42",1901,0.01,0.89302524798554
"43",1909,0.01,0.893091841215778
"44",1920,0.01,0.893132721733201
"45",1935,0.01,0.866934076661767
"46",1938,0.01,0.86706850194416
"47",1951,0.01,0.868901329804616
"48",1961,0.01,0.809821884117967
"49",1967,0.01,0.809679204837245
"50",1981,0.01,0.808493080453543
"51",2002,0.01,0.772253469501879
"52",2004,0.01,0.772067550061169
"53",1883,0.008,0.892511487284568
"54",1932,0.008,0.86667979640412
"55",1933,0.008,0.866674689970201
"56",1946,0.008,0.867103364686622
"57",1966,0.008,0.8096685215335
"58",1968,0.008,0.809693492087855
"59",1995,0.008,0.775433773416263
"60",2001,0.008,0.772346916695637
"61",2003,0.008,0.772146672573032
"62",1880,0.006,0.89247331897153
"63",1885,0.006,0.892697811026443
"64",1886,0.006,0.892637109656238
"65",1915,0.006,0.893115837614023
"66",1936,0.006,0.867042602766765
"67",1942,0.006,0.867065965008941
"68",1943,0.006,0.867066960840669
"69",1945,0.006,0.867062153071078
"70",1956,0.006,0.848388809599536
"71",1964,0.006,0.80966960423447
"72",1969,0.006,0.809703775970475
"73",1978,0.006,0.809126524744349
"74",1979,0.006,0.809038073500811
"75",2005,0.006,0.771974950596824
"76",2006,0.006,0.771950443674318
"77",2008,0.006,0.771912739337729
"78",2009,0.006,0.771848298749427
"79",1881,0.004,0.892523687762051
"80",1887,0.004,0.892664396411982
"81",1889,0.004,0.892788265112488
"82",1891,0.004,0.892909290494703
"83",1894,0.004,0.89296036134632
"84",1899,0.004,0.892972649947538
"85",1902,0.004,0.893044946148626
"86",1903,0.004,0.8930592677131
"87",1908,0.004,0.893088290273933
"88",1911,0.004,0.893099783576633
"89",1918,0.004,0.893118382807328
"90",1921,0.004,0.893172212438397
"91",1937,0.004,0.867061265526906
"92",1939,0.004,0.867058129438084
"93",1941,0.004,0.867065889438133
"94",1962,0.004,0.80966738212293
"95",1963,0.004,0.80967315000453
"96",1972,0.004,0.8096936176667
"97",1975,0.004,0.809689264805578
"98",1976,0.004,0.80968906768418
"99",1984,0.004,0.775035637301962
"100",1986,0.004,0.77506055967984
"101",1990,0.004,0.775139605396465
"102",1991,0.004,0.775163202182064
"103",1882,0.002,0.892499019713119
"104",1892,0.002,0.892926716034243
"105",1897,0.002,0.892971008007038
"106",1898,0.002,0.892975140812373
"107",1904,0.002,0.89307734961894
"108",1905,0.002,0.89308261496718
"109",1907,0.002,0.893086331648186
"110",1910,0.002,0.893097505778057
"111",1912,0.002,0.893107651730758
"112",1913,0.002,0.893111893612152
"113",1919,0.002,0.893127948084826
"114",1922,0.002,0.893195864446673
"115",1923,0.002,0.893204256227711
"116",1924,0.002,0.893208116849949
"117",1925,0.002,0.893205694043345
"118",1940,0.002,0.867055762305696
"119",1965,0.002,0.809667813020841
"120",1973,0.002,0.80969072893993
"121",1985,0.002,0.775056222914623
"122",1988,0.002,0.775125019731103
"123",1989,0.002,0.775138528120701
"124",1992,0.002,0.775191770601215
"125",1895,0,0.892971008007038
"126",1896,0,0.892971008007038
"127",1906,0,0.893086331648186
"128",1914,0,0.893115837614023
"129",1916,0,0.893118382807328
"130",1917,0,0.893118382807328
"131",1926,0,0.89319898573275
"132",1944,0,0.867062153071078
"133",1947,0,0.867132541538656
"134",1970,0,0.8096936176667
"135",1971,0,0.8096936176667
"136",1974,0,0.809689264805578
"137",2007,0,0.771912739337729
"138",2010,NA,0.771890947856873
