"","Year","Prob","Means"
"1",1953,0.898,0.825184471245505
"2",1877,0.694,0.888791255966735
"3",1931,0.554,0.847620739308135
"4",1873,0.428,0.92283492269851
"5",1998,0.36,0.749053633493481
"6",1958,0.294,0.758163058067779
"7",1957,0.202,0.764081294712851
"8",1928,0.19,0.858710741295717
"9",1999,0.132,0.734911377674569
"10",1997,0.13,0.742644602819663
"11",1929,0.128,0.852509082524761
"12",1927,0.116,0.862351734944076
"13",1982,0.11,0.745008902721498
"14",1954,0.092,0.771301451034033
"15",1959,0.066,0.749944913013154
"16",1878,0.064,0.860386622275902
"17",1874,0.056,0.893749226001266
"18",1941,0.05,0.826670225255963
"19",1977,0.046,0.747277563509572
"20",1876,0.044,0.890227686008084
"21",2000,0.044,0.732199042595691
"22",1983,0.038,0.74321732748155
"23",1996,0.038,0.741663032128548
"24",1979,0.034,0.746193788941862
"25",1976,0.032,0.747706342340517
"26",1978,0.03,0.746575531255028
"27",1984,0.03,0.742658475657325
"28",1956,0.028,0.764918792025283
"29",1980,0.028,0.745706748530361
"30",1879,0.026,0.862618324322024
"31",1960,0.026,0.748485011069921
"32",1938,0.024,0.827288931448734
"33",1944,0.024,0.825590451981512
"34",1985,0.024,0.742312432189812
"35",2001,0.024,0.731432017011892
"36",1930,0.022,0.848213084157472
"37",1981,0.022,0.745301726859232
"38",1875,0.02,0.89096965235324
"39",1939,0.02,0.826993289009228
"40",2002,0.018,0.7310426039706
"41",2008,0.016,0.730279547938653
"42",1885,0.014,0.862331768744297
"43",1904,0.014,0.862188755648042
"44",1932,0.014,0.827739605722013
"45",1933,0.014,0.827454358580711
"46",1975,0.014,0.747830745222192
"47",1986,0.014,0.741985021336219
"48",1995,0.014,0.74169364610019
"49",1882,0.012,0.862238498518771
"50",1883,0.012,0.862280905001979
"51",1924,0.012,0.862490356574537
"52",1925,0.012,0.862532919861088
"53",1942,0.012,0.825921003016633
"54",1943,0.012,0.825754162753468
"55",1952,0.012,0.825574621474327
"56",1991,0.012,0.741631170386921
"57",1881,0.01,0.862218547327871
"58",1889,0.01,0.862170147770413
"59",1890,0.01,0.862121860149992
"60",1920,0.01,0.862334825194111
"61",1950,0.01,0.825329196075713
"62",1961,0.01,0.747994080750513
"63",1992,0.01,0.741617174361383
"64",1993,0.01,0.74160391049151
"65",2003,0.01,0.730818716780719
"66",2007,0.01,0.730391932123391
"67",1880,0.008,0.862199392410908
"68",1884,0.008,0.862316940179352
"69",1892,0.008,0.862173842672847
"70",1895,0.008,0.86220400702087
"71",1899,0.008,0.862136237540645
"72",1900,0.008,0.862152827900036
"73",1901,0.008,0.862176987064206
"74",1902,0.008,0.862170884076273
"75",1907,0.008,0.862209709231375
"76",1918,0.008,0.862253756157928
"77",1919,0.008,0.862272343473025
"78",1936,0.008,0.827212863070961
"79",1955,0.008,0.765169885601908
"80",1964,0.008,0.747833477396855
"81",1972,0.008,0.747829140002264
"82",1987,0.008,0.741808500777117
"83",1989,0.008,0.741731064159792
"84",1990,0.008,0.74168062757856
"85",1994,0.008,0.741657995725446
"86",2004,0.008,0.730673892037778
"87",2006,0.008,0.730501440974298
"88",1886,0.006,0.862166544075612
"89",1888,0.006,0.862117407196075
"90",1893,0.006,0.862206195199339
"91",1906,0.006,0.862208613963137
"92",1909,0.006,0.862166474439177
"93",1912,0.006,0.862136052997122
"94",1914,0.006,0.862163442490985
"95",1916,0.006,0.862204706468584
"96",1917,0.006,0.862231064660231
"97",1921,0.006,0.862362061209119
"98",1922,0.006,0.862404331242643
"99",1937,0.006,0.82729653331299
"100",1940,0.006,0.826732441328836
"101",1948,0.006,0.82523088842914
"102",1967,0.006,0.747801495781815
"103",1971,0.006,0.747799141526418
"104",1973,0.006,0.747855968621887
"105",1887,0.004,0.862148194349298
"106",1894,0.004,0.86220159631076
"107",1897,0.004,0.862159620419976
"108",1903,0.004,0.862185092141201
"109",1908,0.004,0.862169376335202
"110",1913,0.004,0.862140426881285
"111",1915,0.004,0.862187762797661
"112",1923,0.004,0.862441647649701
"113",1926,0.004,0.862292212454293
"114",1934,0.004,0.827239469780129
"115",1946,0.004,0.825248297664108
"116",1951,0.004,0.825530174837443
"117",1962,0.004,0.747829935643122
"118",1963,0.004,0.747850699883715
"119",1966,0.004,0.74781942404424
"120",1969,0.004,0.747809863106237
"121",1970,0.004,0.747795445730332
"122",2005,0.004,0.730525819522019
"123",1891,0.002,0.86216874469064
"124",1896,0.002,0.862170238915404
"125",1898,0.002,0.862133069381149
"126",1910,0.002,0.862140201434477
"127",1911,0.002,0.862134663771087
"128",1945,0.002,0.825264871943459
"129",1947,0.002,0.825240966030284
"130",1949,0.002,0.825298138587762
"131",1965,0.002,0.747816670589447
"132",1968,0.002,0.747804911014167
"133",1974,0.002,0.747847176997097
"134",1905,0,0.862208613963137
"135",1935,0,0.827212863070961
"136",1988,0,0.741731064159792
"137",2009,0,0.730071745889065
"138",2010,NA,0.730071745889065
