"","Year","Prob","Means"
"1",1953,0.966,0.779635400659215
"2",1877,0.624,0.845581004713809
"3",1931,0.406,0.797818991151357
"4",1928,0.26,0.810637424258543
"5",1927,0.236,0.819970365711497
"6",1873,0.226,0.8769907863517
"7",1874,0.146,0.860195693056266
"8",1998,0.144,0.70155073550744
"9",1999,0.122,0.697205373459516
"10",1875,0.102,0.851268154194146
"11",1929,0.078,0.800886440168005
"12",2000,0.072,0.694726646215327
"13",1878,0.068,0.81583528784821
"14",1958,0.042,0.702278408083934
"15",2001,0.042,0.69337956519011
"16",1954,0.04,0.705635011817815
"17",1943,0.032,0.779950213749599
"18",1997,0.032,0.700283234205629
"19",1932,0.028,0.781802056137278
"20",1941,0.028,0.780662751891887
"21",1876,0.022,0.846475789794315
"22",1879,0.02,0.818884286920337
"23",2003,0.02,0.692452667924883
"24",1936,0.018,0.780914244000038
"25",1939,0.018,0.781012299890917
"26",1977,0.018,0.700947385318589
"27",1950,0.016,0.779341285104013
"28",1956,0.016,0.702864033732847
"29",1982,0.016,0.700479118854521
"30",1996,0.016,0.699945545812008
"31",2002,0.016,0.692732015248815
"32",1938,0.014,0.781180448936105
"33",1942,0.014,0.780170129363272
"34",1957,0.014,0.702591216391803
"35",1959,0.014,0.701350108399197
"36",1960,0.014,0.701141393445939
"37",1981,0.014,0.700630025730957
"38",1913,0.012,0.81878288806481
"39",1926,0.012,0.819448049596725
"40",1994,0.012,0.699878770563481
"41",2004,0.012,0.69216148372233
"42",1903,0.01,0.818727005744096
"43",1918,0.01,0.819072320664886
"44",1933,0.01,0.781040667404269
"45",1944,0.01,0.779413768148279
"46",1961,0.01,0.700996801295081
"47",1974,0.01,0.701049391838651
"48",1991,0.01,0.69998937208591
"49",1995,0.01,0.699901387132291
"50",1886,0.008,0.818640325737751
"51",1899,0.008,0.818630146644148
"52",1965,0.008,0.700937518173674
"53",1966,0.008,0.700947720863243
"54",1976,0.008,0.700996003143656
"55",1978,0.008,0.700791167500077
"56",1985,0.008,0.700269518269157
"57",1986,0.008,0.700200823815473
"58",2007,0.008,0.691837995483742
"59",2008,0.008,0.691698217204752
"60",1881,0.006,0.818631181721869
"61",1884,0.006,0.818634392294606
"62",1895,0.006,0.818665724744327
"63",1897,0.006,0.818616616317122
"64",1902,0.006,0.81869899180221
"65",1904,0.006,0.818751126706216
"66",1906,0.006,0.818776550093067
"67",1909,0.006,0.818789172818278
"68",1914,0.006,0.818932785529629
"69",1915,0.006,0.818980889018409
"70",1920,0.006,0.819199288943785
"71",1921,0.006,0.819244716790343
"72",1922,0.006,0.819322313555703
"73",1923,0.006,0.819379049001104
"74",1930,0.006,0.797991340497995
"75",1935,0.006,0.780827848888835
"76",1937,0.006,0.781204888025184
"77",1955,0.006,0.702994799582953
"78",1962,0.006,0.700912787705862
"79",1983,0.006,0.700329327533529
"80",1987,0.006,0.700117795415666
"81",1988,0.006,0.700070607804002
"82",1990,0.006,0.700036696638048
"83",1992,0.006,0.69992468685093
"84",2005,0.006,0.691958439934138
"85",2006,0.006,0.691944050129024
"86",1880,0.004,0.818618302042377
"87",1882,0.004,0.818641173030898
"88",1883,0.004,0.818648893425567
"89",1887,0.004,0.818607386119452
"90",1892,0.004,0.818645047225731
"91",1896,0.004,0.818658839928126
"92",1898,0.004,0.81862447954739
"93",1901,0.004,0.818734388330046
"94",1908,0.004,0.818829763378214
"95",1916,0.004,0.81904328281747
"96",1919,0.004,0.819155709694318
"97",1924,0.004,0.819410414360082
"98",1940,0.004,0.780706601195335
"99",1952,0.004,0.779626864097093
"100",1967,0.004,0.701000279314589
"101",1969,0.004,0.701006104943832
"102",1975,0.004,0.701018641846542
"103",1979,0.004,0.700688687790993
"104",1989,0.004,0.700046385825783
"105",1993,0.004,0.699888549789049
"106",1885,0.002,0.818670294827765
"107",1888,0.002,0.818603481428399
"108",1889,0.002,0.818619073216335
"109",1890,0.002,0.818630978383686
"110",1893,0.002,0.818662736552677
"111",1894,0.002,0.818662031470798
"112",1900,0.002,0.818661363851501
"113",1905,0.002,0.818768606108336
"114",1907,0.002,0.818893431094219
"115",1910,0.002,0.818758913205865
"116",1911,0.002,0.818766124906139
"117",1917,0.002,0.819057935621074
"118",1945,0.002,0.779288992765125
"119",1946,0.002,0.779270697903883
"120",1947,0.002,0.779266368379845
"121",1948,0.002,0.779263290248293
"122",1949,0.002,0.779309459112772
"123",1963,0.002,0.700936496575468
"124",1964,0.002,0.700938994857797
"125",1971,0.002,0.701041270543741
"126",1972,0.002,0.701041346563823
"127",1973,0.002,0.701048148673147
"128",1980,0.002,0.700650640855575
"129",2009,0.002,0.691557790234919
"130",1891,0,0.818645047225731
"131",1912,0,0.81878288806481
"132",1925,0,0.819448049596725
"133",1934,0,0.780827848888835
"134",1951,0,0.779626864097093
"135",1968,0,0.701006104943832
"136",1970,0,0.701041270543741
"137",1984,0,0.700269518269157
"138",2010,NA,0.691571557762337
