"","Year","Prob","Means"
"1",1964,0.76,0.0429876764376476
"2",1970,0.512,0.056721228536886
"3",1997,0.426,0.0479536528128574
"4",1905,0.422,0.022971389423802
"5",1996,0.416,0.0538442612378546
"6",1891,0.314,0.0258382977553732
"7",1898,0.308,0.0227024291928185
"8",1924,0.232,0.017896544961675
"9",1904,0.23,0.0256705795889673
"10",1979,0.214,0.0500414208093893
"11",1963,0.21,0.039430840630452
"12",1921,0.196,0.0135780643470059
"13",1925,0.194,0.0202815976153531
"14",1938,0.186,0.0290499968834141
"15",1940,0.178,0.0325218916603686
"16",1882,0.174,0.0224903858526629
"17",1879,0.172,0.0201673498353574
"18",1908,0.17,0.0168317927763965
"19",1937,0.164,0.0274724636316266
"20",1874,0.16,0.0167875241019634
"21",1923,0.158,0.0164400080696872
"22",1888,0.156,0.0250767111961414
"23",1939,0.154,0.0309993898082685
"24",1969,0.154,0.0586567146064613
"25",1956,0.152,0.037482025199993
"26",1933,0.148,0.0238566881590118
"27",1978,0.124,0.0489967735580055
"28",1993,0.124,0.0563435224524156
"29",1955,0.118,0.0366223342987414
"30",1883,0.112,0.0240706691423177
"31",1935,0.11,0.0262884548481907
"32",1981,0.102,0.0526021364074407
"33",1941,0.1,0.0343140664941525
"34",1971,0.1,0.0496541858087203
"35",1934,0.098,0.0254042894199111
"36",2007,0.098,0.0417064130682742
"37",1953,0.092,0.0354979412354744
"38",1977,0.092,0.0480817981955292
"39",1982,0.086,0.0534217279375458
"40",1987,0.086,0.0552584364743212
"41",1890,0.084,0.0267022929211507
"42",1922,0.084,0.0156837111912706
"43",1968,0.084,0.0595090072699097
"44",1986,0.082,0.0547298273751909
"45",1884,0.076,0.0250772327161814
"46",1903,0.076,0.0264079808912871
"47",1906,0.074,0.0177348179417249
"48",1966,0.074,0.0587330289976716
"49",1980,0.074,0.052035974644221
"50",1880,0.072,0.0217021181508749
"51",1894,0.072,0.0210600006129315
"52",1954,0.072,0.036155864389349
"53",1927,0.07,0.0227378135923117
"54",1878,0.068,0.0196884015344828
"55",1914,0.068,0.0140578542150679
"56",1988,0.068,0.0559098195063515
"57",2000,0.068,0.0415266713302545
"58",1907,0.066,0.0172333457388572
"59",1889,0.064,0.0275833512693514
"60",1909,0.064,0.0150641172039376
"61",1926,0.064,0.0221891253230148
"62",1959,0.062,0.0392885077006341
"63",1892,0.06,0.0215166968498442
"64",1897,0.06,0.0222738631949525
"65",1995,0.058,0.0544677807773654
"66",1877,0.056,0.0192380853646123
"67",1895,0.054,0.0218200235018796
"68",1899,0.05,0.0268336485172302
"69",2006,0.05,0.0420858948203713
"70",1972,0.048,0.0487576901808525
"71",2005,0.048,0.0424468818993396
"72",1887,0.046,0.0255593456592908
"73",1957,0.046,0.0387863224599493
"74",1961,0.046,0.0397753670383054
"75",1983,0.046,0.0540669570354578
"76",1994,0.046,0.0547737550960128
"77",1876,0.044,0.019063621931564
"78",1928,0.044,0.0232849131923965
"79",1942,0.042,0.0351704488818822
"80",1984,0.042,0.0543516743283798
"81",1902,0.04,0.026313062265821
"82",1958,0.04,0.0390563427867475
"83",1998,0.04,0.0418891270530828
"84",1929,0.038,0.0235125124514797
"85",1948,0.038,0.0355101316383939
"86",1875,0.036,0.0188446001056105
"87",1912,0.036,0.0143151581530233
"88",1920,0.036,0.0135930091198067
"89",1952,0.036,0.0353486213109822
"90",1976,0.036,0.0478987819520423
"91",1881,0.034,0.0222333015051577
"92",1943,0.034,0.035392510233752
"93",1896,0.032,0.0222433501807659
"94",1910,0.032,0.0146318311733152
"95",1918,0.032,0.0135487554790419
"96",1932,0.032,0.0237494907707982
"97",1950,0.032,0.0354725183064454
"98",1951,0.032,0.0353045201133316
"99",1975,0.032,0.0481735534899783
"100",2008,0.032,0.0407583369876689
"101",1911,0.03,0.0144475941910411
"102",1974,0.03,0.0484125708481929
"103",2003,0.03,0.0422013410800443
"104",2004,0.03,0.0423864310399441
"105",1930,0.028,0.0236061143329456
"106",1967,0.028,0.0595049010304651
"107",1873,0.026,0.0166098809592134
"108",1901,0.026,0.0262762524923571
"109",1913,0.026,0.0141105963999505
"110",1944,0.026,0.035558259756297
"111",1965,0.026,0.058445424312758
"112",1990,0.026,0.056393086717635
"113",1992,0.026,0.0563710156976551
"114",1999,0.026,0.0415011058550226
"115",1893,0.024,0.0209788482361951
"116",1900,0.024,0.0262304603602269
"117",1946,0.024,0.0355364078630179
"118",1985,0.024,0.054625887247667
"119",1885,0.022,0.0256518479355089
"120",1919,0.022,0.013625429697675
"121",1945,0.022,0.0355360735465128
"122",1973,0.022,0.0484433121295203
"123",1917,0.02,0.0135622681222136
"124",1936,0.02,0.0273167107079792
"125",1989,0.02,0.056302863230753
"126",1886,0.018,0.0256364973279629
"127",1931,0.018,0.023673691278105
"128",1991,0.018,0.0563746748035009
"129",1916,0.016,0.013521048174017
"130",1960,0.016,0.0398090585945117
"131",2001,0.016,0.0421508698418517
"132",1915,0.014,0.0135586030806213
"133",1947,0.012,0.0355478148703321
"134",1949,0.012,0.0354819381541129
"135",1962,0.012,0.0394205596810705
"136",2009,0.01,0.0405436053195308
"137",2002,0.008,0.0421694770838175
"138",2010,NA,0.0405394902793817
