"","Year","Prob","Means"
"1",1953,0.964,0.728755704088742
"2",1998,0.948,0.742048871004038
"3",1997,0.922,0.640539234063047
"4",1873,0.894,0.951271886069645
"5",1927,0.524,0.77666428048787
"6",1883,0.42,0.807449089712757
"7",1881,0.382,0.828820838033454
"8",1979,0.346,0.655231576903551
"9",1877,0.304,0.848367217837868
"10",1931,0.286,0.748651882858645
"11",1977,0.218,0.664635884748182
"12",1875,0.168,0.857726526834202
"13",1925,0.166,0.783226788525561
"14",1978,0.116,0.658380951195302
"15",1933,0.104,0.736020997707708
"16",1934,0.102,0.733278277958568
"17",1980,0.096,0.645095276040339
"18",1982,0.09,0.641644195871894
"19",1964,0.086,0.66939845152007
"20",1878,0.078,0.835111243717495
"21",1885,0.076,0.790347990780189
"22",1958,0.076,0.676901045122889
"23",1929,0.066,0.751950941313551
"24",1963,0.064,0.67065327434444
"25",1882,0.06,0.809763709868905
"26",2007,0.058,0.646956356986032
"27",1907,0.056,0.786881953138938
"28",1961,0.056,0.672813223672319
"29",1909,0.054,0.785582394326824
"30",1959,0.052,0.674823657103122
"31",1962,0.052,0.671698845299489
"32",1935,0.05,0.730810671782122
"33",1976,0.05,0.665866188926396
"34",1996,0.05,0.638163733915206
"35",1880,0.046,0.830589636405086
"36",1879,0.042,0.832083638194666
"37",1926,0.042,0.777762962580557
"38",1981,0.042,0.64271971167832
"39",1960,0.04,0.673644442805876
"40",1984,0.04,0.639067032866321
"41",1874,0.038,0.859786510208811
"42",1884,0.038,0.789139329219258
"43",2006,0.036,0.646188949384662
"44",2008,0.036,0.648601473644979
"45",1906,0.034,0.786730018174763
"46",1924,0.034,0.783887137647303
"47",1957,0.034,0.677706034945908
"48",1965,0.032,0.667627291866395
"49",2005,0.032,0.645470564847804
"50",1966,0.03,0.667067231743776
"51",1897,0.028,0.787773879796742
"52",1930,0.028,0.749323114973658
"53",1932,0.028,0.736707918931349
"54",2009,0.028,0.64968126772791
"55",1949,0.026,0.728397157833142
"56",1905,0.024,0.7869859352453
"57",1922,0.024,0.784447951697938
"58",1936,0.024,0.729788104861759
"59",1950,0.024,0.72842457928127
"60",2004,0.024,0.645266065707547
"61",1887,0.022,0.788236636153283
"62",1895,0.022,0.788172071412678
"63",1898,0.022,0.787281484486646
"64",1908,0.022,0.785873817424189
"65",1923,0.022,0.784209905870629
"66",1937,0.022,0.729534003721984
"67",1938,0.022,0.729203087602657
"68",1968,0.022,0.666473866043143
"69",1890,0.02,0.787968967428979
"70",1900,0.02,0.787068430984763
"71",1952,0.02,0.729080144675492
"72",1956,0.02,0.678125606829268
"73",1995,0.02,0.63780257198631
"74",1912,0.018,0.784660203523579
"75",1928,0.018,0.75252788106212
"76",1983,0.018,0.6394161190905
"77",1876,0.016,0.8485022851771
"78",1902,0.016,0.787041708086143
"79",1917,0.016,0.784530207459394
"80",1941,0.016,0.728643518377582
"81",1969,0.016,0.666335510834404
"82",2001,0.016,0.64488960813585
"83",1911,0.014,0.784643257033647
"84",1921,0.014,0.784542131161645
"85",1940,0.014,0.728813860770033
"86",1986,0.014,0.638359639757382
"87",1999,0.014,0.644917671115226
"88",2000,0.014,0.644916139599918
"89",1888,0.012,0.788120195756045
"90",1896,0.012,0.787813025266935
"91",1904,0.012,0.787073029590924
"92",1910,0.012,0.784682516845176
"93",1915,0.012,0.784626086469671
"94",1919,0.012,0.784531406554107
"95",1951,0.012,0.728869804989872
"96",1970,0.012,0.666279284206288
"97",1971,0.012,0.666217246892999
"98",1973,0.012,0.666062548342396
"99",2002,0.012,0.645034713313548
"100",2003,0.012,0.645122257978165
"101",1886,0.01,0.788271425950586
"102",1889,0.01,0.788062762589425
"103",1891,0.01,0.788165943110823
"104",1901,0.01,0.787076461992007
"105",1913,0.01,0.784636706565524
"106",1916,0.01,0.784580609701595
"107",1918,0.01,0.784518293811648
"108",1920,0.01,0.784546323068039
"109",1939,0.01,0.728949630966449
"110",1946,0.01,0.728353992274571
"111",1954,0.01,0.678549268339121
"112",1955,0.01,0.67830442805356
"113",1967,0.01,0.666594273107109
"114",1987,0.01,0.638155026583321
"115",1992,0.01,0.637840012521971
"116",1903,0.008,0.787068364228439
"117",1942,0.008,0.728457313786483
"118",1943,0.008,0.728404984780531
"119",1975,0.008,0.665866020601078
"120",1991,0.008,0.637840042180059
"121",1893,0.006,0.78817811543523
"122",1894,0.006,0.788174428496221
"123",1914,0.006,0.784580252727334
"124",1944,0.006,0.728282352493138
"125",1945,0.006,0.728302037914902
"126",1948,0.006,0.728408966653645
"127",1985,0.006,0.638456442931909
"128",1988,0.006,0.638009072691602
"129",1989,0.006,0.637959096049242
"130",1990,0.006,0.637902223015821
"131",1993,0.006,0.63777437148295
"132",1892,0.004,0.788159326764324
"133",1972,0.004,0.666054869296972
"134",1974,0.004,0.665917838685663
"135",1899,0.002,0.787088394272788
"136",1947,0.002,0.728412840577649
"137",1994,0.002,0.637797986444705
"138",2010,NA,0.650721405962935
