"","Year","Prob","Means"
"1",1873,0.932,0.96296240471955
"2",1953,0.89,0.759173193948093
"3",1998,0.86,0.77315431277021
"4",1997,0.832,0.696033884690762
"5",1881,0.516,0.851203035710667
"6",1927,0.334,0.792312971614135
"7",1907,0.32,0.8127637261152
"8",1931,0.31,0.773702379819696
"9",1883,0.284,0.827407782745114
"10",1909,0.266,0.800471612006962
"11",1877,0.2,0.8657012928869
"12",1977,0.192,0.71154973646947
"13",1908,0.176,0.804459436890992
"14",1979,0.174,0.70413890405126
"15",1978,0.14,0.707199650980574
"16",1878,0.13,0.857491482798833
"17",1875,0.124,0.871809149271268
"18",1980,0.118,0.70023808553029
"19",1929,0.11,0.779309388572246
"20",1976,0.11,0.713904143649573
"21",1905,0.108,0.814640198567734
"22",1885,0.084,0.818254796945135
"23",1930,0.082,0.776034213715749
"24",1925,0.07,0.794856930017317
"25",1981,0.068,0.697821292185057
"26",1928,0.056,0.780988813841372
"27",1952,0.056,0.760801927903811
"28",1906,0.054,0.812194505291355
"29",1934,0.048,0.762103869866842
"30",1971,0.044,0.716128901700611
"31",1958,0.042,0.719929228871574
"32",1969,0.042,0.717152389944507
"33",1910,0.04,0.793305866984575
"34",1933,0.04,0.762837267146219
"35",1887,0.038,0.815465333896872
"36",1926,0.038,0.792810127617854
"37",1884,0.034,0.816525788452164
"38",1972,0.034,0.715309221873883
"39",1984,0.034,0.695407885404936
"40",1902,0.032,0.814687982454995
"41",1956,0.032,0.720827062336739
"42",1982,0.032,0.696452772380551
"43",1996,0.032,0.694695494505468
"44",1932,0.03,0.763498020837888
"45",2006,0.03,0.689302752503065
"46",2009,0.03,0.690529760165239
"47",1959,0.028,0.718996215472111
"48",1968,0.028,0.717444833030915
"49",1970,0.028,0.716561430085708
"50",1983,0.028,0.695788360135993
"51",1882,0.026,0.827986939203405
"52",1900,0.026,0.814353197224286
"53",1904,0.026,0.815097153152885
"54",1949,0.026,0.760671511991488
"55",1973,0.026,0.714690860729821
"56",2004,0.026,0.68882892701986
"57",1912,0.024,0.793930317451227
"58",1954,0.024,0.721555974279039
"59",2007,0.024,0.689750618004298
"60",1874,0.022,0.872698188656837
"61",1880,0.022,0.851844685282073
"62",1890,0.022,0.814960503285549
"63",1936,0.022,0.760956333810372
"64",1995,0.022,0.694287972620799
"65",2001,0.022,0.688175704483432
"66",1879,0.02,0.852404364645812
"67",1891,0.02,0.81501395854007
"68",1913,0.02,0.794101176433847
"69",1919,0.02,0.79459993734588
"70",1921,0.02,0.794831613761996
"71",1960,0.02,0.718445348490931
"72",1962,0.02,0.717957750447471
"73",1963,0.02,0.717774428256953
"74",1895,0.018,0.81480109940803
"75",2003,0.018,0.688592218844378
"76",1916,0.016,0.794206253836256
"77",1917,0.016,0.794325437878321
"78",1922,0.016,0.794833259558117
"79",1937,0.016,0.760672397754723
"80",1961,0.016,0.718161250199623
"81",1964,0.016,0.717657913642479
"82",2000,0.016,0.688048784430343
"83",2002,0.016,0.68840000991628
"84",2005,0.016,0.689063370005908
"85",2008,0.016,0.690171402248868
"86",1898,0.014,0.814464652281451
"87",1911,0.014,0.793750390838723
"88",1914,0.014,0.794058339278007
"89",1918,0.014,0.794469160134564
"90",1920,0.014,0.794729873470113
"91",1938,0.014,0.760652501759639
"92",1957,0.014,0.720219895941992
"93",1986,0.014,0.694915670473266
"94",1876,0.012,0.865938050092525
"95",1889,0.012,0.815096609592406
"96",1901,0.012,0.814634472643024
"97",1903,0.012,0.815266624937571
"98",1923,0.012,0.794928598403491
"99",1924,0.012,0.794829738456688
"100",1935,0.012,0.761080456379003
"101",1951,0.012,0.760719391031712
"102",1966,0.012,0.717505161323593
"103",1999,0.012,0.687987726065379
"104",1886,0.01,0.815549419807376
"105",1915,0.01,0.794205831058376
"106",1942,0.01,0.760613276422137
"107",1946,0.01,0.760604518474284
"108",1955,0.01,0.720888347157035
"109",1974,0.01,0.714200993053857
"110",1975,0.01,0.714039172303518
"111",1991,0.01,0.694493868851424
"112",1992,0.01,0.694453836304642
"113",1888,0.008,0.815010452776279
"114",1893,0.008,0.814789369026424
"115",1896,0.008,0.814613033361575
"116",1897,0.008,0.81457406521843
"117",1950,0.008,0.760646445649369
"118",1988,0.008,0.694715228275142
"119",1990,0.008,0.694579538844676
"120",1894,0.006,0.814816030406942
"121",1939,0.006,0.760641259096613
"122",1940,0.006,0.760633761065466
"123",1943,0.006,0.760575838654247
"124",1944,0.006,0.760533859829777
"125",1945,0.006,0.760535393518626
"126",1965,0.006,0.717545086904667
"127",1967,0.006,0.717492087643396
"128",1985,0.006,0.695042667969832
"129",1989,0.006,0.694618096202251
"130",1993,0.006,0.694360890902142
"131",1892,0.004,0.814789472893221
"132",1899,0.004,0.814393020183891
"133",1941,0.004,0.760628989147825
"134",1947,0.004,0.760671295884189
"135",1948,0.004,0.76067738034167
"136",1987,0.004,0.694729179632786
"137",1994,0.002,0.694293856060965
"138",2010,NA,0.691580940979748
