"","Year","Prob","Means"
"1",1883,0.91,0.045037893616839
"2",1875,0.498,0.0259264404127072
"3",1909,0.412,0.0916383477564281
"4",1873,0.252,0.0144681556896451
"5",1983,0.25,0.0903882515498229
"6",1908,0.228,0.0866834508438762
"7",1907,0.22,0.0817971347825721
"8",2008,0.216,0.0798369682905092
"9",1982,0.206,0.09400263059274
"10",1957,0.168,0.106235249158748
"11",1884,0.156,0.0830172642601459
"12",1959,0.15,0.100951575990809
"13",1958,0.144,0.103348303055755
"14",1905,0.108,0.0795443021663271
"15",1956,0.104,0.107750539234438
"16",1981,0.1,0.0953739295474076
"17",1948,0.096,0.106328555497237
"18",1934,0.094,0.103734869718552
"19",1876,0.09,0.0457778444212338
"20",1998,0.09,0.0792248748373327
"21",1984,0.088,0.0861904607368195
"22",1995,0.088,0.0845660998718147
"23",1955,0.084,0.109135209563932
"24",1985,0.08,0.0849731107079633
"25",1910,0.078,0.103041024947828
"26",1979,0.072,0.0964428251311729
"27",1996,0.072,0.0830459127076365
"28",1997,0.072,0.0819749640899477
"29",1881,0.066,0.0439887006890074
"30",1874,0.062,0.0265393037560688
"31",1950,0.062,0.10863033840379
"32",1925,0.06,0.101986345983208
"33",1960,0.06,0.0984953689006438
"34",1935,0.058,0.104855124219606
"35",1902,0.056,0.0796645686747171
"36",1882,0.052,0.0456891058996524
"37",1961,0.052,0.0977706386546056
"38",1887,0.05,0.0782363372188409
"39",1949,0.05,0.107998195234261
"40",2006,0.048,0.0809970077072697
"41",1933,0.046,0.103469864183526
"42",1936,0.046,0.10549356979627
"43",1970,0.046,0.0963854064182827
"44",1923,0.044,0.101351402851529
"45",1977,0.044,0.09710759908289
"46",1903,0.042,0.0786955648005367
"47",1911,0.042,0.101637122108202
"48",1922,0.042,0.100962409898831
"49",1954,0.042,0.109897403590426
"50",1980,0.042,0.095719257513705
"51",1991,0.042,0.0839110250986779
"52",1878,0.038,0.0430445069932333
"53",1889,0.038,0.0788395194522876
"54",1931,0.038,0.103191113514291
"55",1962,0.038,0.0972492280826656
"56",1885,0.036,0.0773969665309172
"57",1940,0.036,0.106163357649468
"58",1992,0.036,0.0838843811365679
"59",2007,0.036,0.0804361629508833
"60",1918,0.034,0.100903195016251
"61",1927,0.034,0.102709117194166
"62",1964,0.034,0.0968572545417864
"63",1972,0.034,0.0971393871319598
"64",2003,0.034,0.0819474455610685
"65",1891,0.032,0.0792199722534834
"66",1912,0.032,0.101637726755375
"67",1924,0.032,0.101793423672851
"68",1926,0.032,0.102598680065058
"69",1939,0.032,0.106034454850987
"70",1975,0.032,0.0973813626210134
"71",1978,0.032,0.0967497809081513
"72",1932,0.03,0.10336330890013
"73",1938,0.03,0.105940052876499
"74",1971,0.03,0.0968595680578673
"75",1993,0.03,0.0841498320503476
"76",2001,0.03,0.0822866872151985
"77",2005,0.03,0.0813326284641423
"78",1880,0.028,0.0437254502842363
"79",1906,0.028,0.0817883054576802
"80",1915,0.028,0.101232972699805
"81",1921,0.028,0.10080590631938
"82",1945,0.028,0.106431473612574
"83",1947,0.028,0.106326579665532
"84",1951,0.028,0.109276195782698
"85",1952,0.028,0.109441041979293
"86",1968,0.028,0.0964628591043432
"87",1987,0.028,0.0840376522900745
"88",2009,0.028,0.073378248090045
"89",1944,0.026,0.106511815003395
"90",1967,0.026,0.0964265153304787
"91",1999,0.026,0.0823939152399814
"92",2004,0.026,0.0815567536333002
"93",1894,0.024,0.0795919499725202
"94",1897,0.024,0.0795975054068549
"95",1943,0.024,0.106500595385458
"96",1953,0.024,0.109669321270656
"97",1969,0.024,0.0964105239635567
"98",1974,0.024,0.0973776963958838
"99",1990,0.024,0.0838626026900374
"100",2002,0.024,0.082102018042958
"101",1877,0.022,0.0429657487682259
"102",1899,0.022,0.0797077413164465
"103",1914,0.022,0.101356106184101
"104",1928,0.022,0.102969997390722
"105",1937,0.022,0.105897001366676
"106",1941,0.022,0.106347351347024
"107",1986,0.022,0.0840666825971839
"108",1989,0.022,0.0839579248727977
"109",1994,0.022,0.0846218688281378
"110",1892,0.02,0.0795294922970758
"111",1920,0.02,0.100847755919026
"112",1946,0.02,0.106344716563134
"113",1963,0.02,0.0970476114090695
"114",1976,0.02,0.0971811279991337
"115",2000,0.02,0.0823208999248297
"116",1895,0.018,0.0795339600756926
"117",1900,0.018,0.0797860363911442
"118",1916,0.018,0.101144314190159
"119",1919,0.018,0.100846997769604
"120",1965,0.018,0.0966649499487013
"121",1879,0.016,0.0437234751626848
"122",1888,0.016,0.0788099946767634
"123",1890,0.016,0.0791756919104623
"124",1917,0.016,0.101032429097361
"125",1929,0.016,0.103108076169318
"126",1930,0.016,0.10315859441118
"127",1973,0.016,0.0973272810850465
"128",1904,0.014,0.079370662681598
"129",1913,0.014,0.10139849650824
"130",1988,0.014,0.0839887524160364
"131",1898,0.012,0.0796889313257106
"132",1901,0.012,0.0797049675208854
"133",1942,0.012,0.106457453610789
"134",1966,0.012,0.0965232982150194
"135",1893,0.01,0.0796067167793276
"136",1896,0.01,0.0795902250547391
"137",1886,0.006,0.0782179051139905
"138",2010,NA,0.0729286510591483
