"","Year","Prob","Means"
"1",1982,0.944,0.807580176049815
"2",1877,0.778,0.915836968864096
"3",1958,0.678,0.842045698927889
"4",1931,0.658,0.88488577901053
"5",1953,0.41,0.869101172589638
"6",1954,0.294,0.857801543692514
"7",1998,0.254,0.785814520514065
"8",1929,0.23,0.892313554266549
"9",1997,0.228,0.775638712355321
"10",1873,0.222,0.933218422156156
"11",1959,0.184,0.815611688843423
"12",1957,0.148,0.848863981246586
"13",1874,0.126,0.923663619020661
"14",1930,0.076,0.886669610852595
"15",1876,0.074,0.9179171304766
"16",1950,0.07,0.867560441371294
"17",1999,0.054,0.773300682602571
"18",1955,0.05,0.850101786743475
"19",1875,0.028,0.918666943356492
"20",1927,0.028,0.893141612694006
"21",1981,0.028,0.808515914018018
"22",1952,0.026,0.869316797826085
"23",1977,0.026,0.80968862265155
"24",1951,0.024,0.868946848458046
"25",1878,0.022,0.892063183803245
"26",1932,0.02,0.866969273281438
"27",2000,0.02,0.772584628065712
"28",1934,0.018,0.866771867470614
"29",1980,0.018,0.808903184989256
"30",1884,0.016,0.89252183370337
"31",1909,0.016,0.893169577656312
"32",1935,0.016,0.86700067064777
"33",1960,0.016,0.81002419988099
"34",1978,0.016,0.809319875505028
"35",2004,0.016,0.772169300730159
"36",1888,0.014,0.892723545908113
"37",1890,0.014,0.892863617176394
"38",1892,0.014,0.892973230560528
"39",1926,0.014,0.893275799115087
"40",1979,0.014,0.809137248400417
"41",1880,0.012,0.892356489927634
"42",1887,0.012,0.892654940059216
"43",1946,0.012,0.8672154978063
"44",1948,0.012,0.867339691857521
"45",1879,0.01,0.892424765778305
"46",1883,0.01,0.8924444027358
"47",1923,0.01,0.893239580976077
"48",1928,0.01,0.892499746823062
"49",1941,0.01,0.867222714819459
"50",1944,0.01,0.867209611753247
"51",1949,0.01,0.867454435306016
"52",1965,0.01,0.809716125124458
"53",1991,0.01,0.775207879975052
"54",2002,0.01,0.77233719813972
"55",2008,0.01,0.771941972458905
"56",1891,0.008,0.892981197672383
"57",1894,0.008,0.893077255300142
"58",1895,0.008,0.89309596324242
"59",1900,0.008,0.893090642536942
"60",1908,0.008,0.893165896571847
"61",1942,0.008,0.867221416702818
"62",1943,0.008,0.867204381027641
"63",1945,0.008,0.867191034292815
"64",1971,0.008,0.809732489733739
"65",1983,0.008,0.775281632067908
"66",1992,0.008,0.775269569524863
"67",1995,0.008,0.775454431614961
"68",1996,0.008,0.775554636903476
"69",2003,0.008,0.772248407725551
"70",1886,0.006,0.892642959578774
"71",1889,0.006,0.892833234403705
"72",1893,0.006,0.893052514947555
"73",1904,0.006,0.893141230129307
"74",1905,0.006,0.89315801371174
"75",1907,0.006,0.89316193490159
"76",1921,0.006,0.893210435792602
"77",1924,0.006,0.893280619542705
"78",1937,0.006,0.867223064969842
"79",1947,0.006,0.867283916764479
"80",1970,0.006,0.809726568493759
"81",1972,0.006,0.80975235645178
"82",1974,0.006,0.809748026142944
"83",1990,0.006,0.775172841034322
"84",1994,0.006,0.775406416036391
"85",2007,0.006,0.771969327859329
"86",1881,0.004,0.892437790694471
"87",1882,0.004,0.892420609280239
"88",1897,0.004,0.893083801645388
"89",1911,0.004,0.893180656331205
"90",1915,0.004,0.893188355879888
"91",1917,0.004,0.893184593052582
"92",1933,0.004,0.866756712482647
"93",1936,0.004,0.867201310130132
"94",1938,0.004,0.86724454602161
"95",1956,0.004,0.848901032838432
"96",1964,0.004,0.809705121734891
"97",1969,0.004,0.809730575705971
"98",1975,0.004,0.80973967527795
"99",1976,0.004,0.809716378100507
"100",1987,0.004,0.775117597082548
"101",1993,0.004,0.775338963558321
"102",2001,0.004,0.772376371940366
"103",2005,0.004,0.772001389825418
"104",2006,0.004,0.771989905310034
"105",1896,0.002,0.893080481810368
"106",1898,0.002,0.893081229839187
"107",1899,0.002,0.893080944497366
"108",1902,0.002,0.8931289271358
"109",1903,0.002,0.893135450215595
"110",1906,0.002,0.893157212009188
"111",1910,0.002,0.893183435396904
"112",1912,0.002,0.893180722695274
"113",1913,0.002,0.893182858477313
"114",1914,0.002,0.893186803424837
"115",1918,0.002,0.893197048085811
"116",1919,0.002,0.893202453348119
"117",1922,0.002,0.893226347227577
"118",1925,0.002,0.893282503910761
"119",1961,0.002,0.809729350821628
"120",1963,0.002,0.809706893055077
"121",1966,0.002,0.809734576771332
"122",1967,0.002,0.809734800414756
"123",1984,0.002,0.775100684473574
"124",1986,0.002,0.775108693486962
"125",1988,0.002,0.77514901220784
"126",1989,0.002,0.775154918009962
"127",2009,0.002,0.771808850028602
"128",1885,0,0.892642959578774
"129",1901,0,0.8931289271358
"130",1916,0,0.893184593052582
"131",1920,0,0.893210435792602
"132",1939,0,0.867222714819459
"133",1940,0,0.867222714819459
"134",1962,0,0.809706893055077
"135",1968,0,0.809730575705971
"136",1973,0,0.809748026142944
"137",1985,0,0.775108693486962
"138",2010,NA,0.771832396587431
