"","Year","Prob","Means"
"1",1992,0.8,-0.0106882009696047
"2",1965,0.532,-0.047091102236699
"3",1963,0.416,0.0865408570737176
"4",1962,0.368,0.140187856702736
"5",1964,0.302,0.00953375121547846
"6",1957,0.25,0.20754653086852
"7",1959,0.246,0.182533951142988
"8",1982,0.238,-0.0631216445884267
"9",1983,0.188,-0.0381219209153637
"10",1980,0.178,-0.0919701730055158
"11",1986,0.148,-0.0135540107389159
"12",1981,0.14,-0.0760872812000746
"13",1953,0.138,0.23691510810779
"14",1973,0.132,-0.122898100013275
"15",1979,0.126,-0.101695765628015
"16",1987,0.126,-0.0008028797712458
"17",1993,0.12,-0.140353619416586
"18",1961,0.114,0.152934391088263
"19",1955,0.112,0.223827630765876
"20",1956,0.112,0.216115630875367
"21",1990,0.096,0.00983956402567573
"22",2020,0.09,-0.16543282477633
"23",1991,0.084,-0.000599805359374694
"24",1972,0.08,-0.12745981838677
"25",1966,0.07,-0.124651828098775
"26",1978,0.07,-0.106252677083167
"27",1984,0.07,-0.0207556388077478
"28",1976,0.064,-0.110628455099013
"29",1975,0.06,-0.113403539934689
"30",1954,0.052,0.226980678050097
"31",1960,0.05,0.156716003952049
"32",1994,0.05,-0.154605614874963
"33",1996,0.046,-0.15986898398951
"34",1971,0.044,-0.129593217181019
"35",1958,0.042,0.185497696300634
"36",1974,0.04,-0.114991730129306
"37",1985,0.038,-0.0153101541264381
"38",1989,0.036,0.0117251108620014
"39",2016,0.032,-0.164994696997265
"40",1977,0.028,-0.107260379388678
"41",1988,0.028,0.00976172311615797
"42",2015,0.028,-0.164149364268469
"43",1970,0.026,-0.129659415398625
"44",1995,0.026,-0.158664399972011
"45",1997,0.026,-0.16167486981374
"46",2006,0.026,-0.163301752585284
"47",2012,0.024,-0.164112860695108
"48",1951,0.022,0.237783159976652
"49",1952,0.022,0.23774405369559
"50",1998,0.022,-0.162360815040153
"51",2018,0.022,-0.166439850697823
"52",2010,0.02,-0.163716304251855
"53",2011,0.02,-0.163754203564936
"54",1967,0.018,-0.130564828878514
"55",1968,0.018,-0.129909301644663
"56",2000,0.018,-0.163314980035634
"57",2005,0.018,-0.163191552957225
"58",2008,0.018,-0.163772001865381
"59",2004,0.016,-0.1630170557781
"60",2017,0.016,-0.166398268871774
"61",1999,0.014,-0.162855742002608
"62",2007,0.014,-0.163621704963955
"63",2009,0.014,-0.163698818754892
"64",2001,0.012,-0.162996549404057
"65",2002,0.012,-0.16295859127165
"66",2003,0.012,-0.16286373167313
"67",2013,0.012,-0.163942945178089
"68",2014,0.01,-0.164010556422951
"69",2019,0.01,-0.165354790171371
"70",1969,0.008,-0.12990228065169
"71",1950,0.002,0.237826601848715
"72",2021,NA,-0.17477662712735
